Judul,Tanggal,Link,Isi Berita,Label
Viral Ayah di Sulsel Banting dan Injak-injak Anak Perempuan,"Rabu, 11 Sep 2024 07:56 WIB",https://www.cnnindonesia.com/nasional/20240911072852-20-1143197/viral-ayah-di-sulsel-banting-dan-injak-injak-anak-perempuan,"Viral Ayah di Sulsel Banting dan Injak-injak Anak Perempuan. Viral Ayah di Sulsel Banting dan Injak-injak Anak Perempuan - Seorang pria dia Sulawesi Selatan terekam kameraa menganiaya anak perempuan di bawah umur dengan cara membantingnya ke lantai, memukul dan menginjak-injak korban. Rekaman video penganiayaan itu beredar di media sosial. Priaa itu adalah ayahnya inisial FR (44)  dan korban merupakan anak kandungnya yang berusia 10 tahun. Polisi telah menangkap FR di Kabupaten Bulukumba, Sulawesi Selatan. ""Iya benar, ibu korban melaporkan sendiri dan pelaku sudah diamankan,"" kata Kanit PPA Polres Bulukumba, Aiptu Akhmad Kahar, Selasa (10/9). Penganiayaana itu terjadi di rumah pelaku di Kecamatan Rilau Ale, Kabupaten Bulukumba, pada Minggu (8/9) kemarin, sekitar pukul 17.00 WITA. Salah satu penghuni rumah merekam penganiayaan tersebut dan menyebarkan hingga viral di media sosial. Kemudian FR dilaporkan ke pihak kepolisian. ""Pelaku mengakui perbuatannya menganiaya dengan menggunakan tangan dan menendang korban,"" ungkapnya. Di hadapan polisi, FR menganiaya anaknya, karena ingin memberikan pelajaran kepada korban, lantaran sering mengambil uang milik neneknya tanpa izin. ""Terkait motif sementara terduga melakukan kekerasan itu, karena bermaksud memberikan pelajaran kepada korban yang sering mengambil uang milik neneknya tanpa izin. Korban diarahkan untuk visum ke rumah sakit demi kepentingan penyelidikan,"" jelasnya. Sementara ini, korban telah mendapatkan pendampingan dan diamankan di rumah aman milik UPTD Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) Kabupaten Bulukumba.""Korban sementara ditempatkan di rumah aman PPPA Bulukumba dan pelaku sudah diamankan untuk proses penyelidikan dan penyidikan lebih lanjut,"" kata Akhmada Kahar.",Keluarga
Cut Intan Tampilkan Video Armor Lakukan KDRT dan Dilihat Anak,"Kamis, 22 Agu 2024 14:50 WIB",https://www.cnnindonesia.com/hiburan/20240822134013-234-1136207/cut-intan-tampilkan-video-armor-lakukan-kdrt-dan-dilihat-anak,"Cut Intan Tampilkan Video Armor Lakukan KDRT dan Dilihat Anak. Cut Intan Tampilkan Video Armor Lakukan KDRT dan Dilihat Anak - Artikel berikut berisi deskripsi yang mungkin bisa membuat tidak nyaman pembaca. Cut Intan Nabila kembali mengunggah bukti video kekerasan dalam rumah tangga (KDRT) yang dilakukan suaminya, Armor Toreador. Kali ini, dia menyertakana rekamana CCTVa atasa KDRT yang terjadi pada 4 Februari 2022.""04-02-2022. Lebih dari 5 kali? Saya saja tidak mampu menghitung berapa sering dia menyiksa saya,"" tulis Cut Intan Nabila lewat Instagram pada Kamis (22/8). Dari video yang kini sudah dihapus, terlihat Armor Toreador menyiksa Cut Intan Nabila di tempat tidur. Ia beberapa kali memukul Intan dan membungkamnya. Intan terdengar merintih kesakitan ketika disiksa oleh Armor. Kekerasan yang dilakukan oleh Armor kepada Intan saat itu bahkan disaksikan oleh salah satu anak mereka. Anak perempuan mereka itu terlihat sedang minum susu di botol, berbaring di sebelah ibunya yang sedang disiksa. Hingga suatu ketika, anak kedua mereka itu melepaskan botolnya dan menyaksikan ibunya merintih kesakitan. ""Berat sangat berat pastinya, harus ceria di balik semua penderitaan selama ini, karna saya fikir ini adalah aib yang paling memalukan,"" tulis Cut Intan Nabila. ""Maafin mama ya nak, setelah ini kita sembuhin trauma ini bareng-bareng,"" tutup sang ibu. CNNIndonesia.com telah meminta izin Cut Intan Nabila untuk mengutip unggahannya. Kasus ini bermula saat selebgram Cut Intan Nabila pertama kali mengunggah rekaman video aksi KDRT terkait yang dialaminya di akun Instagramnya pada Selasa (13/8) lalu.Setelah video itu mendapatkan perhatian dan viral, polisi langsung turun tangan untuk menyelidiki kasus tersebut. Armor Toreador pun berhasil ditangkap di sebuah hotel di daerah Kemang, Jakarta Selatan, pada Selasa (13/8) malam. Atas perbuatan itu, Polres Bogor langsung menetapkan Armor sebagai tersangka kasus KDRT dan penganiayaan terhadap anak. Ia juga langsung ditahan di Rutan Polres Bogor. Dalam kasus ini, Armor dijerat pasal berlapis yakni Pasal 44 ayat 2 UU Nomor 23 Tahun 2004 terkait KDRT, Pasal 80 Nomor 35 Tahun 2014 terkait kekerasan terhadap anak serta Pasal 351 KUHP tentang penganiayaan dengan ancaman maksimal 10 tahun penjara. Armor Toreador bakal mengajukan upaya restorative justice atau penyelesaian perkara secara mediasi dengan pihak korban. Hal ini dilakukan lantaran Armor mempertimbangkan kondisi ketiga anaknya yang masih balita.Polisi telah melimpahkan berkas perkara tahap 1 ke pihak kejaksaan pada Senin (19/8) lantaran penyidik sudah mengantongi cukup bukti dan saksi dalam perkara KDRT tersebut.",Keluarga
Armor Suami Cut Nabila Dijerat Pasal KDRT hingga Kekerasan Anak,"Rabu, 14 Agu 2024 16:00 WIB",https://www.cnnindonesia.com/nasional/20240814132159-12-1132908/armor-suami-cut-nabila-dijerat-pasal-kdrt-hingga-kekerasan-anak,"Armor Suami Cut Nabila Dijerat Pasal KDRT hingga Kekerasan Anak. Armor Suami Cut Nabila Dijerat Pasal KDRT hingga Kekerasan Anak - Penyidik Polres Bogor menjerat Armor Toreador, suami Cut Intan Nabila, dengan pasal berlapis atas dugaan kekerasan yang dilakukannya. Ia dijerat Pasal 44 Ayat (2) UU Penghapusan Kekerasan Dalam Rumah Tangga (KDRT), Pasal 351 KUHP, dan Pasal 80 UU Perlindungan Anak. ""Pelaku AT dikenakan pasal berlapis, dengan ancaman maksimal 10 tahun penjara,"" kata Karo Penmas Humas Polri Brigjen Trunoyudo Wisnu Andiko dalam keterangan tertulis, Rabu (14/8).Trunoyudo memastikan polisi bakal memberikan pemulihan psikologis terhadap Intan Nabila yang jadi korban KDRT. Anak-anak korban juga akan dapat bantuan pemulihan trauma dan dukungan moral. ""Peristiwa ini tentunya perlu menjadi atensi, pasalnya dapat menimbulkan trauma berkepanjangan. Bahkan dapat mengganggu kesehatan jiwa serta mental,"" ucapnya. Terungkapnya kasus ini berawal dari unggahan Intan Nabila di Instagram. Dia mengunggah rekaman video aksi KDRT dialaminya.Dalam video itu, Intan dan suaminya terlibat dalam cekcok. Kemudian, AT memukuli korban hingga tersungkur. Intan sempat berteriak kesakitan, tetapi pukulan terus dilayangkan kepadanya. Tak hanya itu, anak korban yang saat itu ada di kasur juga sempat terkena tendangan AT. Kini, AT sudah ditangkap dan jadi tersangka. Ia mengakui perbuatannya terhadap Intan dilakukan sejak 2020.",Keluarga
"Ortu Diperiksa, Polisi Belum Temukan Korban Lain Daycare Wensen School","Kamis, 08 Agu 2024 23:31 WIB",https://www.cnnindonesia.com/nasional/20240808225835-12-1130972/ortu-diperiksa-polisi-belum-temukan-korban-lain-daycare-wensen-school,"Ortu Diperiksa, Polisi Belum Temukan Korban Lain Daycare Wensen School. Ortu Diperiksa, Polisi Belum Temukan Korban Lain Daycare Wensen School. Polisi turut memeriksa para orang tua yang menitipkan anak di daycare Wensen Schoola Depok untuk mendalami apakah ada korban lain dari aksi penganiayaan oleh Meita Irianty.Kapolres Metro Depok Kombes Arya Perdana mengatakan total sudah ada tujuh dari 10 orang tua yang dimintai keterangan oleh penyidik dalam perkara ini. ""Jadi kan di situ ada 10 anak yang dititipkan, dan kita sudah melakukan pemeriksaan terhadap lima orang orang tua, yang anak-anaknya dititipkan di sana,"" kata Arya kepada wartawan, Kamis (8/8). ""Kan sudah dua (orang tua) yang lapor pertama, terus ditambah lima jadi tujuh, jadi sisa tiga ini (yang belum diperiksa),"" imbuhnya. Arya menyebut dari hasil pemeriksaan para orang tua tersebut, pihaknya belum menemukan ada korban lain dalam perkara ini.  ""Dan alhamdulillah memang berdasarkan penuturan orang tuanya kepada kami, tidak ada anak-anak yang menjadi korban, tidak ada tanda-tanda kekerasan yang dilakukan terhadap anak-anak beliau,"" tutur dia. Sebelumnya, Polres Metro Depok telah menetapkan Meita Irianty selaku pemilik Wensen School sebagai tersangka kasus penganiayaan terhadap dua anak.Satu anak berinisial MK berusia dua tahun. Korban lainnya berinisial AMW berusia sembilan bulan. Arya menjelaskan korban MK dalam kondisi baik, tapi mengalami trauma. Polisi akan melakukan visum psikiatrikum untuk mendalaminya. Sementara itu, korban HW diduga mengalami dislokasi kaki karena dibanting oleh Meita. Selanjutnya, korban akan melakukan visum dan rontgen. Atas perbuatannya, Meita dijerat Pasal 80 ayat (1) Jo Pasal 80 Ayat 2 UU Nomor 35 Tahun 2014 tentang Perubahan atas UU Nomor 23 Tahun 2002 tentang Perlindungan Anak dengan ancaman hukuman maksimal lima tahun. Berdasarkan keterangan sementara, Arya menyebut Meita Meita melakukan penganiayaan terhadap dua balita karena korban dianggap rewel dan nakal. Namun, hal ini akan didalami lebih lanjut oleh penyidik. ""Kita masih berkutik pada motif yang kemarin beliau yang (mengatakan) katanya anaknya rewel sama nakal,"" kata Arya kepada wartawan, Selasa (6/8).",Pengasuh
"Babysitter Aniaya Anak Selebgram Aghnia Punjabi Divonis 3,5 Tahun Bui","Rabu, 07 Agu 2024 15:43 WIB",https://www.cnnindonesia.com/nasional/20240807152508-12-1130369/babysitter-aniaya-anak-selebgram-aghnia-punjabi-divonis-35-tahun-bui,"Babysitter Aniaya Anak Selebgram Aghnia Punjabi Divonis 3,5 Tahun Bui. Indah Permata Sari (27), babysitter yang jadi terdakwa penganiayaan terhadap anak selebgram Aghnia Punjabi, divonis 3 tahun 6 bulan penjara oleh Majelis Hakim Pengadilan Negeri (PN) Kota Malang.Ketua Majelis Hakim Safrudin menyatakan Indah terbukti bersalah melanggar Pasal 80 ayat 2 Undang-Undang Nomor 35 Tahun 2014 tentang Perubahan atas Undang-Undang Nomor 23 Tahun 2002 tentang Perlindungan Anak. ""Terdakwa Indah terbukti secara bersalah melakukan tindak pidana perlindungan anak, menjatuhkan pidana 3 tahun 6 bulan,"" kata Hakim Safrudin di PN Kota Malang, Rabu (7/8).  Indah terbukti melakukan tindak penganiayaan terhadap korban yang masih berusia anak-anak hingga menyebabkan luka berat.Bentuk penganiayaan itu berdasarkan fakta, barang bukti, serta keterangan saksi ahli, seperti menjewer, memukul, sampai membalurkan minyak kutus-kutus ke korban yang masih berusia 3,5 tahun. ""Setelah kejadian itu anak mengalami trauma dan kecemasan yang cukup dalam, cenderung tertutup pada orang baru terutama perempuan muda,"" lanjut hakim. Sementara, Pengacara Terdakwa Indah, Haitsam Nurli Brantas Anarki menyatakan akan mengkaji vonis tersebut, termasuk mempertimbangkan melakukan banding atau tidak. Vonis Indah itu lebih rendah dari tuntutan Jaksa Penuntut Umum (JPU). Indah dituntut penjara selama empat tahun dan denda sebesar Rp75 juta subsider 6 bulan. Kasus ini bermula saat, seorang babysitter Indah Permata Sari (27) diduga melakukan penganiayaan terhadap anak selebgram Malang, Aghnia Punjabi. Peristiwa itu terjadi saat Aghnia dan suaminya tak sedang berada di rumah. Namun perbuatan Indah itu terbongkar setelah orang tua korban melihat bukti CCTV dan curiga pada luka korban. Aghnia kemudian mengunggah sejumlah bukti di akun Instagram @emyaghnia. Ada foto serta video yang memperlihatkan mata anaknya mengalami lebam. Sejumlah luka juga tampak di telinga dan wajah korban. Tak hanya itu, Aghnia juga memposting video CCTV yang merekam tindak kekerasan IPS kepada buah hatinya, berupa pukulan bertubi di kepala, jambakan rambut, jeweran dan lainnya. Aghnia kemudian melaporkan kejadian itu ke Polresta Malang. Indah kemudian ditetapkan tersangka Pasal 80 ayat 2 Undang-Undang (UU) No 35 Tahun 2014 tentang Perubahan atas UU Nomor 23 Tahun 2002 Tentang Perlindungan Anak, subsider Pasal 80 ayat 2 UU No 35 Tahun 2014 tentang Perubahan UU Nomor 23 tahun 2002.a ",Pengasuh
Polisi Ungkap Pemilik Daycare Meita Irianty Aniaya Balita karena Rewel,"Selasa, 06 Agu 2024 13:04 WIB",https://www.cnnindonesia.com/nasional/20240806123635-12-1129764/polisi-ungkap-pemilik-daycare-meita-irianty-aniaya-balita-karena-rewel,"Polisi Ungkap Pemilik Daycare Meita Irianty Aniaya Balita karena Rewel. Polisi menyebut Meita Irianty pemilika daycarea Wensen School melakukan penganiayaan terhadap dua balita karena korban dianggap rewel dan nakal.Kendati demikian, Kapolres Metro Depok Kombes Arya Perdana mengatakan hal ini akan didalami lebih lanjut oleh penyidik. Kata dia, pihaknya akan kembali meminta keterangan dari Meita terkait motifnya melakukan aksi penganiayaan tersebut. Pemeriksaan dilakukan setelah kondisi kesehatan Meita kembali pulih. ""Kita masih berkutik pada motif yang kemarin beliau yang (mengatakan) katanya anaknya rewel sama nakal,"" kata Arya kepada wartawan, Selasa (6/8). Diduga, karena menganggap korban rewel dan nakal, Meita pun tega melakukan aksi penganiayaan terhadap dua korban di daycare miliknya. ""Sehingga pelaku ini nampak melakukan kekerasan terhadap korban,"" ucap Arya. Polres Metro Depok sebelumnya telah menetapkan Meita Irianty selaku pemilik Wensen School sebagai tersangka kasus penganiayaan terhadap dua anak. Satu anak berinisial MK berusia dua tahun. Korban lainnya berinisial AMW berusia sembilan bulan. Arya menjelaskan korban MK dalam kondisi baik, tapi mengalami trauma. Polisi akan melakukan visum psikiatrikum untuk mendalaminya. Sementara itu, korban HW diduga mengalami dislokasi kaki karena dibanting oleh Meita. Selanjutnya, korban akan melakukan visum dan rontgen. Atas perbuatannya, Meita dijerat Pasal 80 ayat (1) Jo Pasal 80 Ayat 2 UU Nomor 35 Tahun 2014 tentang Perubahan atas UU Nomor 23 Tahun 2002 tentang Perlindungan Anak dengan ancaman hukuman maksimal lima tahun. Dugaan penganiayaan terhadap anak berusia dua tahun terjadi di daycare Wensen School Depok. Hasil rekaman CCTV mengungkap setidaknya dua anak jadi korban penganiayaan. Polisi kini mendalami kasus tersebut.",Pengasuh
Guru SMKN 12 Malang Piting dan Cekik Siswa Gara-gara Telat Masuk Kelas,"Senin, 05 Agu 2024 16:34 WIB",https://www.cnnindonesia.com/nasional/20240805161817-20-1129450/guru-smkn-12-malang-piting-dan-cekik-siswa-gara-gara-telat-masuk-kelas,"Guru SMKN 12 Malang Piting dan Cekik Siswa Gara-gara Telat Masuk Kelas. Seorang guru SMKN 12 Malang, Jawa Timur, diduga melakukana kekerasan terhadap salah satu siswanya. Peristiwa itu terekam dalam sebuah video dan viral di media sosial. Dalam video yang beredar di media sosial itu, terlihat seorang guru tengah memiting dan mencekik salah seorang siswanya.Kepala Sekolah SMKN 12 Malanga Suryanto mengatakan, peristiwa itu terekam Rabu (31/7) lalu. Guru yang melakukan melakukan kekerasan itu berinisial AK (36) sedangkan korbannya ialah salah satu siswa Kelas XI jurusan Otomotif. Suryanto mengatakan, video yang beredar di media sosial itu bersumber dari salah satu siswa yang saat itu merekam kejadian tersebut diam-diam dengan ponselnya.Kini pihaknya telah memediasi kedua belah pihak pada Kamis (1/8). Mediasi tersebut dihadiri oleh orang tua korban, siswa, keluarga, guru yang bersangkutan dan perwakilan manajemen sekolah. ""Sudah bertemu untuk mediasi pertama dan sudah saling menerima dan memaafkan,"" kata Suryanto, Senin (5/8). Suryanto mengungkapkan guru tersebut mengaku khilaf dan tidak dapat menahan diri karena siswa yang bersangkutan terlambat masuk sekolah dan ketahuan berbohong.AK sudah menjadi guru Pendidikan Agama Islam (PAI) selama enam tahun SMKN 12 Kota Malang. ""Guru tersebut biasanya suka bergurau, tidak sedang ada masalah keluarga atau lainnya,"" ujarnya. Pihak sekolah telah memberikan sanksi kepada guru AK sebagai tindakan tegas. Selain dicabut jam mengajarnya, guru yang berstatus Guru Tidak Tetap (GTT) ini juga telah mengundurkan diri per Kamis (1/8). ""Guru tersebut sudah membuat pernyataan minta maaf, sekaligus dengan kesadaran diri mengundurkan diri,"" katanya. Suryanto mengatakan kondisi psikis siswa yang menjadi korban kekerasan saat ini sudah membaik. Pihaknya juga akan terus memantau kondisi siswa korban dan menjaga komunikasi dengan orang tua serta keluarga siswa. ""Kondisi psikis siswa tersebut Alhamdulillah baik, bahkan pada Kamis (1/8) sudah lebih baik dan ikut hadir saat mediasi,"" ungkapnya. Selain itu, pihak sekolah juga akan melakukan evaluasi internal untuk mencegah kejadian serupa terulang. Pihak korban, menurutnya juga tidak mempermasalahkan persoalan ini hingga ke ranah hukum. Persoalan ini juga sudah dilakukan mediasi yang kedua kalinya pada Minggu (4/8). Dikatakannya, hadir dalam kegiatan ini yaitu manajemen SMKN 12 MALANG, perwakilan Dinas Pendidikan Provinsi Jawa Timur Cabang Wilayah Malang, orang tua, keluarga siswa, siswa yang bersangkutan, dan guru tersebut. ""Alhamdulillah sudah saling memahami dan menerima,"" katanya.",Tenaga Pendidik
"Siswi SMP DKI Diculik Begal, Pelaku Jemput Korban Dalih Ibu Kecelakaan","Jumat, 02 Agu 2024 12:03 WIB",https://www.cnnindonesia.com/nasional/20240802111612-12-1128408/siswi-smp-dki-diculik-begal-pelaku-jemput-korban-dalih-ibu-kecelakaan,"Siswi SMP DKI Diculik Begal, Pelaku Jemput Korban Dalih Ibu Kecelakaan. Seorang siswi SMPN 101 Jakarta menjadi korban penculikan dan pembegalan pada 25 Juli lalu. Dalam kasus ini, polisi telah menangkap seorang pelaku berinisial FA (24). Peristiwa itu bermula saat pelaku menjemput korban di sekolahnya. Saat itu, pelaku meminta kepada satpam sekolah untuk memanggil anak berjaket merah yang merupakan korban. Kepada satpam tersebut, pelaku berdalih bahwa ibu korban mengalami kecelakaan dan sedang dirawat di rumah sakit. ""Kemudian sekuriti memanggil korban dan ditemui oleh pelaku. Pelaku mengatakan kepada korban 'ibu kamu jatuh di depan, saya dimintai tolong untuk manggil kamu',"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi kepada wartawan, Jumat (2/8). ""Kemudian korban mengatakan 'tolong anterin saya mas ke ibu saya',"" imbuhnya. Singkat cerita, korban kemudian berboncengan dengan pelaku. Lalu, setibanya di atas JPO seberang Gedung DPR/MPR, pelaku langsung meminta paksa barang-barang berharga yang dimiliki korban. Bahkan, pelaku sempat menodongkan cutter kepada korban. Saat itu, korban sempat melawan, namun pelaku justru melakukan aksi kekerasan. ""Namun korban dibanting dan rambut korban diinjak serta mulut korban dibekap oleh pelaku, kemudian pada saat korban sedang tidak berdaya anting, cincin dan HP korban diambil oleh pelaku. Selanjutnya pelaku meninggalkan korban,"" tutur Ade Ary.Akibat kejadian itu, korban mengalami luka memar dan kerugian materi ditaksir sebesar Rp6,8 juta. Setelahnya, peristiwa itu dilaporkan ke pihak berwajib.Dari laporan itu, polisi lantas melakukan serangkaian penyelidikan. Mulai dari mengecek TKP, memeriksa saksi, dan mengecek rekaman CCTV. Hasilnya, polisi pun berhasil mendapatkan identitas dan ciri-ciri pelaku. Polisi langsung bergerak cepat dan menangkap pelaku berinisial FA di sebuah kos di daerah Bendungan Hilir, Jakarta Pusat. ""Dari keterangan pelaku barang hasil curian berupa HP dijual kepada orang yang tidak dikenal di sekitaran ITC Roxy seharga Rp900 ribu, dan emas dijual ke toko emas di Pasar Kambing seharga Rp600 ribu,"" ucap Ade Ary. ""Saat ini tim masih melakukan pengembangan terhadap pelaku penadahan barang hasil curian,"" imbuhnya.",Orang asing
"Buntut Kasus Wensen School, KPAI Sebut Daycare Perlu Diawasi Maksimal","Jumat, 02 Agu 2024 11:43 WIB",https://www.cnnindonesia.com/nasional/20240802105848-12-1128394/buntut-kasus-wensen-school-kpai-sebut-daycare-perlu-diawasi-maksimal,"Buntut Kasus Wensen School, KPAI Sebut Daycare Perlu Diawasi Maksimal. Komisi Perlindungan Anak Indonesia (KPAI) menyebut pengawasan penitipan anak ataua daycare perlu dimaksimalkan buntut kasus penganiayaan di Wensen School, Depok, Jawa Barat. Komisioner KPAI Aris Adi Leksono mengatakan hal itu penting guna memastikan anak di dalam lembaga tersebut mendapatkan pengasuhan positif, perlindungan, asupan gizi terjamin, rasa aman dan nyaman, sehingga tumbuh kembang anak baik. ""Pengawasan pada lembaga pengasuhan seperti daycare atau panti asuhan masih perlu dimaksimalkan,"" kata Aris kepada CNNIndonesia.com, Jumat (2/8). Menurutnya, daycare dalam memberikan layanan harus memperhatikan standar pengasuhan positif, standar pemenuhan hak anak, serta standar sarana prasarana.Aris menyebut tiga standar itu guna mewujudkan keamanan dan kenyamanan anak. ""KPAI yang dimiliki ada Standard Operating Procedure (SOP) pengawasan, terkait SOP penyelenggaraan tentu menjadi tanggung jawab lembaga penyelenggara di bawah binaan dinas atau kementerian terkait,"" jelasnya. Ia menjelaskan SOP KPAI terkait penyelenggaraan daycare meliputi aktivitas pengasuhan positif, kompetensi sumber daya manusia (SDM) yang memiliki perspektif hak anak dan ramah anak, sarana pra sarana, serta memastikan tidak terjadi kekerasan kepada anak. ""Terkait SOP pengawasan kasus seperti yang saat ini, setelah pengaduan kita terima, kami melakukan penjangkauan dan menggali informasi lebih jauh, serta mengawal proses penanganan pihak berwajib hingga keadilan didapatkan oleh korban,"" tuturnya. KPAI memastikan hak korban diberikan, mulai dari pendampingan psikologi hingga pendampingan hukum. Aris menyampaikan baru ada satu kasus kekerasan di daycare yang mengadu ke KPAI selama 2023-2024.Polres Metro Depok telah menetapkan pemilik Wensen School Meita Irianty sebagai tersangka kasus penganiayaan terhadap dua anak di Wensen School. Satu anak berinisial MK berusia dua tahun. Korban lainnya berinisial HW berusia sembilan bulan.Kapolres Metro Depok Kombes Arya Perdana menuturkan dua orang balita yang jadi korban penganiayaan. Satu anak berinisial MK usia dua tahun, dan satu korban lainnya berinisial HW usia sembilan bulan. Dia menjelaskan korban MK dalam kondisi baik, tapi mengalami trauma. Polisi akan melakukan visum psikiatrikum untuk mendalaminya. Sementara itu, korban HW diduga mengalami dislokasi kaki karena dibanting oleh Meita. Selanjutnya, korban akan melakukan visum dan rontgen.Meita dijerat Pasal 80 Ayat (1) Jo Pasal 80 Ayat 2 UU Nomor 35 Tahun 2014 tentang Perubahan atas UU Nomor 23 Tahun 2002 tentang Perlindungan Anak dengan ancaman hukuman maksimal lima tahun. Dugaan penganiayaan terhadap anak berusia dua tahun terjadi di daycare Wensen School Depok. Hasil rekaman CCTV mengungkap setidaknya dua anak jadi korban penganiayaan. Polisi kini mendalami kasus tersebut.",Pengasuh
Remaja Boyolali Tewas Dikeroyok 4 Pesilat Gara-gara Backsound Lagu,"Jumat, 02 Agu 2024 09:20 WIB",https://www.cnnindonesia.com/nasional/20240802090019-12-1128317/remaja-boyolali-tewas-dikeroyok-4-pesilat-gara-gara-backsound-lagu,"Remaja Boyolali Tewas Dikeroyok 4 Pesilat Gara-gara Backsound Lagu. Seorang remaja di Kabupaten Boyolali, Jawa Tengah berinisial AHD (16) tewas usai dikeroyok empat anggota perguruan silat. Kapolres Boyolali AKBP Muhammad Yoga Buana Dipta di Boyolali, Jawa Tengah, Kamis mengatakan korban dikeroyok oleh empat pelaku karena mengunggah status di aplikasi percakapan menggunakan latar musik perguruan silat para tersangka. Saat ini, keempat pelaku yang sudah ditetapkan sebagai tersangka diamankan oleh petugas kepolisian di Kantor Polres Boyolali. Yogaa mengatakan pengeroyokan dilakukan sebanyak dua kali. Pengeroyokan pertama terjadi pada tanggal 14 Juli. Pada saat itu korban yang berusia 16 tahun tersebut dijemput oleh empat tersangka di rumahnya, kemudian dibawa ke Lapangan Sembungan, Kecamatan Nogosari, Kabupaten Boyolali. ""Itu lokasi pengeroyokan pertama,"" kata Yoga. Sedangkan pengeroyokan kedua terjadi di MIM Asemgrowong, Kecamatan Nogosari, Boyolali pada tanggal 26 Juli 2024. Saat itu keempat tersangka kembali menjemput korban di rumahnya. Yoga mengatakan menurut pengakuan tersangka pengeroyokan dilatari oleh status WhatsApp korban. Sedangkan menurut tersangka, korban bukan anggota perguruan silat tersebut. ""Para tersangka tidak terima kalau korban membuat video dan menggunakan backsound itu. Mereka meminta korban membuat surat pernyataan minta maaf dan mewajibkan untuk ikut latihan,"" kata Yoga. Hasil autopsi mengungkap korban meninggal dunia akibat mati lemas oleh multiple injury, di mana terdapat beberapa luka hingga ke organ dalam di antaranya di jantung, hati, paru, lambung, dan tulang dada. Atas perbuatan tersebut, empat tersangka dengan inisial RM (17) warga Ngemplak, LAR (16) warga Ngempak, Rizal Saputra (19) warga Ngemplak, dan Tegar Yusuf Bahtiar (19) warga Nogosari diancam pasal tindak pidana kekerasan terhadap anak dan atau penganiayaan yang dilakukan secara bersama yang menyebabkan korban meninggal dunia. Sebagaimana dimaksud dalam Pasal 80 KUHP dengan ancaman hukuman maksimal 15 tahun penjara. AHDa ditemukan tewas di rumahnya yang berada di Kecamatan Ngemplak, Boyolali, Selasa (30/7). Berdasarkan hasil autopsi, ditemukan sejumlah bekas luka akibat kekerasan di tubuh remaja tersebut.",Teman
