Judul,Tanggal,Link,Isi Berita,Label,
Terduga Pelaku Kekerasan Terhadap Anak Isa Bajaj Serahkan Diri ke Polisi,"Selasa, 23 Apr 2024 13:24",https://www.detik.com/jatim/hukum-dan-kriminal/d-7306121/terduga-pelaku-kekerasan-terhadap-anak-isa-bajaj-serahkan-diri-ke-polisi,"Terduga Pelaku Kekerasan Terhadap Anak Isa Bajaj Serahkan Diri ke Polisi. Seorang pria terduga pelaku kekerasan anak Isa Wahyu Prastantyo atau Isa Bajaj mendatangi Satreskrim Polres Magetan untuk menyerahkan diri. Ini setelah Isa Bajaj lapor polisi soal dugaan kekerasan yang dialami anaknya di Alun-alun Magetan. ""Untuk perkembangan saat ini terduga orang yang terlibat mendatangi Polres Magetan untuk menyerahkan diri,"" ujar Kasat Reskrim Polres Magetan AKP Angga Perdana Brahmada. Pria yang terduga menyebabkan anak perempuan Isa Bajaj mengalami luka pada kemaluan ini berinisial D (37). Warga Magetan ini merupakan orang tua dari anak basket yang saat itu tengah berlatih di kompleks Alun-alun Magetan. ""Dia ortu dari anak komunitas basket Magetan yang saat itu berada di lokasi,"" kata Angga.Angga mengatakan, polisi lalu melakukan pemeriksaan pada pria tersebut sejak Senin (21/4) sore hingga dini hari tadi. ""Mulai kemarin menyerahkan diri dan kita periksa sampai tadi dini hari,"" papar Angga. Sebelumnya, Isa Bajaj geram saat sang anak mengalami tindak kekerasan di sekitar Alun-alun Magetan. Sang anak pulang sambil menangis dengan kondisi kemaluan berdarah. Anak tersebut mengaku organ intimnya ditendang oknum yang disebutnya 'kakak cowok'. Isa Bajaj pun langsung membawa putrinya ke IGD pada Kamis (18/4). Setelah dari IGD, sang anak langsung dibawa ke poli kandungan. Hal itu untuk dilakukan pengecekan lebih jelas pada luka yang dialami anaknya. Isa Bajaj juga melaporkan dugaan kekerasan ini ke polisi.",Orang asing,
Miris! 6 Anak di Jakarta Jadi Korban Kekerasan Anak di Jakarta dalam 2 Pekan,"Jumat, 15 Des 2023 13:26",https://news.detik.com/berita/d-7091328/miris-6-anak-di-jakarta-jadi-korban-kekerasan-anak-di-jakarta-dalam-2-pekan,"Miris! 6 Anak di Jakarta Jadi Korban Kekerasan Anak di Jakarta dalam 2 Pekan. Kasus kekerasan anak sedang tinggi di Jakarta. Pada bulan ini, setidaknya ada enam anak yang menjadi korban kekerasan orang dewasa. Dari enam anak yang menjadi korban, ada lima korban jiwa. Mirisnya, kelima korban tewas di tangan orang tua kandung. Enam orang korban tersebut terjadi dalam tiga kasus berbeda. Keenam anak menjadi korban pelampiasan kemarahan orang-orang dewasa tersebut. Kasus terbaru, seorang anak tewas akibat dibanting ayah kandungnya di Penjaringan, Jakarta Utara (Jakut), pada Rabu (13/12). Sebelumnya, seorang pria di Jagakarsa, Jakarta Selatan (Jaksel), bernama Panca Darmansyah (41) membunuh empat anak kandungnya. Dan satu kasus lainnya ialah pria bernama Risqi Ariskalaki (29), yang menganiaya anak berusia 3 tahun hingga menyebabkan korban patah leher dan koma.Kasus kekerasan terhadap anak terbaru terjadi di Penjaringan, Jakut, pada Rabu (13/12). Seorang pria berinisial U membanting anaknya, K alias Awan (10), hingga korban meninggal dunia. ""Benar, meninggal, anak kandungnya sendiri,"" kata Kapolsek Penjaringan Kompol Bobby Danuardi saat dihubungi, Kamis (14/12/2023).Awalnya, pelaku yang memakai pakaian hitam memukul dan menendang sang anak yang berpakaian oranye hingga jatuh ke tanah. Setelah itu, pelaku menggendong korban dan mengangkatnya ke atas, kemudian membanting korban ke tanah. Korban terlihat lemas dan tak sadarkan diri. Belum diketahui pemicu pasti hingga membuat U emosional dan tega membanting putranya. Setelah insiden itu, korban langsung dibawa pelaku ke rumah sakit (RS) karena tak sadarkan diri.U telah ditahan polisi dan sedang diperiksa intensif terkait kasusnya tersebut.Panca Darmansyah (41) tega membunuh empat anak kandungnya. Sebelum membunuh empat anaknya, Panca sempat menganiaya istrinya, D, hingga korban harus dilarikan ke rumah sakit (RS). Panca berdalih tindakan tersebut bermula dari kecemburuannya terhadap istri. Dia lalu melakukan kekerasan dalam rumah tangga (KDRT) terhadap istrinya pada Sabtu (2/12). Pada saat istrinya dirawat di RS, Panca malah melanjutkan aksi kekerasannya. Dia membunuh empat anaknya dengan cara dibekap.Sebelumnya, Wakasat Reskrim Polres Metro Jakarta Selatan Kompol Henrikus Yossi mengatakan Panca membunuh keempat anaknya itu pada Minggu (3/12) siang. Dia membunuh keempat anaknya satu per satu.",Keluarga,
Polisi Amankan Oknum Guru SD di Sinjai Diduga Aniaya Siswa di Sekolah,"Rabu, 04 Sep 2024 10:30",https://www.detik.com/sulsel/hukum-dan-kriminal/d-7523425/polisi-amankan-oknum-guru-sd-di-sinjai-diduga-aniaya-siswa-di-sekolah,"Polisi Amankan Oknum Guru SD di Sinjai Diduga Aniaya Siswa di Sekolah. Siswa SDN 231 Balangpesoang berinisial RA (8) diduga dianiaya oleh gurunya berinisial AS (55) di Kabupaten Sinjai, Sulawesi Selatan (Sulsel). Polisi kini telah mengamankan oknum guru tersebut untuk diperiksa lebih lanjut. ""Saat ini terduga pelaku berinisial AS, yang berprofesi sebagai guru SD, sedang menjalani pemeriksaan oleh Unit PPA. Kami mendalami motif serta penyebab di balik tindakan kekerasan yang diduga dilakukan oleh pelaku terhadap muridnya sendiri,"" ujar Kasat Reskrim Polres Sinjai Iptu Andi Rahmatullah dalam keterangannya, Rabu (4/9/2024).Peristiwa penganiayaan itu terjadi di SD Negeri 231 Balangpesoang, Desa Samaturue, Kecamatan Tellulimpoe, Senin (2/9) sekitar pukul 09.00 Wita. Polisi menyelidiki kasus ini setelah dilaporkan oleh orang tua korban. ""Kejadian ini dilaporkan oleh ibu korban bersama korban. Laporannya terkait dugaan penganiayaan,"" sebut Rahmatullah.Rahmatullah mengatakan, korban dianiaya oleh gurunya dengan cara ditampar di bagian pipi sebelah kiri. Dugaan penganiayaan itu terungkap setelah korban menceritakan kejadian tersebut sepulang sekolah. ""Jika terbukti bersalah, AS akan menghadapi konsekuensi hukum sesuai dengan ketentuan yang berlaku, termasuk kemungkinan dihadapkan pada sanksi pidana,"" terangnya. Rahmatullah menambahkan, dalam penanganan kasus ini dengan penuh kehati-hatian mengingat sensitivitas yang melibatkan anak sebagai korban. Polisi menegaskan akan tetap melakukan proses hukum terhadap kasus yang melibatkan seorang anak. ""Kami berkomitmen untuk menegakkan hukum secara tegas terhadap setiap tindakan yang merugikan, terutama jika melibatkan anak-anak. Proses pemeriksaan ini akan terus kami lakukan hingga semua fakta dan bukti terungkap dengan jelas,"" ujarnya. ""Kami akan berkoordinasi dengan instansi terkait, seperti Dinas Pendidikan dan Lembaga Perlindungan Anak, untuk memastikan bahwa kasus ini ditangani sesuai dengan prosedur hukum yang berlaku, serta memberikan perlindungan yang maksimal kepada korban. Kami akan transparan dalam proses penyelidikan dan akan mengumumkan hasilnya kepada publik setelah semua tahapan penyelidikan selesai,"" sambung Rahmatullah. Sementara itu, Kepala Dinas Pendidikan (Disdik) Sinjai Irwan Suaib mengaku telah menindaklanjuti dugaan penganiayaan yang dilakukan oleh oknum guru terhadap siswanya. Dia juga memanggil kepala sekolah untuk mengetahui kronologi kejadiannya.""Kami telah menindak lanjuti laporan dari ketua tim pencegahan dan penanganan kekerasan (TPPK) SD 321 Balangpesoang mengenai kejadian dugaan tindak kekerasan yang dilakukan oknum guru itu (AS),"" ucap Irwan. Irwan menambahkan, Disdik telah berkoordinasi dengan Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk dan Keluarga Berencana (DP3AP2KB) Sinjai untuk penanganan kasusnya. Disdik juga menyerahkan sepenuhnya proses hukum atas kejadian itu kepada kepolisian. ""Kami sudah koordinasikan dengan dinas pemberdayaan anak dan pihak Polres Sinjai terkait dugaan tindak kekerasan ini. Kasus ini kami serahkan sepenuhnya ke kepolisian,"" jelasnya.",Tenaga Pendidik,
Anak Ditenggelamkan Ibu Tambah Catatan Hitam Kekerasan Anak di Jabar,"Senin, 09 Okt 2023 12:30",https://www.detik.com/jabar/berita/d-6972257/anak-ditenggelamkan-ibu-tambah-catatan-hitam-kekerasan-anak-di-jabar,"Anak Ditenggelamkan Ibu Tambah Catatan Hitam Kekerasan Anak di Jabar. Tragedi yang menimpa MR (13) kini sedang jadi sorotan. Remaja asal Desa Parigi Mulya Kecamatan Cipunagara, Subang itu tewas usai dibuang ke saluran irigasi Desa Bugis, Kecamatan Anjata, Indramayu oleh ibunya dalam kondisi hidup-hidup. Tak hanya itu MR juga sempat dianiaya dan diikat kedua lengannya. Aksi keji Nurhani tak hanya dilakukan seorang diri. Ia bersama bapaknya, Warim (70), dan adiknya, Suganda (24), nekat berbuat tindakan yang kejam hingga mengakibatkan nyawa korban melayang. Ketiganya pun kini sudah dijebloskan ke jeruji besi untuk mempertanggungjawabkan perbuatannya. Tragedi yang menimpa MR pun seolah menambah daftar panjang catatan kelam kasus kekerasan anak di Jawa Barat. Berdasarkan data pada laman Sistem Informasi Online Perlindungan Perempuan dan Anak (Simfoni-PPA) miliki Kementerian PPA, selama 5 tahun terakhir, kasus tersebut terus mengalami peningkatan. Misalnya pada 2019, laman Simfoni-PPA mencatat kekerasan anak di Jabar mencapai 454 kasus yang dialami 316 korban laki-laki dan 556 korban perempuan. Dibandingkan tahun 2018, kasus kekerasan itu memang mengalami penurunan dari sebelumnya total tercatat sebanyak 503 kasus.Laman Simfoni-PPA itu juga mencatat, pelaku kasus kekerasan terhadap anak berusia 6-17 tahun mayoritas dilakukan orang tua sebanyak 73 kasus, pacar/teman 65 kasus dan orang tak dikenal atau NA 44 kasus. Kemudian tetangga 42 kasus, guru 31 kasus, lainnya 25 kasus, hingga keluarga/saudara 18 kasus.Memasuki tahun 2020, kekerasan terhadap anak di Jabar mengalami lonjakan hingga mencapai 733 kasus. Korbannya menimpa anak-anak berusia 6-17 tahun dengan rincian 316 laki-laki dan 556 perempuan. Adapun pelakunya mayoritas dilakukan oleh teman/pacar sebanyak 83 kasus, orang tua 75 kasus dan tetangga 49 kasus. Disusul lainnya 44 kasus, orang tak dikenal atau NA 32 kasus hingga saudara/keluarga 18 kasus. Lonjakan kekerasan terhadap anak kembali terjadi pada 2021 dengan catatan sebanyak 949 kasus. Korbannya menimpa 330 anak laki-laki dan 758 anak perempuan. Laman Simfoni-PPA juga menampilkan pelaku kekerasan anak pada 2021 mayoritas dilakukan orang tua sebanyak 124 kasus, disusul teman/pacar 92 kasus dan lainnya 90 kasus. Kemudian tetangga 64 kasus, keluarga/saudara 49 kasus, guru 40 kasus hingga orang tak dikenal atau NA 28 kasus. Peningkatan lagi-lagi terjadi pada 2022. Tercatat, ada 1.053 kasus kekerasan anak di Jabar yang menimpa 280 korban anak laki-laki dan 875 anak perempuan. Pelaku kekerasan anak pada 2022 pun tercatat paling banyak dilakukan orang tua sebanyak 152 kasus, pacar/teman 100 kasus dan lainnya 98 kasus. Disusul tetangga 85 kasus, guru 53 kasus, keluarga/saudara 31 kasus dan orang tak dikenal atau NA 22 kasus. Sementara di tahun 2023 ini, laman Simfoni-PPA mencatat sudah terjadi 1.076 kasus di Jawa Barat. Korbannya menimpa 391 anak laki-laki dan 896 anak perempuan.Adapun pelaku kekerasan anak pada 2023 tercatat paling banyak dilakukan orang tua sebanyak 180 kasus, pacar/teman 168 kasus dan lainnya 162 kasus. Disusul tetangga 85 kasus, keluarga/saudara 78 kasus orang tak dikenal atau NA 33 kasus dan guru 31 kasus.Ironisnya, dalam catatan laman Simfoni-PPA, kekerasan terhadap anak di Jabar paling banyak berkategori kekerasan seksual. Kemudian disusul kekerasan lainnya, kekerasan psikis, kekerasan fisik, penelantaran, eksploitasi hingga trafficking atau perdagangan orang.Anak-anak tak berdosa ini juga paling rentan mengalami kekerasan saat berada di rumah tangga. Kemudian di tempat lainnya, sekolah, fasilitas umum hingga tempat kerja.",Keluarga,
Tersangka Bullying SMA Internasional Dijerat UU Kekerasan Anak hingga TPKS,"Jumat, 01 Mar 2024 12:47",https://news.detik.com/berita/d-7219775/tersangka-bullying-sma-internasional-dijerat-uu-kekerasan-anak-hingga-tpks,"Tersangka Bullying SMA Internasional Dijerat UU Kekerasan Anak hingga TPKS. Polisi menetapkan 12 orang sebagai tersangka kasus perundungan (bullying) siswa SMA internasional di Tangerang Selatan (Tangsel). Mereka terdiri dari 4 orang tersangka dan 8 anak berkonflik dengan hukum karena belum masuk usia dewasa.Kasat Reskrim Polres Tangsel AKP Alvino Cahyadi merinci pasal yang disangkakan kepada empat tersangka. Keempat tersangka yaitu pelajar yang semuanya adalah pria dengan inisial E (18), R (18), J (18), dan G (19). ""Empat orang saksi ditingkatkan status saksi menjadi tersangka yang diduga melakukan tindak pidana kekerasan terhadap anak di bawah umur dan/atau pengeroyokan sebagaimana dimaksud dalam Pasal 76C juncto Pasal 80 UU RI Nomor 35 tahun 2014 atas perubahan kedua UU RI Nomor 23 tahun 2002 tentang PerlindunganAnak dan/atau Pasal 170 KUHP,"" Kata AKP Alvino dalam jumpa pers di kantornya, Jumat (1/3/2024). Selain itu, 7 pelaku yang belum berusia dewasa atau disebut anak berkonflik dengan hukum (ABH) juga disangkakan pasal serupa. Ketujuh pelaku anak ini juga diduga melakukan kekerasan terhadap korban. ""Tujuh orang anak saksi ditetapkan sebagai anak yang berkonflik dengan hukum yang diduga melakukan tindak pidana kekerasan terhadap anak di bawah umur dan/atau pengeroyokan sebagaimana dimaksud dalam Pasal 76C juncto Pasal 80 UU RI Nomor 35 tahun 2014 atas perubahan kedua UU RI Nomor 23 tahun 2002 tentang Perlindungan Anak dan/atau Pasal 170 KUHP,"" kata Alvino. Sementara, untuk seorang pelaku lainnya yang juga anak berkonflik dengan hukum dikenakan pasal pelecehan yang diatur dalam UU Tindak Pidana Kekerasan Seksual (TPKS). Dia diduga melucuti celana korban saat aksi perundungan terjadi.""Satu orang anak saksi yang diduga melakukan tindak pidana kekerasan terhadap anak di bawah umur dan/atau tindak pidana melanggar kesusilaan terhadap anak korban dan/atau pengeroyokan sebagaimana dimaksud dalam Pasal 76C juncto Pasal 80 UU RI Nomor 35 tahun 2014 atas perubahan kedua UU RI Nomor 23 tahun 2002 tentang Perlindungan Anak dan/atau Pasal 4 ayat (2) huruf d juncto Pasal 5 Undang-Undang RI,"" urainya. Dugaan perundungan terhadap korban terjadi 2 kali yaitu tanggal 2 Februari 2024 dan 13 Februari 2024. Perundungan pertama terjadi karena korban hendak bergabung dengan komunitas para pelaku.Simak berita selengkapnya di halaman selanjutnya.",Teman,
Terekamnya Jerit Ketakutan 3 Balita Saat Disiksa Ayah di Cianjur,"Minggu, 01 Sep 2024 14:00",https://www.detik.com/jabar/berita/d-7518873/terekamnya-jerit-ketakutan-3-balita-saat-disiksa-ayah-di-cianjur,"Terekamnya Jerit Ketakutan 3 Balita Saat Disiksa Ayah di Cianjur. Jerit kesakitan tiga anak balita terdengar memilukan dari sebuah video yang diputar di layar ponsel. Terlihat seorang pria dengan brutalnya menyiksa anak, yang diketahui merupakan anak kandungnya. CS (34), mengabadikan aksi kejinya dalam video. Rekaman tersebut kemudian tersebar di media sosial dan jadi viral.Dalam video itu, terlihat CS awalnya bercanda dengan salah seorang anak perempuannya. Sang anak pun tampak tertawa riang. Namun kemudian dalam dua video lainnya, tampak CS malah melakukan tindak kekerasan terhadap anak-anaknya. CS mencekik sang anak, hingga mengangkat anaknya dengan satu tangan sehingga korban menggelantung kesakitan.Anak-anak itupun menangis kesakitan akibat ulah pelaku. Terlebih setelah CS juga menjatuhkan anak ke lantai.Video dari CS pun dikirimkan ibu korban yang sedang bekerja di luar negeri. Sang ibu akhirnya mengirimkan vide tersebut pada saudaranya. Pihak keluarga langsung kemudian melaporkan tindakan CS pada kepolisian. ""Setelah mendapatkan laporan dari paman korban beberapa hari lalu, kami langsung terjunkan tim untuk menangkap pelaku. Saat ini CS sudah kami amankan di Mapolres Cianjur,"" kata Kasatreskrim Polres Cianjur AKP Tono Listianto. Dari hasil pemeriksaan diketahui jika CS melakukan aksi tersebut lantaran terbakar api cemburu. CS menduga jika sang istri berselingkuh selama bekerja di luar negeri.""Motifnya karena cemburu, pelaku menuduh istrinya punya pria simpanan lain yang belum terbukti kebenarannya,"" kata dia.Atas perbuatannya, CS dijerat dengan pasal 44 Undang-undang nomor 23 tahun 2004 tentang Penghapusan Kekerasan dalam Rumah Tangga dengan ancaman hukuman 9 tahun penjara. Sementara itu, ketiga anaknya saat ini tengah menjalani pengobatan fisik dan psikis. Sebab, ketiganya tidak hanya mengalami luka fisik tetapi juga mengalami trauma. ""Ketiga balita itu dalam pendampingan khusus petugas dan sekarang diasuh oleh paman korban,"" kata Tono.",Keluarga,
Dalih Ibu Muda Bunuh Anak Tiri Masih Bocah gegara Suami Kurang Perhatian,"Kamis, 29 Agu 2024 08:00",https://www.detik.com/sulsel/hukum-dan-kriminal/d-7513977/dalih-ibu-muda-bunuh-anak-tiri-masih-bocah-gegara-suami-kurang-perhatian,"Dalih Ibu Muda Bunuh Anak Tiri Masih Bocah gegara Suami Kurang Perhatian. Ibu muda bernama Iftahurrahman (24) di Pontianak, Kalimantan Barat (Kalbar) yang tega menganiaya anak tirinya, Ahmad Nizam Alfahri (6) hingga tewas telah menjalani pemeriksaan. Pelaku ternyata iri dengan korban karena mendapat perhatian lebih dari ayahnya atau suami pelaku. Korban sebelumnya dilaporkan tewas setelah dianiaya di rumahnya di Kelurahan Parit Tokaya, Kecamatan Pontianak Selatan, Selasa (20/8). Namun, mayat korban baru ditemukan di dalam karung, Kamis (22/8) sekitar pukul 19.05 WIB.Setelah kasus pembunuhan ini terungkap, polisi kemudian mengamankan pelaku yang merupakan ibu tiri korban. Kepada penyidik, pelaku akhirnya mengungkap alasan menelantarkan hingga menganiaya korban. ""Motif pelaku dari pengakuannya merasa iri kepada korban Nizam karena suami pelaku lebih memperhatikan korban daripada pelaku dan anak hasil pernikahan dengan Ichan, ayah korban,"" ungkap Kabid Humas Polda Kalbar Kombes Raden Petit Wijaya kepada detikcom, Rabu (28/8/2024). Petit mengaku pihaknya masih mendalami tindakan kekerasan yang dilakukan pelaku ke korban. Sebab tidak menutup kemungkinan pelaku sering menganiaya korban sebelum meninggal dunia. ""Untuk seberapa sering yang bersangkutan melakukan penganiayaan masih akan didalami,"" ucapnya. Petit mengungkap pihaknya juga telah menggelar prarekonstruksi kejadian ini pada Sabtu (24/8). Hasilnya pelaku terbukti mendorong korban dengan kedua tangannya hingga jatuh ke lantai. ""Itu prarekonstruksi, ada 37 adegan. Yang pasti bahwa tersangka sudah mengakui saat kejadian tanggal 19 hingga ditemukannya korban, tersangka melakukan penganiayaan antara lain mendorong dengan kedua tangannya kepada korban hingga korban jatuh ke lantai,"" katanya. Peristiwa itu membuat korban mengalami retak pada tulang tengkorak kepalanya. Petit menuturkan trauma tersebut menyebabkan terjadinya pendarahan dan pembengkakan pada otak korban. ""Adanya trauma benda tumpul pada bagian kepala menyebabkan retaknya tulang tengkorak sebelah kiri,"" uangkapnya. ""Hal tersebut menjadikan peningkatan tekanan darah dalam rongga otak kepala yang menekan pusat pernapasan di batang otak dan menyebabkan gagal napas,"" lanjutnya.",Keluarga,
7 Fakta Isa Bajaj Cabut Laporan Kekerasan Terhadap Putrinya,"Rabu, 24 Apr 2024 11:23",https://www.detik.com/jatim/hukum-dan-kriminal/d-7307803/7-fakta-isa-bajaj-cabut-laporan-kekerasan-terhadap-putrinya,"7 Fakta Isa Bajaj Cabut Laporan Kekerasan Terhadap Putrinya. Isa Bajaj resmi mencabut laporan kekerasan yang menimpa putrinya. Pemilik nama lengkap Isa Wahyu Prastantyo ini mencabut laporan usai terduga pelaku menyerahkan diri ke Polres Magetan.Isa sempat Bajaj geram saat sang anak mengalami tindak kekerasan di sekitar Alun-alun Magetan. Sang anak pulang sambil menangis dengan kondisi kemaluan berdarah. Anak tersebut mengaku organ intimnya ditendang oknum yang disebutnya 'kakak cowok'. Isa Bajaj pun langsung membawa putrinya ke IGD pada Kamis (18/4). Setelah dari IGD, sang anak langsung dibawa ke poli kandungan. Hal itu untuk dilakukan pengecekan lebih jelas pada luka yang dialami anaknya. Isa Bajaj juga melaporkan dugaan kekerasan ini ke Polres Magetan. Kasat Reskrim Polres Magetan AKP Angga Perdana Brahmada mengatakan, terduga pelaku telah menyerahkan diri ke polisi pada Senin (22/4/2024).  ""Untuk perkembangan saat ini terduga orang yang terlibat mendatangi Polres Magetan untuk menyerahkan diri,"" ujar Angga saat dikonfirmasi detikJatim, Selasa (23/4/2024).Pria yang terduga menyebabkan anak perempuan Isa Bajaj mengalami luka pada kemaluan ini berinisial D (37). Warga Magetan ini merupakan orang tua dari anak basket yang saat itu tengah berlatih di kompleks Alun-alun Magetan. ""Dia ortu dari anak komunitas basket Magetan yang saat itu berada di lokasi,"" kata Angga. Angga mengatakan, polisi lalu melakukan pemeriksaan pada pria tersebut sejak Senin (21/4) sore hingga Selasa (22/4) dini hari tadi. ""Mulai kemarin menyerahkan diri dan kita periksa sampai tadi dini hari,"" papar Angga. Isa Bajaj juga mendatangi Satreskrim Polres Magetan dan mencabut laporannya. Isa Bajaj akan berdamai dengan D yang merupakan orang tua anak basket yang saat kejadian tengah berlatih di sekitar Alun-alun Magetan. ""Untuk Isa selaku ortu korban mencabut laporan kekerasan yang dialami anak perempuannya atas permintaan maaf terduga pelaku yang sudah menyerahkan diri kemarin,"" ujar Angga. Angga menjelaskan, terduga pelaku yang merupakan warga Magetan ini mengaku tak sengaja menabrak putri Isa Bajaj hingga kemaluannya berdarah. Isa Bajaj juga sudah memaafkan D atas itikad baik yang dilakukannya.""Pihak pelapor sudah memaafkan terduga pelaku karena ada unsur ketidaksengajaan. Yakni murni kecelakaan bertabrakan saat jalan di trotoar,"" papar Angga. Namun, Isa Bajaj berencana untuk meminta terduga pelaku membuat permintaan maaf di hadapan publik.""Pelapor meminta permintaan maaf harus di depan publik. Keterangan terduga pelaku, ia menyerahkan diri karena melihat berita yang seolah secara tidak langsung, dia alami saat kejadian,"" tandas Angga.Isa Bajaj buka suara usai mencabut laporan kekerasan pada anak perempuannya yang mengalami luka pada kemaluan. Ia memilih berdamai karena itikad baik dari terduga pelaku yang menyerahkan diri ke Polres Magetan. ""Saya kedatangan (D) yang terlibat kasus kekerasan anak saya,"" ujar Isa kepada wartawan di warungnya, Selasa (23/4/2024).Pertimbangan Isa memilih damai mencabut laporan ke Satreskrim Polres Magetan karena terduga pelaku sudah mengakui kesalahannya. Pelaku dengan iktikad baik juga menyerahkan diri setelah beredar kabar di media massa. ""Beliau sudah ke polisi yang mana sudah bercerita detail bahwa kecelakaan itu tidak sengaja. Mas D sudah mengakui kesalahannya tidak sengaja. Saya dan istri mencabut laporan,"" jelas Isa.Isa juga menjelaskan bahwa dugaan kekerasan yang dialami anak perempuannya bukan sepenuhnya kesalahan D. Isa beranggapan bahwa kesalahan juga ada pada anak perempuan yang tidak hati-hati saat bermain. ""Mungkin kelalaian mas D, juga kelalaian anak saya (tidak hati-hati bermain bertabrakan dengan D),"" kata Isa.",Teman,
"6 Anak Jakarta Jadi Korban Kekerasan dalam 2 Pekan, Ini Langkah Heru Budi","Rabu, 20 Des 2023 12:13",https://news.detik.com/berita/d-7099400/6-anak-jakarta-jadi-korban-kekerasan-dalam-2-pekan-ini-langkah-heru-budi,"6 Anak Jakarta Jadi Korban Kekerasan dalam 2 Pekan, Ini Langkah Heru Budi. Pemprov DKI Jakarta menyatakan bakal turun tangan menindaklanjuti kasus kekerasan anak yang angkanya sedang tinggi di Jakarta. Pada bulan ini, setidaknya ada enam anak yang menjadi korban kekerasan orang dewasa.Penjabat (Pj) Gubernur DKI Jakarta Heru Budi Hartono mengatakan pihaknya akan melakukan evaluasi mengenai peristiwa itu. ""Iya, iya (akan dilakukan evaluasi),"" kata Heru menjawab pertanyaan wartawan di Pasar Induk Kramat Jati, Jakarta Timur, Rabu (20/12/2023). Sementara itu, langkah lainnya, lanjut Heru, dengan melakukan pendampingan terhadap keluarga korban. ""Pasti (ada langkah dari pemprov), dari Dinas Kesehatan dan PPAPP (Dinas Pemberdayaan, Perlindungan Anak dan Pengendalian Penduduk) pasti ada pendampingan,"" ucap Heru. Sebelumnya diberitakan, angka kasus kekerasan anak sedang tinggi di Jakarta. Pada bulan ini, setidaknya ada enam anak yang menjadi korban kekerasan orang dewasa.Enam anak yang menjadi korban peristiwa kekerasan akhirnya meninggal dunia. Mirisnya, lima dari enam korban tewas di tangan orang tua kandung.Enam korban tersebut terjadi dalam tiga kasus. Keenam anak menjadi korban pelampiasan kemarahan orang-orang dewasa tersebut. Kasus terbaru, seorang anak tewas akibat dibanting ayah kandungnya di Penjaringan, Jakarta Utara (Jakut), pada Rabu (13/12). Sebelumnya, seorang pria di Jagakarsa, Jakarta Selatan (Jaksel), bernama Panca Darmansyah (41) membunuh empat anak kandungnya. Dan satu kasus lainnya ialah pria bernama Risqi Ariskalaki (29), yang menganiaya anak berusia 3 tahun hingga menyebabkan korban patah leher dan koma hingga akhirnya meninggal dunia",Keluarga,
"Bocah di Jakut Terluka Diduga Kena Sabet Sekuriti, Polisi Selidiki","Rabu, 12 Jun 2024 17:58",https://news.detik.com/berita/d-7387919/bocah-di-jakut-terluka-diduga-kena-sabet-sekuriti-polisi-selidiki,"Bocah di Jakut Terluka Diduga Kena Sabet Sekuriti, Polisi Selidiki. Seorang anak laki-laki diduga menjadi korban kekerasan di Pademangan, Jakarta Utara (Jakut). Korban terluka di bagian jempol tangan kiri karena diduga terkena senjata tajam (sajam). Peristiwa itu disebut terjadi di sebuah pom bensin yang sudah tak terpakai pada Selasa (11/6) kemarin. Korban diduga terluka akibat kekerasan yang dilakukan petugas keamanan yang menjaga lokasi itu. Beredar kabar peristiwa itu bermula saat korban bersama teman-temannya bermain di area pom bensin itu. Kemudian, terduga pelaku menegur korban dan temannya. Terduga pelaku diduga membawa sajam saat menegur anak-anak yang bermain di area tersebut. Namun, akhirnya terjadi insiden yang menyebabkan tangan korban terluka. Belum diketahui jelas kronologi peristiwa itu. Disebutkan korban harus dijahit luka di tangan kirinya. Polisi menyelidiki peristiwa tersebut. Anggota Polsek Pademangan sedang mendatangi tempat kejadian perkara (TKP) tersebut untuk menggali keterangan dan mengumpulkan fakta-fakta. ""Betul (sedang diselidiki),"" kata Kapolsek Pademangan Kompol Binsar Hatorangan Sianturi saat dimintai konfirmasi, Rabu (12/6/2024). Anggota Polsek Pademangan juga berupaya mengumpulkan keterangan dari para saksi-saksi dan korban. Polisi juga mencari terduga pelaku.""Kami cek TKP,"" katanya.",Orang asing,
