Judul,Tanggal,Link,Isi Berita,Label,
Ibu di Tangsel 'Ngumpet' di Rumah Teman Usai Video Lecehkan Anak Viral,"Selasa, 04 Jun 2024 13:51",https://news.detik.com/berita/d-7373390/ibu-di-tangsel-ngumpet-di-rumah-teman-usai-video-lecehkan-anak-viral,"Ibu di Tangsel 'Ngumpet' di Rumah Teman Usai Video Lecehkan Anak Viral. Seorang ibu berinisial R (22) yang diduga melecehkan anak kandungnya yang berusia 5 tahun di Pondok Aren, Tangerang Selatan, sempat bersembunyi di rumah temannya setelah tahu videonya viral. R tidak pulang ke rumahnya di Pondok Aren dengan alasan berkunjung ke rumah orang tuanya di Kota Tangerang.Kakak ipar R yang berinisial S mengungkapkan dirinya mengetahui video itu ketika teman-teman keponakannya yang SMP datang ke rumahnya lalu melaporkan soal video R yang viral.""Ada itu anak-anak SMP, teman ponakan saya. Mereka bilang ke adik saya 'itu Tante R viral sama anaknya' mereka punya link-nya, kita lihat jadinya di situ. Kaget kita. Dan kebetulan anaknya R itu posisi nggak ada di rumah. Kemarin ngontrak di sini, pas malam (30/5) itu pindah,"" kata S kepada detikcom di Pondok Aren, Tangsel, Selasa (4/6/2024). Sejak video itu viral, R meninggalkan kosannya. R pamit ke suaminya untuk pergi ke rumah temannya.""Waktu itu dia (adik S) bilang bininya di rumah teman, masih daerah sini. Nggak bilang pasti dari mana. Kirain ke rumah bapaknya, tapi ternyata nggak. Mungkin malu juga, padahal sebelumnya bilang mau pulang ke rumah bapaknya,"" kata S.""Kalau netizen bilang ada di luar kotalah, kabur ke Tasik-lah. Nggak, dia masih di daerah sini. Di teman akrabnya,"" sambung dia.S kemudian bilang I mengaku akan pindah dari kontrakan di Pondok Aren. I pun membawa pakaian dari kontrakan.S yang kaget karena video viral adik iparnya pun langsung mengontak I. Mereka ingin sekeluarga kumpul untuk membahas kasus itu.""Kata kita pulang dulu, mau ada yang diobrolin. Cuma mungkin dia udah tahu ada masalah apa kalau ada video itu. Akhirnya nggak pulang, takut malu juga kayaknya. Dikontak gimana-gimana nggak diangkat,"" ucap dia.""Pas paginya dia nelpon ke kakak saya. 'Ada apa kok suruh ngumpul, yang kasus di TikTok ya?'. Akhirnya pulang itu suaminya, sendiri. Kita tanya, 'gimana nih bini lu, malu sekeluarga'. Katanya 'ya gimana, itu bini gua, gak bisa langsung pisah, ada anak kecil juga, entar gimana anak'. Akhirnya biarinlah, kita juga nggak ada niatan buat melaporkan. Pasrah aja,"" imbuhnya.R menyerahkan diri ke polisi usai video viral tersebut. R saat ini telah ditetapkan sebagai tersangka dan ditahan di Polda Metro Jaya.",Keluarga,
Sampai Hati Ibu di Tangsel Lecehkan Anak gegara Tergiur Duit Rp 15 Juta,"Selasa, 04 Jun 2024 12:23",https://www.detik.com/jateng/hukum-dan-kriminal/d-7373162/sampai-hati-ibu-di-tangsel-lecehkan-anak-gegara-tergiur-duit-rp-15-juta,"Sampai Hati Ibu di Tangsel Lecehkan Anak gegara Tergiur Duit Rp 15 Juta. Ibu muda berinisial R (22) yang viral melecehkan anaknya sendiri yang berusia 5 tahun, resmi ditetapkan sebagai tersangka. Warga Pondok Aren, Tangerang Selatan (Tangsel) itu tega melecehkan anak kandungnya karena iming-iming uang Rp 15 juta.Dilansir detikNews Selasa (4/6/2024), kasus ini mengemuka setelah video pelecehan seksual yang dilakukan R kepada putranya itu viral di media sosial. Setelah diusut, aksi pelecehan itu dilakukan R kepada putranya di sebuah kosan di Pondok Aren, Tangerang Selatan pada Juli 2023.Usai viral, R kemudian menyerahkan diri ke polisi. Kapolres Metro Tangerang Kota Kombes Zain Dwi Nugroho mengatakan pelaku menyerahkan diri ke polisi pada Minggu (2/6) malam. ""Pelaku sudah menyerahkan diri, sekarang ditangani Polda Metro,"" kata Zain Dwi Nugroho, saat dihubungi detikcom, Senin (3/6).Kepada polisi, R mengaku dirinya melakukan pelecehan karena disuruh seseorang yang dikenalnya melalui Facebook. R awalnya dihubungi akun FB Icha Shakila pada 28 Juli 2023.""Kemudian pemilik akun Facebook Icha Shakila (DPO) ini membujuk Tersangka untuk mengirimkan foto tanpa busana dengan iming-iming akan dikirimkan sejumlah uang. Karena desakan kebutuhan ekonomi, tersangka R mengirimkan foto tanpa busana milik Tersangka,"" jelas Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi saat dihubungi detikcom, Senin (3/6).R beralasan dirinya tega melecehkan anaknya sendiri karena tergiur tawaran uang belasan juta dari 'Icha'.""Tersangka juga dijanjikan akan dikirim uang sejumlah Rp 15 juta,"" imbuhnya.Setelah mengirimkan foto bugil tersebut, R justru diancam pelaku akan disebar foto bugil dirinya jika tidak mengikuti skenarionya.R mengaku awalnya dirinya diminta oleh sosok 'Icha' untuk membuat video mesum dengan suaminya. Namun, karena suaminya sedang tak di rumah, akhirnya 'Icha' menyuruhnya untuk berhubungan badan dengan anaknya.""Tersangka menolak karena suaminya tidak ada di rumah. Kemudian yang ada hanya anaknya, seorang anak laki-laki, akhirnya si pemilik Facebook itu meminta tersangka berhubungan badan dengan anak laki-lakinya,"" ujarnya.R kemudian menuruti permintaan sosok 'Icha' tersebut karena takut foto bugilnya disebarluaskan. Tapi yang terjadi, sosok 'Icha' menghilang setelah R mengirim video saat melecehkan anaknya itu.""Karena merasa diancam menurut keterangan tersangka, akhirnya tersangka melakukan pencabulan dan melakukan hal yang tidak baik. Kemudian direkam yang kemudian menjadi viral,"" imbuhnya.R kini ditetapkan sebagai tersangka kasus dugaan pelecehan terhadap anak kandungnya sendiri yang berusia 5 tahun. Tersangka terancam hukuman hingga 12 tahun penjara atas perbuatan bejatnya.""Pasal 45 ayat (1) jo Pasal 27 ayat (1) UU Nomor 1 Tahun 2024 tentang Perubahan Kedua UU Nomor 11 Tahun 2008 tentang Informasi dan Transaksi Elektronik dan/atau Pasal 29 jo Pasal 4 ayat (1) UU Nomor 44 Tahun 2008 tentang Pornografi dan/atau Pasal 88 jo Pasal 76 UU Nomor 35 Tahun 2014 tentang Perubahan UU Nomor 23 Tahun 2002 tentang Perlindungan Anak,"" jelas Ade Ary.Polisi kini tengah memburu pemilik akun Facebook 'Icha Shakila'.""Sedang didalami,"" kata Ade Ary.",Keluarga,
Viral Ayah di Probolinggo Pukul hingga Banting Anak Perempuannya,"Jumat, 09 Feb 2024 19:30",https://www.detik.com/jatim/hukum-dan-kriminal/d-7185293/viral-ayah-di-probolinggo-pukul-hingga-banting-anak-perempuannya,"Viral Ayah di Probolinggo Pukul hingga Banting Anak Perempuannya. Sebuah video penganiayaan viral di media sosial. Video penganiayaan tersebut diduga dilakukan seorang ayah kepada anak perempuannya di pinggir jalan raya.Dalam video berdurasi 55 detik itu tampak seorang lelaki tampak menarik anak perempuan itu ke atas motor. Tak lama, pria tersebut tampak memukul berkali-kali anak perempuannya.Selain seorang pria, di lokasi tampak seorang perempuan yang diduga istri atau ibu korban. Saat itu ibu korban berada di belakang sambil menggendong anaknya yang lain. Sedangkan dalam keterangan video, lokasi kejadian berada di depan Pos Sabhara Polres Probolinggo Kota, Jalan Panglima Sudirman, Kelurahan Jati, Kecamatan Mayangan.Supriyadi, warga setempat mengatakan penganiayaan itu terjadi Kamis (8/2) malam, bahkan suara jeritan dan tangisan anak perempuan tersebut terdengar dari kejauhan.""Ada pasangan suami-istri sedang bawa 2 anak, 1 anaknya berumur sekitar 4 sampai 5 tahunan dan satu lagi masih kecil. Memang sebelum berhenti di depan pos Sabhara Polres Probolinggo Kota, kondisi si anak ini sudah menangis,"" kata Supriyadi, Jum'at (9/2/2024).Meski demikian, Supriyadi tak mengetahui persis penyebab penganiayaan itu. Sebab, saat didekati pria dan perempuan yang diduga orang tua korban langsung melanjutkan perjalanan.Menurut Supriyadi, aksi penganiayaan itu sempat direkam oleh keponakannya dan beredar viral. Sebab, penganiayaan tersebut dinilai keterlaluan. Ia berharap polisi segera mengusutnya.""Keponakan saya yang merekam dan laporan ke saya kalau ada anak dipukul ayahnya bahkan sampai dibanting. Semoga pelakunya cepat ketemu dan diproses oleh pihak berwajib, kasihan anaknya,"" tandas Supriyadi.",Keluarga,
Alasan Ibu di Tangsel Serahkan Diri Usai Lecehkan Anak: Tahu Dicari Polisi,"Rabu, 05 Jun 2024 18:44",https://news.detik.com/berita/d-7376113/alasan-ibu-di-tangsel-serahkan-diri-usai-lecehkan-anak-tahu-dicari-polisi,"Alasan Ibu di Tangsel Serahkan Diri Usai Lecehkan Anak: Tahu Dicari Polisi. Polisi mengungkap alasan ibu muda berinisial R (22) di Tangerang Selatan, Banten, menyerahkan diri setelah diduga mencabuli anak kandungnya sendiri yang berusia 3 tahun. Wanita R tahu dirinya tengah dicari oleh polisi.""Jadi yang bersangkutan ini karena mengetahui keberadaannya dicari anggota kami,"" kata Wadir Reskrimsus Polda Metro Jaya AKBP Hendri Umar dalam jumpa pers di Polda Metro Jaya, Rabu (5/6/2024).Sebagai informasi, peristiwa pelecehan terjadi pada 30 Juli 2023. Video pelecehan tersebut pun viral di media sosial, berujung R menyerahkan diri ke Polres Metro Tangerang Selatan pada Minggu (2/6) malam. Hendri mengatakan pihak kepolisian sudah mendatangi kontrakan tersangka di daerah Pondok Aren, Tangsel, tapi nihil. Polisi pun memburu pelaku ke rumah orang tuanya.""Akhirnya bahwa pada tanggal 2 Juni 2024, si pelaku seorang wanita berinisial R akhirnya bisa diamankan oleh anggota kita dari jajaran Subdit Siber Ditreskrimsus Polda Metro Jaya, di perjalanan menuju Polres Tangsel,"" ucapnya.Saat ini, wanita R sudah ditetapkan sebagai tersangka. Atas kasus tersebut, R dijerat pasal berlapis tentang Undang-Undang ITE, Undang-Undang Pornografi, dan Undang-Undang Nomor 23 Tahun 2002 tentang Perlindungan Anak dengan ancaman maksimal 12 tahun penjara.Sebelum mengirimkan video pelecehan kepada anaknya itu, R mengaku dirinya diminta mengirimkan foto bugil ke akun Icha Shakila. R dijanjikan akan dikirimi uang.Dengan dalih kebutuhan ekonomi, R pun menurutinya. Namun, setelah ia mengirimkan foto bugil, sosok 'Icha Shakila' memintanya membuat video dengan gaya dan skenario sesuai permintaannya, yakni melakukan pelecehan kepada anak R sendiri.""Pada tanggal 30 Juli 2023 setelah mengirimkan foto tersebut, sekitar pukul 18.25 WIB, tersangka R diminta membuat video dengan gaya dan skenario dari pemilik akun Facebook Icha Shakila dengan ancaman apabila tidak membuat video yang diminta oleh akun Facebook tersebut maka foto tanpa busana milik Tersangka yang pernah dikirim akan disebarluaskan,"" paparnya.Namun janji tinggal janji. Nyatanya, R tidak dikirimi uang tersebut dan sosok 'Icha Shakila' menghilang.Video tersebut kemudian viral di media sosial. R kemudian menyerahkan diri ke polisi.",Keluarga,
Polisi Cari Penyebar Pertama Video Ibu Lecehkan Anak Sendiri di Tangsel,"Rabu, 05 Jun 2024 17:05",https://news.detik.com/berita/d-7375865/polisi-cari-penyebar-pertama-video-ibu-lecehkan-anak-sendiri-di-tangsel,"Polisi menyelidiki penyebar pertama video seorang ibu di Tangerang Selatan (Tangsel) yang melecehkan anaknya sendiri. Polisi memeriksa dua unit handphone (HP) milik pelaku.""Kita saat ini sedang mengembangkan karena ini baru kita amankan dua hari lalu. Jadi device-device HP baru kita sita. Kita mau pastikan akun siapa yang pertama kali menyebarkan ke media sosial,"" kata Wadirreskrimsus Polda Metro Jaya AKBP Hendri Umar, dalam jumpa pers di kantornya, Rabu (5/6/2024).Ibu berusia 22 tahun itu mengaku video disebar ke akun media sosial (medsos) oleh orang lain. Polisi juga menyelidiki kebenaran pengakuan tersebut. ""Yang pertama kali tertangkap itu, itu video yang disebarkan oleh orang lain melalui akun medsos. Itu yang kami dalami untuk mengetahui siapa yang pertama kali menyebarkan video tersebut di medsos,"" katanya.Polisi juga masih menyelidiki akun Facebook (FB) bernama Icha Shakila (IS), yang diduga memerintah pelaku untuk membuat video asusila dengan anaknya. Pemilik akun FB Icha memerintah ibu korban untuk mengikuti arahannya dan dijanjikan sejumlah uang.""Kemudian juga keterlibatan akun IS sebagaimana saya sampaikan tadi. Sejauh mana perannya apakah ada keterlibatan langsung IS ini karena yang menyuruh pertama kali melakukan adalah akun IS ini,"" katanya.Hendri mengatakan penyidik masih mengidentifikasi pihak yang menguasai akun Icha. Akun FB tersebut sudah tidak aktif.""Akun ini sudah mati sejak Juli 2023, mungkin setelah men-share berita itu ke media sosial, akun itu mati. Tapi sekarang dalam proses pengembangan atau penyelidikan oleh tim kami untuk mengetahui dan mengidentifikasi siapa akun IS ini,"" tegasnya.Diberitakan sebelumnya, R telah ditetapkan sebagai tersangka dan masih diperiksa kejiwaannya. Polisi menyebut korban dilecehkan saat usianya masih 3 tahun.""Saat kejadian proses pembuatan video itu kurang lebih setahun lalu, korban berusia 3 tahun. Jadi kejadiannya sangat memprihatinkan,"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi kepada wartawan, Selasa (4/6).Simak Video 'Iming-iming Rp 15 Juta Bikin Ibu di Tangsel Tega Lecehkan Anak': [Gambas:Video 20detik] Simak berita selengkapnya di halaman selanjutnya.",Keluarga,
"Teganya Ayah di Jambi Perkosa 3 Anak Kandung, Ada yang Berkali-kali","Rabu, 05 Jun 2024 10:31",https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-7374693/teganya-ayah-di-jambi-perkosa-3-anak-kandung-ada-yang-berkali-kali,"Teganya Ayah di Jambi Perkosa 3 Anak Kandung, Ada yang Berkali-kali. Ayah di Tanjung Jabung Barat, Jambi, tega memperkosa tiga putri kandungnya selama beberapa bulan terakhir. Bahkan ada yang diperkosa berkali-kali.Pria berinisial ML itu sudah ditangkap dan ditahan Polda Jambi. Polisi masih mendalami motif dan kronologi pemerkosaan tersebut. ""Sudah kita tangkap saat ini sudah kita tahan di Polda Jambi. Kita juga lagi sidik untuk pelaku tersebut,"" ujar Plh Kasubbid Penmas Bidang Humas Polda Jambi Kompol Amin Nasution, Selasa (4/6/2024). Kuasa hukum keluarga korban, Putra Tambunan mengatakan, pelaku telah memperkosa 3 anak kandungnya yang masih berumur 16 tahun, 12 tahun, dan 11 tahun. Bahkan, ada anaknya yang berulang kali menjadi korban asusila tersebut. ""Untuk anak yang pertama, tadi pengakuan dari pelaku juga kita lihat ada sepintas videonya. Untuk anak yang pertama pelaku melakukannya 1 kali. Untuk anak korban yang inisial MH (anak ke-2) itu dilakukan sebanyak 5 kali. Dan untuk anak ke-3 itu dilakukan sebanyak 1 kali,"" katanya, Selasa. Dari keterangan ketiga korban, jika tidak mengikuti kemauan ayahnya, mereka diancam dibunuh. Bahkan, jika berani mengadu ke ibunya juga akan dibunuh. ""Sehingga ini mereka pun ketakutan dan hanya mendiamkan peristiwa yang dialaminya. Aksi bejat pelaku juga disebut-sebut sudah berlangsung lama yakni semenjak Januari 2024,"" ujarnya.Dari kasus ini, Putra berharap korban mendapat keadilan, dan pelaku dapat dihukum seberat-beratnya atas perbuatan bejatnya yang telah memperkosa ketiga anak kandugnya. Bahkan, dia berharap pelaku dapat dihukum kebiri.""Kami sangat berharap agar pelaku diberikan hukuman yang seberat-beratnya. Dan apabila nanti ke depan majelis hakim berkenan, agar pelaku ini diberikan hukuman kebiri. Supaya ini benar-benar menjadi efek jera,"" harapnya.",Keluarga,
Ayah di Jambi yang Perkosa 3 Anak Kandung Ditangkap dan Ditahan,"Rabu, 05 Jun 2024 07:00",https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-7374548/ayah-di-jambi-yang-perkosa-3-anak-kandung-ditangkap-dan-ditahan,"Ayah di Tanjung Jabung Barat, Jambi, berinisial ML yang memperkosa 3 anak kandungnya sudah ditangkap. Saat ini pelaku sudah ditahan dan masih dilakukan pemeriksaan oleh penyidik Subdit Renakta Ditreskrimum Polda Jambi. ""Sudah kita tangkap saat ini sudah kita tahan di Polda Jambi. Kita juga lagi sidik untuk pelaku tersebut,"" ujar Plh Kasubbid Penmas Bidang Humas Polda Jambi Kompol Amin Nasution, Selasa (4/6/2024).Amin mengatakan bahwa saat ini penyidikan masih berlangsung. Dirinya belum bisa mengungkapkan motif dan kronologi pelaku memperkosa ketiga anaknya. ""Kita akan konferensi pers di Polda Jambi ditunggu aja, ya,"" ujarnya. Sementara itu, kuasa hukum keluarga korban, Putra Tambunan mengatakan pelaku telah memperkosa 3 anak kandungnya, yang masih berumur 16 tahun, 12 tahun, dan 11 tahun. Bahkan, ada anaknya yang berulang kali menjadi korban asusila tersebut. ""Untuk anak yang pertama, tadi pengakuan dari pelaku juga kita lihat ada sepintas videonya. Untuk anak yang pertama pelaku melakukannya 1 kali. Untuk anak korban yang inisial MH (anak ke-2) itu dilakukan sebanyak 5 kali. Dan untuk anak ke-3 itu dilakukan sebanyak 1 kali,"" katanya, Selasa.Dari keterangan ketiga korban, kata Putra, jika tidak mengikuti kemauan ayahnya maka mereka diancam akan dibunuh. Bahkan, jika berani mengadu ke ibunya juga akan dibunuh.Dengan ancaman itu, sambungnya, membuat ketiga korban ini menjadi takut dan mengikuti keinginan sang ayah. ""Sehingga ini mereka pun ketakutan dan hanya mendiamkan peristiwa yang dialaminya. Aksi bejat pelaku juga disebut-sebut sudah berlangsung lama yakni semenjak Januari 2024,"" ujarnya. Putra mengaku bahwa sudah melaporkan kasus itu ke Polda Jambi dengan laporan nomor: LP/B/149/2024/SPKT/Polda Jambi. ""Kita membuat laporan ke Polda Jambi. Laporan kita diterima dan sudah dilakukan pemeriksaan untuk saksi-saksi,"" katanya.Dari kasus ini, Putra berharap korban mendapat keadilan, dan pelaku dapat dihukum seberat-beratnya atas perbuatan bejatnya yang telah memperkosa ketiga anak kandugnya. Bahkan, dia berharap pelaku dapat dihukum kebiri. ""Kami sangat berharap agar pelaku diberikan hukuman yang seberat-beratnya. Dan apabila nanti ke depan majelis hakim berkenan, agar pelaku ini diberikan hukuman kebiri. Supaya ini benar-benar menjadi efek jera,"" harapnya.",Keluarga,
Teriakan Histeris Anak Perempuan Dipukul dan Dibanting Ayah di Probolinggo,"Sabtu, 10 Feb 2024 10:26",https://www.detik.com/jatim/hukum-dan-kriminal/d-7185942/teriakan-histeris-anak-perempuan-dipukul-dan-dibanting-ayah-di-probolinggo,"Teriakan Histeris Anak Perempuan Dipukul dan Dibanting Ayah di Probolinggo. Teriakan histeris dan tangisan anak perempuan terdengar di pinggir jalan Probolinggo. Ada seorang laki-laki diduga ayah sang anak tengah memukul anak tersebut berkali-kali, lalu membantingnya ke tanah. Penganiayaan tersebut terekam video hingga viral di media sosial. Aksi penganiayaan tersebut dilakukan di pinggir jalan raya. Dalam video berdurasi 55 detik itu, tampak seorang lelaki menarik anak perempuan itu ke atas motor. Tak lama, pria tersebut tampak memukul berkali-kali anak perempuannya.Selain seorang pria, di lokasi tampak seorang perempuan yang diduga istri atau ibu korban. Saat itu ibu korban berada di belakang sambil menggendong anaknya yang lain. Sedangkan dalam keterangan video, lokasi kejadian berada di depan Pos Sabhara Polres Probolinggo Kota, Jalan Panglima Sudirman, Kelurahan Jati, Kecamatan Mayangan.Supriyadi, warga setempat mengatakan, penganiayaan itu terjadi Kamis (8/2) malam, bahkan suara jeritan dan tangisan anak perempuan tersebut terdengar dari kejauhan. ""Ada pasangan suami-istri sedang bawa 2 anak, 1 anaknya berumur sekitar 4 sampai 5 tahunan dan satu lagi masih kecil. Memang sebelum berhenti di depan pos Sabhara Polres Probolinggo Kota, kondisi si anak ini sudah menangis,"" kata Supriyadi, Jumat (9/2/2024). Meski demikian, Supriyadi tak mengetahui persis penyebab penganiayaan itu. Sebab, saat didekati pria dan perempuan yang diduga orang tua korban langsung melanjutkan perjalanan. Menurut Supriyadi, aksi penganiayaan itu sempat direkam oleh keponakannya dan beredar viral. Sebab, penganiayaan tersebut dinilai keterlaluan. Ia berharap polisi segera mengusutnya. ""Keponakan saya yang merekam dan laporan ke saya kalau ada anak dipukul ayahnya bahkan sampai dibanting. Semoga pelakunya cepat ketemu dan diproses oleh pihak berwajib, kasihan anaknya,"" tandas Supriyadi.",Keluarga,
"Ayah di Jambi Perkosa 3 Anak Kandung, Ancam Bunuh Korban Jika Ngadu","Selasa, 04 Jun 2024 20:18",https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-7374192/ayah-di-jambi-perkosa-3-anak-kandung-ancam-bunuh-korban-jika-ngadu,"Ayah di Jambi Perkosa 3 Anak Kandung, Ancam Bunuh Korban Jika Ngadu. Ayah di Tanjung Jabung Barat, Jambi berinisial ML, tega memperkosa 3 anak kandungnya. Saat beraksi, pelaku mengancam akan membunuh mereka jika melapor ke ibunya. Cerita pilu ini sempat dibagikan di media sosial salah satu keluarga korban dan pihak keluarga sudah melaporkan ke kepolisian. Pelaku sudah ditahan pihak kepolisian akibat perbuatan bejatnya itu.Pihak keluarga dan kuasa hukum telah melaporkan ke Polda Jambi dengan laporan nomor: LP/B/149/2024/SPKT/Polda Jambi. ""Kita membuat laporan ke Polda Jambi. Laporan kita diterima dan sudah dilakukan pemeriksaan untuk saksi-saksi,"" kata kuasa hukum keluarga korban, Putra Tambunan, Selasa (4/6/2024). Putra menerangkan dalam laporan itu, pelaku dilaporkan dengan pasal pemerkosaan dan pencabulan terhadap anak di bawah umur. Pelaku telah memperkosa 3 anak kandungnya, yang masih berumur 16 tahun, 12 tahun, dan 11 tahun. Bahkan, ada anaknya yang berulang kali menjadi korban asusila tersebut. ""Untuk anak yang pertama, tadi pengakuan dari pelaku juga kita lihat ada sepintas videonya. Untuk anak yang pertama pelaku melakukannya 1 kali. Untuk anak korban yang inisial MH (anak ke-2) itu dilakukan sebanyak 5 kali. Dan untuk anak ke-3 itu dilakukan sebanyak 1 kali,"" jelasnya. Putra menambahkan berdasarkan keterangan korban bahwa jika tiga anak ini tidak mengikuti kemauan ayahnya, mereka diancam akan dibunuh. Begitu pun jika korban berani melaporkan aksi tersebut ke ibunya. ""Sehingga ini mereka pun ketakutan dan hanya mendiamkan peristiwa yang dialaminya. Aksi bejat pelaku juga disebut-sebut sudah berlangsung lama yakni semenjak Januari 2024,"" ujarnya. Dari kasus ini, Putra berharap agar korban mendapat keadilan dan bagi pelaku agar dihukum seberat-beratnya atas perbuatan bejatnya itu. ""Kami sangat berharap agar pelaku diberikan hukuman yang seberat-beratnya. Dan apabila nanti ke depan majelis hakim berkenan, agar pelaku ini diberikan hukuman kebiri. Supaya ini benar-benar menjadi efek jera,"" harapnya. Sementara itu, Plh Kasubbid Penmas Bidang Humas Polda Jambi Kompol Amin Nasution membenarkan adanya laporan ayah yang mencabuli tiga anak tersebut. Dia mengatakan pelaku sudah ditahan dan dilakukan pemeriksaan oleh penyidik Subdit Renakta Ditreskrimum Polda Jambi. ""Sudah kita tangkap saat ini sudah kita tahan di Polda Jambi. Kita juga lagi sidik untuk pelaku tersebut,"" ujarnya. Amin mengatakan bahwa saat ini lagi penyidikan masih berlangsung. Dirinya belum bisa mengungkapkan motif dan kronologi kejadian. ""Kita akan konferensi pers di Polda Jambi ditunggu aja, ya,"" ujarnya.",Keluarga,
Psikologi Ibu Muda di Tangerang yang Lecehkan Anak Sendiri Bakal Diperiksa,"Selasa, 04 Jun 2024 20:30",https://news.detik.com/berita/d-7374330/psikologi-ibu-muda-di-tangerang-yang-lecehkan-anak-sendiri-bakal-diperiksa,"Psikologi Ibu Muda di Tangerang yang Lecehkan Anak Sendiri Bakal Diperiksa. UPTD PPA Tangerang Selatan bakal melakukan pemeriksaan psikologis ibu muda berinisial R yang melecehkan anak kandungnya di Tangerang, Banten. Pemeriksaan psikologis akan dilakukan dalam waktu dekat. ""Ya tapi lihat kondisi dulu. Tadinya mau hari ini,tapi sudah terlalu sore, dalam waktu dekat. Karena kami ingin bicara dengan penyidiknya juga dan ibunya ini,"" ujar Kepala UPTD PPA Tangsel Tri Purwanto kepada detikcom di Kantor UPTD PPA Tangsel, Selasa (4/6/2024).""Kita lihat kondisinya, lambat laun akan kami kembalikan. Apalagi kalau anak umur 4 tahun belum ngerti apa yang terjadi,"" lanjut dia. Selain pemeriksaan R, PPA telah memeriksa kondisi psikologis anak dan suaminya. Keluarga lain atau kakak ipar R juga turut diperiksa. ""Ya hari ini kami lakukan pemeriksaan anak, suami, hingga kakak dari suami R. Tadi saya bicara dengan psikolognya. Dia baru melihat gambaran awalnya saja. Karena dia tak mau ganggu fisiologi anaknya yang sedang ceria ini,"" katanya. ""Ini baru lihat luar, nanti untuk mendalam Psikolog akan lakukan pemeriksaan mendalam terhadap perilaku, apakah ada perilaku menyimpang, bagaimana pun peristiwa yang dialami akan berdampak ke kehidupan mendatangnya,"" imbuhnya. Tri Purwanto menjelaskan kondisi anak dari R tersebut. Tri menyebut kondisi anak dalam keadaan baik. ""(Dari psikolog) belum waktunya tanya terlalu dalam, karena sejauh ini kondisinya bagus. Secara umum masih oke, tapi kita belum tahu lebih dalam, ingin menjaga dulu emosinya,"" lanjut dia. Tri Purwanto melanjutkan pemeriksaan suami R sangat penting dilakukan. Pasalnya sikap dan perilaku suami R dapat mempengaruhi kondisi psikologis anaknya. ""Sikap dan perilaku suami R ini yang juga akan kami pantau. Karena ini juga demi masa depan anaknya,"" ungkapnya.Anak maupun suami tersangka berada dalam perlindungan PPA Tangsel. Untuk sementara ini, kata Tri, mereka akan tinggal di tempat yang telah disediakan dan dipantau kondisi psikologisnya.""Untuk saat ini kami lakukan pemantauan di Rumah Aman. Karena saran dari Psikolog bagusnya di Rumah Aman dulu. Kami juga jaga fisiologis si anak, takutnya kalau kembali ke rumah terganggu,"" ungkap dia.""Dari kakaknya juga bilang masih banyak tetangganya yang gunjing. Ingin tahu detail, kepo. Kita putuskan di rumah aman,"" ungkapnya. Selanjutnya, Tri Purwanto mengimbau kepada seluruh masyarakat jika mendapat kasus serupa agar tidak segan untuk melapor ke PPA. Dia menyebut hotline PPA 24 jam siap siaga.""Jadi kalau yang mengalami serupa, bisa lapor ke UPTD PPA, ada semua di provinsi kabupaten kota. Atau lapor ke KemenPPA, itu ada di layanan Sapa,"" ujarnya.""Hotline kami 24 jam siap siaga. Pelayanan sesuai jam yang ada. Karena ini tidak bisa diselesaikan sendiri, kejahatan online gampang menyebar. Kejadian ini nggak cuma satu dua. Orang malu kalau mau laporin,"" lanjut dia.R (22) menyerahkan diri ke polisi setelah viral video melecehkan anak kandung sendiri yang berusia 2 tahun. R kini telah ditetapkan sebagai tersangka.""Sudah ditetapkan tersangka,"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi kepada wartawan, Senin (3/6).Ade Ary mengatakan wanita R dijerat pasal berlapis tentang Undang-Undang ITE, Undang-Undang Pornografi, dan Undang-Undang Nomor 23 Tahun 2002 tentang Perlindungan Anak. Saat ini R masih menjalani pemeriksaan intensif di Polda Metro Jaya.""Pasal 45 ayat (1) jo Pasal 27 ayat (1) UU Nomor 1 Tahun 2024 tentang perubahan kedua UU Nomor 11 Tahun 2008 tentang Informasi dan Transaksi Elektronik dan atau Pasal 29 jo Pasal 4 ayat (1) UU Nomor 44 Tahun 2008 tentang Pornografi dan atau Pasal 88 jo Pasal 76 UU Nomor 35 tahun 2014 tentang perubahan UU Nomor 23 Tahun 2002 tentang Perlindungan Anak,"" jelasnya.",Keluarga,
