Judul,Tanggal,Link,Isi Berita,Kategori
Pernyataan Polisi Terkait Perkembangan Kasus Dugaan Kekerasan Anak Isa Bajaj,"22/04/2024, 08:21 WIB",http://www.kompas.com/hype/read/2024/04/22/082150666/pernyataan-polisi-terkait-perkembangan-kasus-dugaan-kekerasan-anak-isa,"Pernyataan Polisi Terkait Perkembangan Kasus Dugaan Kekerasan Anak Isa Bajaj. Anak komedian Isa Bajaj yang berinisial C mengalami dugaan kekerasan saat tengah bermain di alun-alun kota Magetan pada Jumat (19/4/2024). Adapun Isa Bajaj telah melaporkan tindak dugaan kekerasan itu serta membawa sang anak ke rumah sakit untuk menjalani visum.Kini polisi tengah melakukan langkah untuk kasus tesebut. merangkumnya sebagai berikut. Polisi terus mendalami kasus dugaan kekerasan yang menimpa anak Isa Bajaj. Kasatreskrim Polres Magetan AKP Angga Perdana Brahmada juga menyebut telah melakukan olah TKP sekaligus memeriksa beberapa orang saksi. Olah TKP yang berlangsung lancar dengan Pak Isa Bajaj maupun dengan anaknya, kata Angga saat dihubungi baru-baru ini. Saat ini masih mendalami terkait dengan saksi-saksi yang ada di tempat kejadian perkara di sekitaran Patung Suryo di sekitar Alun-alun Magetan, tambah Angga. Angga menambahkan, pihak kepolisian akan melakukan koordinasi dengan Dinas Pengendalian Penduduk Keluarga Berencana Pemberdayaan Perempuan dan Perlindungan Anak (DPPKBP3A) Pemerintah Kabupaten Magetan untuk pendampingan terhadap anak Isa Bajaj. Angga berujar, pendampingan psikologis tengah diusahakan.. Ya itu kita akan koordinasi sama pihak terkait. Biasanya kami sama dinas yang ada di Kabupaten Magetan, ucap Angga. Kami akan koordinasi untuk mengatasi trauma yang dialami. Apalagi masih anak-anak (korbannya),  tambah Angga.Di sisi lain, Kepala Bidang Pemberdaayaan Perempuan dan Perlindungan Anak Dinas KB Kabupaten Magetan Indriana Agustin telah menjadwalkan pendampingan untuk anak Isa Bajaj. Adapun pendampingan tersebut guna mencari keterangan yang jelas dari korban. Keterangan yang diberikan harus dipastikan untuk kekerasan yang dialami seperti apa,"" ujar Indirana.Indriana juga membeberkan kondisi terkini dari C yang saat ini sudah mulai ceria. Meski begitu, pihaknya tetap akan menggali keterangan. Untuk anaknya sudah ceria, tetapi kita memastikan kekerasan yang dialami itu seperti apa, apakah ditendang atau apakah ditabrak karena dari keterangan yang diberikan bahwa kakak itu jahat,"" ungkap Indriana.",Orang asing
"5 Fakta soal Kekerasan yang Dialami Anak Isa Bajaj, Korban Tidak Berani Buang Air Kecil","21/04/2024, 17:30 WIB",http://www.kompas.com/tren/read/2024/04/21/173000765/5-fakta-soal-kekerasan-yang-dialami-anak-isa-bajaj-korban-tidak-berani,"5 Fakta soal Kekerasan yang Dialami Anak Isa Bajaj, Korban Tidak Berani Buang Air Kecil. Aktor dan pelawak Isa Wahyu Prastantyo atau Isa Bajaj melaporkan kasus dugaan kekerasan yang dialami anaknya di Alun-alun Magetan, Jawa Timur. Isa mendatangi Polres Magetan pada Jumat (19/4/2024) pukul 09.00 WIB bersama istri dan ketiga anaknya.Kasi Humas Polres Magetan Kompol Budi Kuncahyo mengungkapkan, saat ini kasus tersebut sedang ditangani oleh Satuan Reskrim Polres Magetan. Budi juga mengatakan, polisi sudah memeriksa seorang pria yang diduga sebagai pelaku tindak kekerasan kepada anak Isa Bajaj. ""Belum bisa dipastikan apakah bisa ditingkatkan menjadi tersangka atau tetap menjadi saksi, sabar dulu ya. Beri waktu penyidik untuk progres pengembangan,"" ungkap Budi, dikutip dari  Sabtu (20/4/2024). Kepala Dinas Pengendalian Penduduk, Keluarga Berencana, Pemberdayaan Perempuan dan Perlindungan Anak (PPKB PP dan PA) Kabupaten Magetan Miftahudin mengungkapkan kekerasan yang dialami korban. Kejadian berawal saat korban dan saudaranya bermain di Alun-alun Magetan pada Kamis (18/4/2024) sekitar pukul 15.00 WIB. Selain itu, korban diduga mengalami pemukulan di bagian sensitifnya oleh pelaku. Dari pengakuan mereka, korban ditendang oleh seorang pria yang memakai kacamata, ungkap Miftahudin, dilansir dari  Jumat (19/4/2024). Kepala Bidang Pemberdaayaan Perempuan dan Perlindungan Anak Dinas KB Kabupaten Magetan Indriana Agustin memperkuat dugaan kekerasan tersebut. Indriana mengungkapkan bahwa hasil asesmen menunjukkan bahwa korban diduga mengalami kekerasan. Menurut pengakuan Isa, anaknya mengalami luka di bagian sensitif hingga sempat tidak berani untuk buang air kecil .""Kondisi (korban) baik kawan-kawan, masih belum mau pipis sampai detik ini,"" kata Isa, dikutip dari  Sabtu (20/4/2024). Usai melaporkan ke polisi, Isa membawa anaknya ke rumah sakit untuk diperiksa dan melakukan visum. ""Good news (korban) mau pipis setelah kejadian sebelum Magrib, barusan pipis walau sambil nangis kesakitan,"" tutur Isa.",Orang asing
Manajemen Pengasuh yang Diduga Aniaya Anak Selebgram Malang Minta Maaf,"30/03/2024, 20:26 WIB",http://regional.kompas.com/read/2024/03/30/202617578/manajemen-pengasuh-yang-diduga-aniaya-anak-selebgram-malang-minta-maaf,"Manajemen Pengasuh yang Diduga Aniaya Anak Selebgram Malang Minta Maaf. Pihak manajemen Val The Consultant meminta maaf terkait salah satu babysitter binaanya yang diduga telah menganiaya seorang anak selebgram di Malang, Jawa Timur (Jatim). Manajemen menyesalkan atas terjadinya aksi penganiayaan yang diduga dilakukan oleh pengasuh tersebut. ""Dalam kasus yang menimpa ibu @emyaghnia dan putri Cana, Val The Consultant meminta maaf dan sangat menyesalkan kejadian tersebut. Kami secara tegas tidak menoleransi segala bentuk kekerasan dalam pengasuhan anak,"" tulis akun @val_theconsultant. Val The Consultant menyebutkan, tindakan yang dilakukan pelaku berinisial IPS (27) tersebut sudah merusak citra perusahaan. Selain itu, tersangka juga merugikan para pekerja di sana.""Kejadian ini tentu saja mencoreng salah satu nilai yang telah ditanamkan pada pelayanan kami selama ini. Kejadian ini pun tentu saja merugikan citra ribuan pekerja kami lainya,"" jelasnya. ""Karena itu kami sebagai perusahaan yang bergerak di bidang penyalur pengasuhan anak, turut mendukung penyelesaian kasus yang terjadi dan siap membantu proses hukum sebagaimana mestinya,"" tambahnya. Val The Consultant berpendapat, pengasuh anak seharusnya menjadi seseorang yang bisa diadalkan. Terutama ketika orang tuanya tengah bekerja di tempat yang jauh dari rumah. ""Pengasuh anak sejatinya bisa menjadi orang yang dipercaya dan diandalkan apalagi ketika orangtua sedang tidak ada di rumah. Untuk para pekerja kami yang sedang menjalankan tugas, lakukan dengan hati dan senantiasa berpegang teguh pada prinsip bahwa bekerja adalah sama halnya dengan ibadah,"" tutupnya. Sementara itu, berdasarkan pantauan  kantor Val The Consultant yang berada di salah satu perumahan di Jalan Kalisari Permai, Mulyorejo, Surabaya tersebut terlihat sepi dan hanya ada beberapa orang di bangunan itu.Tampak kantor bercat putih tersebut seperti bangunan rumah yang ada di sekitar lokasi. Tidak terlihat sama sekali plakat ataupun papan yang menunjukan tulisan Val The Consultant. Akan tetapi, terlihat di depan kantor tersebut ada sebuah mobil berwarna putih yang bertuliskan Val The Consultant. Namun, tak lama kendaraan tersebut pun meninggalkan lokasi.Seorang perempuan yang mengaku menjadi pembantu di rumah tersebut mengatakan, salah satu staf Val The Consultant yang berada di lokasi enggan memberikan keterangan. ""Ibu enggak berkenan, belum bisa diwawancarai, maaf. Benar-benar enggak bisa mohon maaf, ini dia staf (Val The Consultant),"" kata perempuan tersebut ketika ditemui di lokasi, Sabtu (30/3/2024).",Pengasuh
Anak Selebgram Malang yang Diduga Dianiaya Pengasuhnya Alami Trauma Berat,"30/03/2024, 16:16 WIB",http://regional.kompas.com/read/2024/03/30/161628378/anak-selebgram-malang-yang-diduga-dianiaya-pengasuhnya-alami-trauma-berat,"Anak Selebgram Malang yang Diduga Dianiaya Pengasuhnya Alami Trauma Berat. Anak perempuan berinisial JAP (3,5) yang diduga menjadi korban penganiayaan pengasuhnya di Kota Malang, Jawa Timur mengalami trauma berat. Anak yang saat ini tengah dirawat di Rumah Sakit Saiful Anwar (RSSA) Malang tersebut kerap kali mengigau ketakutan saat tidur. Hal itu diungkapkan oleh ibu korban Emy Aghnia Punjabi. ""Jadi pas tidur, lima kali dia mengigau, mengigau ketakutan, setelah saya sadarkan ini saya, baru tersadar lagi, mengigau lagi, saya sadarkan lagi, baru tidur lagi, trauma berat,"" ujarnya, Sabtu (30/3/2024). Aghnia mengatakan, sebagai seorang ibu, dirinya merasa terpukul dengan kejadian yang ada. ""Saya sebagai seorang ibu merasa terpukul, mungkin banyak sebagian orang menyalahkan saya kenapa harus menggunakan suster dan lain sebagainya, yang tahu kehidupan saya, saya sendiri, jadi kebutuhan orang masing-masing berbeda-beda,"" katanya. Aghnia sangat berharap pelaku dapat dihukum seberat-beratnya, dan tidak ingin kasus ini menimpanya kembali. Sebab, kejadian ini merupakan kali kedua."" Dulu beda suster, waktu anak saya umur satu tahun, pernah ada kekerasan, tapi tidak saya laporkan ke polisi, saya maafkan, untuk saat ini saya tidak bisa, saya melapor ke pihak yang berwajib, karena ini anak,"" katanya.",Pengasuh
"Kesaksian Tetangga Soal Ayah yang Siksa Anak Kandung di Bogor, Putrinya Dipukuli kalau Kurang Setoran Mengamen","05/02/2024, 16:51 WIB",http://megapolitan.kompas.com/read/2024/02/05/16515821/kesaksian-tetangga-soal-ayah-yang-siksa-anak-kandung-di-bogor-putrinya,"Kesaksian Tetangga Soal Ayah yang Siksa Anak Kandung di Bogor, Putrinya Dipukuli kalau Kurang Setoran Mengamen. Seorang ayah di Parung, Bogor, tega menyiksa putri kandungnya sendiri, N (7) hingga mengalami luka lebam di area lengan, pundak, dan punggung.Menurut kesaksian tetangga, N diduga dipaksa mengamen sampai tengah malam. N akan dipukuli setiap kali kurang setoran pada ayahnya.""Dipukuli pakai hanger yang luarnya kabel. Itu pada memar semua sebadan-badan,"" ujar tetangga N bernama Darmi dilansir dari TribunJakarta.com, Minggu (4/2/2024). Darmi mengatakan, N diperlakukan bak mesin uang bagi ayahnya sendiri. N bahkan dipaksa mengamen hingga pukul 01.00 WIB dini hari. ""Makanya sekolahnya juga terhambat. Ngamen-nya daerah Ciseeng, Parung. Ngamen-nya sama ibunya, ibu tiri,"" kata Darmi. Saat mengamen, ujar Darmi, N selalu diawasi oleh ibu tirinya. Anak-anak dari ibu tiri N juga ikut mengamen. ""Anaknya ada dua. Umur 2,5 tahun, satu laginya orok (masih bayi). Nah, ngamen itu semuanya dibawa cuma 'kan kalau N mah anak tiri,"" tambahnya. Darmi tidak mengetahui secara pasti kapan N mulai mengalami kekerasan. Ia memastikan bahwa N dulunya tinggal di luar Bogor bersama ibu kandungnya.Beberapa bulan lalu, N dibawa ke Parung, Bogor, oleh ayah kandungnya dan tinggal bersama ibu tirinya. ""Kalau dianya ngontrak sudah lama. Anaknya ini datang ke sini sekitar enam bulanan pas masuk kelas 1 SD (sekolah dasar) saja,"" katanya. Sedangkan istri Ketua RT, Tri Rahayu mengatakan ayah N sehari-hari bekerja sebagai tukang bangunan. Ayah N dikenal sebagai pribadi yang pendiam. ""Tapi siapa yang tahu kalau di rumahnya terjadi hal seperti ini,"" ujar Tri Rahayu atau yang akrab disapa Ayu. Menurut Ayu, kekerasan yang dialami oleh N sudah berlangsung lama, namun baru dilaporkan ke polisi pada Sabtu (3/2/2024) siang.Polisi menetapkan ayah kandung pelaku kekerasan kepada putrinya di Cogreg, Kecamatan Parung, Kabupaten Bogor, sebagai tersangka. Sudah (ditetapkan menjadi tersangka), ucap Kasat Reserse Kriminal Kepolisian Resor (Polres) Bogor, AKP Teguh Kumara saat dihubungi  Senin (5/2/2024).",Keluarga
Polisi Sita Alat yang Dipakai Ayah di Bogor untuk Pukul Anak Kandungnya,"05/02/2024, 10:30 WIB",http://megapolitan.kompas.com/read/2024/02/05/10303521/polisi-sita-alat-yang-dipakai-ayah-di-bogor-untuk-pukul-anak-kandungnya,"Polisi Sita Alat yang Dipakai Ayah di Bogor untuk Pukul Anak Kandungnya. Polisi telah mengantongi tiga alat bukti yang cukup untuk menetapkan ayah kandung yang melakukan kekerasan terhadap putrinya di Kecamatan Parung, Kabupaten Bogor, sebagai tersangka. Tim kepolisian sudah memintai keterangan para saksi.  Selain itu, Polisi telah mendapatkan hasil visum dan benda yang digunakan pelaku untuk menjadi alat bukti kasus kekerasan terhadap anak. Alat bukti dari keterangan para saksi, hasil visum, alat yang digunakan untuk memukul, ucap Kasat Reskrim Polres Bogor, AKP Teguh Kumara saat dihubungi,  Senin (5/2/2024). Teguh mengatakan, pelaku disangkakan dengan Pasal 80 UU 35 Tahun 2014. Ia terancam hukuman penjara selama 5 tahun. Seorang bocah berinisial N (7) diduga disiksa orangtuanya di wilayah Cogreg, Kecamatan Parung, Kabupaten Bogor. Dalam video yang beredar, tubuh bocah itu terlihat mengalami luka lebam bekas pukulan di area lengan, pundak dan punggung. Tidak hanya itu, korban juga diduga dipaksa mengamen sampai tengah malam. ""Astagfirullah, eh aing mah,"" kata seorang perempuan dalam video yang viral di media sosial tersebut. Dalam video tersebut juga terdengar suara wanita bicara itu tak tega menahan tangis ketika melihat kondisi luka si anak.",Keluarga
Ayah Kandung yang Lakukan Kekerasan pada Anaknya di Bogor Jadi Tersangka,"05/02/2024, 10:02 WIB",http://megapolitan.kompas.com/read/2024/02/05/10024061/ayah-kandung-yang-lakukan-kekerasan-pada-anaknya-di-bogor-jadi-tersangka,"Ayah Kandung yang Lakukan Kekerasan pada Anaknya di Bogor Jadi Tersangka. Polisi menetapkan ayah kandung pelaku kekerasan kepada putrinya yang berusia 7 tahun di Cogreg, Kecamatan Parung, Kabupaten Bogor, sebagai tersangka. Sudah (ditetapkan menjadi tersangka),ucap Kasat Reskrim Polres Bogor, AKP Teguh Kumara saat dihubungi  Senin (5/2/2024).  Teguh mengatakan, tersangka dikenakan Pasal 80 UU 35 Tahun 2014. Pelaku mendapat ancaman hukuman penjara selama 5 tahun. Polisi telah mengantongi tiga alat bukti terkait kasus kekerasan ini. Alat bukti dari keterangan para saksi, hasil visum, alat yang digunakan untuk memukul,terang Teguh. Sebelumnya, beredar di media sosial bocah berusia 7 tahun ini berinisial N diduga mendapatkan penganiayaan dari ayahnya. Pada tubuh bocah ini terdapat luka merah lebam pada bagian punggungnya.  Bahkan, korban juga kerap disuruh mengamen hingga larut malam.",Keluarga
"Miris, Dalam 2 Pekan Ada 6 Anak di Jakarta Jadi Korban Kekerasan Orang Terdekatnya Sendiri","14/12/2023, 19:33 WIB",http://megapolitan.kompas.com/read/2023/12/14/19332921/miris-dalam-2-pekan-ada-6-anak-di-jakarta-jadi-korban-kekerasan-orang,"Miris, Dalam 2 Pekan Ada 6 Anak di Jakarta Jadi Korban Kekerasan Orang Terdekatnya Sendiri. Berita memilukan terhadap anak masih terus bermunculan di Jakarta. Dalam dua pekan saja, mencatat enam anak jadi korban kekerasan dari orang terdekatnya. Teranyar, seorang ayah bernama Usmanto (43), di Muara Baru, Penjaringan, Jakarta Utara, tega menganiaya anaknya hingga tewas pada Rabu (13/12/2023). Kurniawan alias Awan (11) menjadi satu dari sekian anak yang jadi korban dari kekerasan orang dewasa yang seharusnya bisa melindunginya. Awan tak sendirian, masih ada sederet anak-anak lain yang tak mendapatkan perlindungan dari orang terdekatnya. Berikut deretan anak yang jadi korban kekerasan dalam dua pekan terakhir: Usmanto menganiaya Awan dengan dengan menampar, menendang, dan membanting di sebuah gang hingga tewas pada Rabu (13/12/2023). Penganiayaan terhadap anaknya itu bermula saat Awan mengendarai sepeda di depan rumah lalu melindas kaki tetangga sampai berdarah.Hal itu membuat amarah Usmanto meledak lantaran ia dihampiri oleh orangtua anak tetangga yang ditabrak K. Usmanto akhirnya menganiaya Awan tanpa ampun. Akibat penganiayaan itu, tubuh Awan sudah berdarah dan mulutnya berbusa. Awan tidak tertolong saat dalam perjalanan ke rumah sakit. Panca Darmansyah (41) diduga membunuh keempat anak kandungnya di dalam rumah kontrakan wilayah Jagakarsa, Jakarta Selatan, secara bergilir pada Minggu (3/12/2023). Warga bersama polisi menemukan keempat anak Panca dan D dalam keadaan tewas di salah satu kamar. Keempatnya berinisial VA (6), S (4), A (3), dan As (1).Polisi menyebut, Panca membunuh keempat anaknya dengan cara membekap, baik mulut maupun hidung dari anaknya. Panca tinggal bersama jenazah anaknya selama beberapa hari sejak pembunuhan terjadi. Jasad keempat anak itu baru ditemukan Rabu (6/12/2023). Seorang balita berinisial H (3) disiksa oleh kekasih tantenya yang bernama Risqi Ariskalaki di kontrakannya di Batu Ampar, Kramatjati, Jakarta Timur.Penganiayaan tersebut sudah terjadi sejak awal November 2023. Akibatnya, tubuh korban banyak memar dan bekas luka.Diketahui, H dititipkan oleh ibunya ke SAB (17) alias tante korban. SAB adalah adik kandung ibu korban. Penganiayaan diketahui saat H muntah darah usai disiksa oleh Risqi. Tenaga medis yang memeriksa H curiga dengan pengakuan Risqi setelah melihat bekas luka di tubuh korban.",Keluarga
"Diduga Disiksa Orangtuanya, Bocah 11 Tahun Kabur dan Ditemukan di Kota Banjar dengan Tubuh Penuh Luka","23/11/2023, 10:40 WIB",http://regional.kompas.com/read/2023/11/23/104000278/diduga-disiksa-orangtuanya-bocah-11-tahun-kabur-dan-ditemukan-di-kota,"Diduga Disiksa Orangtuanya, Bocah 11 Tahun Kabur dan Ditemukan di Kota Banjar dengan Tubuh Penuh Luka. Bocah laki-laki berusia 11 tahun asal Pangandaran ditemukan di sebuah warung di Sukarame, Kelurahan Mekarsari, Kota Banjar, Jawa Barat dalam kondisi tubuh penuh luka. Warga kemudian membawa bocah malang tersebut ke RSUD Kota Banjar untuk mendapatkan perawatan medis. Diduga korban kerap mengalami kekerasan orangtua kandungnya sendiri. Karena tak kuat menahan sakit, bocah itu kabur dari rumah.Tubuh korban, A terlihat kurus dan lemas. Selain itu ditemukan sejumla luka memar yang diduga bekas dianiaya. Luka yang parah terlihat di bagian punggung, kepala dan kaki korban.Titin Khotimah, bibi korban mengatakan keponakannya kerap disiksa dengan cara dipukul dengan benda tumpul seperti kayu dan ditendang oleh orangtuanya. Bahkan korban pernah disiram air panas oleh ayah dan ibu kandung korban. ""Kondisinya, sangat menghkawatirkan karena terlihat banyak luka di sekujur tubuhnya. Dia (A) sempat mengaku di telapak kaki dan tangannya disiram dengan menggunakan air panas oleh ayah kandungnya,"" ujar Titin. Menurutnya, bocah 11 tahun ini memiliki saudara kembar dan sempat tinggal bersama kakek serta neneknya. Namun saat kembali tinggal bersama orangtuanya, A kerap disiksa orangtuanya sendiri karena dianggap nakal dan susah diatur. A kembali ke orangtua dan tinggal bersama saudara kembangnya setelah sang nenek meninggal dunia. ""Awalnya, A tinggal dengan neneknya. Sedangkan saudara kembarannya tinggal dengan orang tuanya,"" katanya. ""Mungkin, karena A dianggap nakal, kedua orang tua korban tak bisa menahan emosi dan menyiksa korban,"" tambah Titin",Keluarga
"Kasus Kekerasan Anak Disabilitas di Makassar Naik Sidik, Polisi Segera Tetapkan Tersangka","13/11/2023, 14:35 WIB",http://makassar.kompas.com/read/2023/11/13/143504178/kasus-kekerasan-anak-disabilitas-di-makassar-naik-sidik-polisi-segera,"Kasus Kekerasan Anak Disabilitas di Makassar Naik Sidik, Polisi Segera Tetapkan Tersangka. Kasus dugaan kekerasan yang menimpa seorang balita berkebutuhan khusus atau disabilitas di lingkup yayasan sekolahnya di Kota Makassar, Sulawesi Selatan (Sulsel), kini telah naik ke tahap penyidikan. Unit Perlindungan Perempuan dan Anak (PPA) Satreskrim Polrestabes Makassar tidak lama lagi bakal menentukan siapa tersangka dalam kasus tersebut. Kanit PPA Polrestabes Makassar Iptu Syahuddin Rahman mengungkapkan, naiknya tahap kasus dari penyelidikan ke penyidikan tersebut setelah pihaknya melakukan pemeriksaan beberapa saksi ahli. Setelah kita lakukan itu semua pemeriksaan, kita bisa memfaktakan. Jadi yang bisa kita faktakan adalah yang singkron dengan keterangan saksi dengan visum. Maka kasus ini kita bisa tingkatkan dari tahap penyelidikan ke tahap penyidikan,"" kata Syahuddin kepada wartawan di Mapolrestabes, Minggu (12/11/2023) kemarin. Syahuddin mengatakan, dari perjalanan kasus ini pihaknya telah melakukan pemeriksaan terhadap 10 orang saksi, termasuk saksi ahli dari Individualized Educational Program (IEP). ""Semua saksi yang telah kita periksa kurang lebih 10 orang. Terapis, termasuk pelapor, kemudian terlapor, dan terapis-terapis yang ada disekolah yayasan tersebut, itu sudah kita lakukan,"" ungkapnya. Syahuddin menyebut, dalam rangkaian proses penyelidikan yang dilakukan pihaknya dinilai lama lantaran banyaknya kendala, termasuk pemeriksaan saksi-saksi ahli, maupun korban yang sulit dimintai keterangan karena penyandang disabilitas ADHD (Gangguan pemusatan perhatian dan hiperaktivitas). Selain sulit memperoleh keterangan korban secara langsung, pihaknya juga harus meminta bantuan psikolog dari PPA pemerintah, ditambah orangtua korban yang disebut lama membawa korban guna dimintai keterangan. ""Pelapor menghadirkan (korban) baru di bulan Juni 2023, jadi laporan di bulan April baru bisa kami dapat memeriksa keterangan korban itu di tanggal 21 Juni 2023. Itu yang saya bisa jelaskan di keterlambatannya penanganan kasus ini,"" ungkapnya. Sebelumnya diberitakan, seorang anak berkebutuhan khusus atau disabilitas dikabarkan jadi korban dugaan kekerasan yang dilakukan oknum terapis sebuah yayasan tempat anak berkebutuhan khusus di Kota Makassar, Sulawesi Selatan (Sulsel).Bocah berinisial GF yang masih berusia 4 tahun itu pun dikabarkan mengalami memar-memar di bagian tubuhnya lantaran diduga mengalami aksi kekerasan.Tidak terima sang anak mendapatkan perlakuan dugaan kekerasan, FM pun melaporkan penanggung jawab yayasan tersebut ke polisi atas tudingan kekerasan terhadap anak, dengan nomor registrasi laporan STBL/783/IV/2023/POLDA SULSEL/RESTABES MKSR, pada Sabtu (15/4/2023). Ibu GF berinisial FM (26) menjelaskan bahwa sang anak diduga dianiaya dengan cara dicubit hingga digigit. Perlakuan yang diterima itu, kata FM, merupakan hukuman dari pihak yayasan. ""Itu anak saya digigit, dicubit, dilakukan kekerasan fisik yang katanya pihak penanggung jawab itu adalah sebagai punishment mereka. (Yang aniaya) Itu pihak penanggung jawab kayak kepala sekolah di sana, karena kan sampai biru-biru (memar). Anak saya itu dia terlambat bicara, kata dokter kemungkinan kena ADHD (kurang fokus dan hiperaktif),"" ucap FM saat dikonfirmasi  Senin (17/4/2023) siang.",Pengasuh
