Judul,Tanggal,Link,Isi Berita,Label
"Pasutri di Bandung Jadi Tersangka Pembunuhan Balita, Korban Ditemukan Tewas Terapung di Ember Cat","Senin, 9 September 2024 17:34 WIB",https://www.tribunnews.com/regional/2024/09/09/pasutri-di-bandung-jadi-tersangka-pembunuhan-balita-korban-ditemukan-tewas-terapung-di-ember-cat,"Pasutri di Bandung Jadi Tersangka Pembunuhan Balita, Korban Ditemukan Tewas Terapung di Ember Cat. Seorang pasangan suami istri berinisial TM (26) dan RM (26), warga Panyileukan, Kota Bandung menjadi tersangka tewasnya bayi berusia 14 bulan. Bayi itu ditemukan mengapung dalam ember cat ukuran 25 kilogram. Kapolrestabes Bandung, Kombes Pol Budi Sartono didampingi Kasatreskrim, AKBP Abdul Rahman dan Kapolsek Panyileukan, Kompol Kurnia mengatakan, kasus berawal saat Rabu (4/9/2024) pukul 16.30 WIB mendapatkan informasi dari Polsek Cileunyi ada bayi yang meninggal dunia. Kemudian, anggota kepolisian pun memiliki dugaan adanya tanda-tanda kekerasan pada tubuh bayi tersebut. ""TKP berada di wilayah Panyileukan, Kota Bandung. Anggota kami pun langsung mendatangi TKP dan melakukan olah TKP. Ketika dicek memang ditemukan mayat bayi yang meninggal dunia di dalam ember cat,"" katanya di Mapolrestabes Bandung, Senin (9/9/2024). Jenazah bayi itu dibawa ke rumah sakit untuk dilakukan visum lantaran diduga adanya kekerasan pada bayi itu.Kombes Budi mengaku hasil pengecekan kemudian dilakukan penyelidikan dan penyidikan. ""Anggota kami mengumpulkan seluruh keterangan saksi di sana. Ada dugaan kekerasan pada anak. Saksi-saksi ada yang mendengar suara sekitar TKP. Dan, kedua orang suami istri ini sudah kami tetapkan sebagai tersangka,"" katanya. Hubungan suami istri dengan korban tersebut, Kombes Budi menegaskan mereka orangtua angkat korban.Namun, saat ini pihak kepolisian masih melengkapi berkas penyelidikan untuk nanti dilimpahkan ke Kejaksaan. ""Anak 14 bulan itu tinggal dengan tersangka sejak usia 4 bulan. Hubungan korban dengan dua orang itu merupakan saudara jauh dan kami masih dalami apakah si anak itu memang dititipkan orangtuanya atau memang si tersangka ini yang meminta,"" ujarnya. Atas perbuatannya, tersangka dikenakan sanksi ancaman penjara 10 tahun. Korban berdasarkan hasil visum ada tanda-tanda kekerasan semisal memar di bagian tubuhnya sebelum ditemukan tewas.",Keluarga
"Heboh 4 Bocah Bunuh-Rudapaksa Siswi SMP di Palembang, Kriminolog: Otak Bisa Rusak karena Pronografi","Selasa, 10 September 2024 05:21 WIB",https://www.tribunnews.com/regional/2024/09/10/heboh-4-bocah-bunuh-rudapaksa-siswi-smp-di-palembang-kriminolog-otak-bisa-rusak-karena-pronografi,"Heboh 4 Bocah Bunuh-Rudapaksa Siswi SMP di Palembang, Kriminolog: Otak Bisa Rusak karena Pronografi. Kriminolog Anak Universitas Indonesia, Haniva Hasna ikut menyoroti hebohnya kasus 4 bocah rudapaksa dan pembunuhan siswi SMP AA (13) di Kota Palembang, Sumatera Selatan.Ia mengingatkan betapa bahayanya konten pornografi terhadap perkembangan otak anak.Bahkan Haniva menyebut, otak anak di bagian prefrontal cortex bisa rusak karena paparan pornografi. ""Ketika anak terpapar pornografi, prefrontal cortex ini rusak. (Prefrontal cortex) tempat pengambilan keputusan, ini yang harus direhabilitasi,"" katanya dikutip dari kanal YouTube KompasTV, Senin (9/9/2024). Menurut Haniva keempat tersangka dalam kasus ini tidak cukup jika hanya menjalani rehabilitasi. Perlu terapi lain, seperti penanaman pentingnya nilai agama dan perilaku budi pekerti di masyarakat. Haniva dalam kesempatannya membeberkan empat faktor yang mendorong anak berbuat jahat. Pertama, ia menyoroti pentingnya peran dan pola asuh orang tua terhadap anak. Haniva menduga orang tua dari para tersangka tidak menjalankan perannya dengan baik. ""Bagaimana selama ini orang tua mengasuh anak-anaknya, sehingga bisa melahirkan anak yang tidak bermoral, anak yang tidak bernilai, anak yang tidak tahu konsekuensi setelah apa yang dia lakukan,"" katanya.Kedua menurut Haniva terkait peran sekolah dari para tersangka.Ia menekankan apakah sekolah sudah melakukan pendidikan karakter dan budi pekerti yang baik.Haniva juga menyenangkan ada penghapusan beberapa mata pelajaran yang tujuannya mendidik pribadi para siswa. ""Beberapa mata pelajaran sudah dihilangkan yang membuat anak anak-anak kehilangan akhlak, kehilangan kendali, tidak tahu apa yang harus dilakukan dan lepas kontrol,"" tegasnya.",Teman
"Soal Pemukulan Siswa di Cianjur, Orang Tua Korban Sebut Masih Bisa Mediasi","Senin, 9 September 2024 18:55 WIB",https://www.tribunnews.com/regional/2024/09/09/soal-pemukulan-siswa-di-cianjur-orang-tua-korban-sebut-masih-bisa-mediasi,"Soal Pemukulan Siswa di Cianjur, Orang Tua Korban Sebut Masih Bisa Mediasi. Inilah kabar terbaru soal seorang guru SMAN 2 Cianjur, Jawa Barat, yang videonya viral karena menganiaya siswa yang berinisial MDS (16). Aksi penganiayaan tersebut, terjadi saat jam pelajaran Matematika, Kamis (5/8/2024). Pelakunya sendiri merupakan guru perempuan berinisial SMG (55), yang terlihat menampar dan membanting korban hingga terjatuh. Terbaru ini, keluarga korban telah melaporkan guru tersebut ke polisi. ""Laporan ini dilakukan agar ada efek jera bagi terduga pelaku dan tidak ada lagi tindak kekerasan di lingkungan sekolah mana pun,"" kata Iqbal Lesmana (36), orang tua korban. Meski telah membuat laporan, namun pihak keluarga masih membuka pintu mediasi bagi sekolah dan terduga pelaku. ""Iya nanti kita coba carikan win-win solution, biar tidak ada pihak yang dirugikan,"" ""Nanti kita melihat ke depannya seperti apa, harus berdiskusi dengan istri dan keluarga,"" ""Tapi proses hukum masih berjalan,"" kata Iqbal. Iqbal menuturkan, korban alami memar di bagian pelipis, namun kini bekas lukanya sudah memudar. ""Secara psikis mungkin anak saya mengalami trauma, tapi mudah-mudahan sekarang pihak sekolah sudah memberikan dukungan agar bisa kembali bergaul dengan temannya,"" kata ujar Iqbal. MemarIa menuturkan, sebelumnya juga sudah ada mediasi antara pihak korban dan sekolah. ""Sempat ada mediasi, dan saya sempat berkomunikasi dengan wali kelasnya dan mengakui adanya kejadian tersebut,"" ""Secara prosedur di sekolah kita tempuh, dan secara hukum pun kita tempuh,"" ucapnya.",Tenaga Pendidik
"Kasus Pembunuhan Siswi SMP oleh Anak-anak di Palembang, KemenPPPA: Pelaku Kecanduan Video Porno","Senin, 9 September 2024 13:04 WIB",https://www.tribunnews.com/nasional/2024/09/09/kasus-pembunuhan-siswi-smp-oleh-anak-anak-di-palembang-kemenpppa-pelaku-kecanduan-video-porno,"Kasus Pembunuhan Siswi SMP oleh Anak-anak di Palembang, KemenPPPA: Pelaku Kecanduan Video Porno. Pembunuhan dan kekerasan seksual terhadap pelajar SMP berusia 13 tahun (AA) oleh anak-anak terjadi di Palembang, Sumatera Selatan. Perbuatan ini diduga terjadi setelah para pelaku menonton video porno. ""Dari hasil penyidikan polisi, motif tindakan kekerasan seksual yang dilakukan salah satu pelaku yaitu mengumpulkan video porno di telepon genggamnya,"" ujar Deputi Bidang Perlindungan Khusus Anak Kemen PPPA, Nahar, melalui keterangan tertulis, Senin (9/9/2024). ""Pelaku diduga sudah kecanduan video porno dan ini belum ada penanganan pengobatannya dan mereka yang sudah kecanduan akan memiliki kecenderungan untuk meniru dan memicu tindakan kekerasan seksual seperti rudapaksa dan pencabulan,"" tambahnya. Nahar mengimbau para orang tua untuk lebih memberikan perhatian pada anak-anak agar tidak terjerumus pada perilaku menyimpang seperti mengonsumsi video porno. Konsumsi video porno dapat menjadi pemicu kekerasan seksual. ""Tolong, orang tua awasi anak-anak kalian, dampingi mereka saat berselancar di internet dan di satu sisi orangtua juga harus belajar memahami penggunaan gadget dan internet,"" ujar Nahar. Polda Sumatera Selatan telah melakukan penetapan tersangka terhadap IS (16), NSA (12), MZF (13) dan AS (12). Dalam kasus ini, Nahar mengatakan para pelaku masih berusia anak. Maka proses penanganan hukumnya perlu mendapat perhatian khusus dan dengan sesuai undang-undang yang berlaku maka perlu berpedoman pada Sistem Peradilan Pidana Anak (SPPA) berdasarkan UU No. 11 Tahun 2012 tentang UU Sistem Peradilan Pidana Anak. ""Dalam pasal 81 ayat (2) UU SPPA dijelaskan bahwa untuk para pelaku (Anak Berkonflik dengan Hukum) pidana yang dikenakan berbeda dengan orang dewasa, yaitu 1/2 (setengah) dari ancaman pidana orang dewasa,ucap Nahar. Melihat tindak pidana yang dilakukan para pelaku maka mereka dapat dikenakan pasal 76D UU Nomor 35 Tahun 2014 Jo. pasal 81 ayat (1) UU Nomor 17 Tahun 2016 dan/atau pasal 76E UU Nomor 35 Tahun 2014 Jo. pasal 82 ayat (1) UU Nomor 17 Tahun 2016. Atas kekerasan fisik yang dilakukan terhadap korban maka dapat pelaku terancam pasal 76C jo. pasal 80 ayat (3) UU Nomor 35 Tahun 2014. Pidana tambahan dapat dikecualikan sesuai pasal 81 ayat (9) dan/atau pasal 82 ayat (8) UU Nomor 17 Tahun 2016 mengingat pelaku masih berusia anak.",Teman
"Update Penganiayaan Siswa SMAN 2 Cianjur: Guru Perempuan Dilaporkan, Korban Alami Luka Memar","Minggu, 8 September 2024 11:52 WIB",https://www.tribunnews.com/regional/2024/09/08/update-penganiayaan-siswa-sman-2-cianjur-guru-perempuan-dilaporkan-korban-alami-luka-memar,"Update Penganiayaan Siswa SMAN 2 Cianjur: Guru Perempuan Dilaporkan, Korban Alami Luka Memar. Kasus penganiayaan siswa SMAN 2 Cianjur, Jawa Barat berbuntut panjang usai orang tua korban melapor ke Mapolres Cianjur.Guru perempuan berinisial SMG (55) menganiaya siswa MDS (16) saat mata pelajaran matematika, Kamis (5/8/2024).Meski pihak sekolah sudah memberikan sanksi terhadap SMG, namun keluarga korban tetap menempuh jalur hukum. Ayah korban, Iqbal Lesmana (36), mengaku mengetahui aksi penganiayaan dari video yang diberikan istrinya. Video yang direkam siswa di dalam kelas memperlihatkan korban dipukul dan dibanting hingga terjatuh. Menurutnya, tindak kekerasan SMG sudah diluar batas. ""Tapi saya pun menjaga nama sekolah, jangan sampailah nama baiknya tercoreng, karena seorang oknum guru tersebut."" ""Saya mengetahui anak saya jadi korban kekerasan gurunya dari istri, setelah viral di media sosial,"" bebernya, Sabtu (7/9/2024). Iqbal kecewa lantaran masih ada hukuman kekerasan yang dilakukan guru di SMAN 2 Cianjur. ""Sempat ada mediasi, dan saya sempat berkomunikasi dengan wali kelasnya dan mengakui adanya kejadian tersebut. Secara prosedur di sekolah kita tempuh, dan secara hukum pun kita tempuh,"" lanjutnya. Berdasarkan hasil visum, korban mengalami luka memar dibagian pelipis kiri akibat pukulan tangan.Baca juga:  Guru SMA di Cianjur Tak Hanya Sekali Lakukan Kekerasan dan Aniaya SiswanyaSetelah menerima laporan, Polres Cianjur melakukan olah Tempat Kejadian Perkara (TKP). Kasat Reskrim Polres Cianjur, AKP Tono Listianto, menyatakan penyidik masih mengumpulkan barang bukti dan memeriksa para saksi. ""Sementara ini sudah ada 6 orang saksi yang sudah kita mintai keterangan, di antaranya, dari orang tua korban, guru BK, korban MDS (16), MRA (17), IM (16) teman kelas korban, dan SV (17) siswa yang merekam tindak kekerasan,"" tukasnya.",Tenaga Pendidik
"FAKTA Baru Guru Pukul Siswa di Cianjur, Orang Tua Korban Masih Buka Mediasi, Meski Lapor Polisi","Senin, 9 September 2024 16:19 WIB",https://jabar.tribunnews.com/2024/09/09/fakta-baru-guru-pukul-siswa-di-cianjur-orang-tua-korban-masih-buka-mediasi-meski-lapor-polisi,"FAKTA Baru Guru Pukul Siswa di Cianjur, Orang Tua Korban Masih Buka Mediasi, Meski Lapor Polisi. Laporan Kontributor Tribunjabar Kabupaten Cianjur, Fauzi Noviandi. Keluarga MDS (16), siswa SMAN 2 Cianjur yang diguda menjadi korban tindak kekerasan oknum guru, masih membuka kesempatan untuk bermediasi kepada terduga pelaku SMG. Iqbal Lesmana (36) mengatakan, pihaknya secara resmi sudah melaporkan perbuatan dan tidak kekerasan yang dilakukan seorang oknum guru kepada anaknya hingga mengalami luka memar. ""Laporan ini dilakukan agar ada efek jera bagi terduga pelaku dan tidak ada lagi tindak kekerasan di lingkungan sekolah mana pun,"" katanya pada wartawan, Senin (9/9/2024). Meski sudah melapor ke polisi, lanjut diri, dirinya masih membuat peluang bagi pihak sekolah dan terduga pelaku untuk kembali melakukan mediasi. ""Iya nanti kita coba carikan win-win solution, biar tidak ada pihak yang dirugikan. Nanti kita  melihat ke depanya seperti apa, harus berdiskusi dengan istri dan keluarga. Tapi proses hukum masih berjalan,"" katanya. Ia mengatakan, MSD (16) mengalami luka memar dibagian pelipis kiri. Namun saat ini luka sudah mulia pudar. ""Secara psikis mungkin anak saya mengalami trauma, tapi mudah-mudahan sekarang pihak sekolah  sudah memberikan dukungan agar bisa kembali bergaul dengan temannya,"" katanya. Keluarga MDS (16)  melaporkan tindakan oknum guru tersebut ke Kepolisian. Iqbal Lesmana (36) ayah korban mengungkapkan, pihaknya tidak mendapatkan kronologi  kejadian tindak kekerasan tersebut dari pihak sekolah. Namun hanya mengetahui dari video yang beredar. Sehingga itu sudah dibatas kewajaran akhirnya memutuskan untuk melapor ke Mapolres Cianjur. ""Tapi saya pun menjaga nama sekolah, jangan sampailah nama baiknya tercoreng, karena seorang oknum guru tersebut. Saya mengetahui anak saya jadi korban kekerasan gurunya dari sang istri setelah viral di media sosial,"" ucapnya pada wartawan, Sabtu (7/9/2024). Selain itu lanjut dia, dirinya sebagai oran tua MDS mengaku kecewa dan sakit hati. Karena anaknya tersebut telah mendapatkan tindakan kekerasan dari seorang oknum guru. ""Sempat ada mediasi, dan saya sempat berkomunikasi dengan wali kelasnya dan mengakui adanya kejadian tersebut. Secara prosedur disekolah kita tempuh, dan secara hukum pun kita tempuh,"" ucapnya. ",Tenaga Pendidik
"Pelaku Bully Siswa SMK di Bogor hingga Tewas Sempat Kirim Chat ke Korban, Tanya Kondisi Almarhum","Senin, 9 September 2024 17:59 WIB",https://jabar.tribunnews.com/2024/09/09/pelaku-bully-siswa-smk-di-bogor-hingga-tewas-sempat-kirim-chat-ke-korban-tanya-kondisi-almarhum,"Pelaku Bully Siswa SMK di Bogor hingga Tewas Sempat Kirim Chat ke Korban, Tanya Kondisi Almarhum. Kini terungkap fakta baru soal kasus siswa SMK di Bogor yang tewas diduga setelah dibully dan dianaya. Ternyata pelaku yang bully siswak SMK tersebut sempat mengirim chat WhatsApp usai menganiaya korban. Chat WA itu dikirim terduga pelaku sebelum korban atau siswa SMK bernama M Ridwan (16) itu meninggal dunia. Lantas, isi chat itu membuat keluarga Ridwan langsung curiga kepada terduga pelaku berinisial P tersebut. M Ridwan merupakan siswa SMK kelas X dan tinggal di Cibogo Udiklat, Desa Cipayung, Kecamatan Megamendung, Kabupaten Bogor. Saat dijemput oleh ayah dan kakaknya, Ridwan sempat tak ingin menceritakan pelaku yang menganiaya dirinya. Ridwan rupanya tidak menceritakan bersama siapa saja dirinya sebelum meminta dijemput sang ayah. Siswa SMK itu hanya menyebutkan satu nama temannya yakni inisial P. Namun saat ditanya nomor telepon pelaku, Ridwan sempat tak ingin memberikan.Sang kakak lalu langsung mengambil ponsel Ridwan dan membukanya. ""Dibuka HP Iwan sama kakaknya, terus P katanya namanya (pelaku),"" kata ibu Ridwan, Siti Maslihat. Kemudian saat ditelusuri di HP milik korban, ada chat WhatsApp dari terduga pelaku P. P rupanya sempat menanyakan kondisi Ridwan melalui chat itu. ""Kumaha balik aman? (gimana pulang aman?),"" kata Siti membacakan isi chat itu.",Teman
"Update Kasus Anak SMA Habisi Bocah SMP karena Cinta Ditolak, Kemen PPA: Pelaku Kolektor Video Porno","Senin, 9 September 2024 12:31 WIB",https://jabar.tribunnews.com/2024/09/09/update-kasus-anak-sma-habisi-bocah-smp-karena-cinta-ditolak-kemen-ppa-pelaku-kolektor-video-porno,"Update Kasus Anak SMA Habisi Bocah SMP karena Cinta Ditolak, Kemen PPA: Pelaku Kolektor Video Porno Pembunuhan dan kekerasan seksual terhadap pelajar SMP terjadi di Palembang, Sumatera Selatan berusia 13 tahun (AA) oleh anak-anak terjadi di Palembang, Sumatera Selatan. Perbuatan ini diduga terjadi setelah para pelaku menonton video porno. ""Dari hasil penyidikan polisi, motif tindakan kekerasan seksual yang dilakukan salah satu pelaku yaitu mengumpulkan video porno di telepon genggamnya,"" ujar Deputi Bidang Perlindungan Khusus Anak Kemen PPPA, Nahar, melalui keterangan tertulis, Senin (9/9/2024). ""Pelaku diduga sudah kecanduan video porno dan ini belum ada penanganan pengobatannya dan mereka yang sudah kecanduan akan memiliki kecenderungan untuk meniru dan memicu tindakan kekerasan seksual seperti pemerkosaan dan pencabulan,"" tambahnya. Nahar mengimbau para orang tua untuk lebih memberikan perhatian pada anak-anak agar tidak terjerumus pada perilaku menyimpang seperti mengonsumsi video porno. Konsumsi video porno dapat menjadi pemicu kekerasan seksual. ""Tolong, orang tua awasi anak-anak kalian, dampingi mereka saat berselancar di internet dan di satu sisi orangtua juga harus belajar memahami penggunaan gadget dan internet,"" ujar Nahar. Polda Sumatera Selatan telah melakukan penetapan tersangka terhadap IS (16), NSA (12), MZF (13) dan AS (12).  Dalam kasus ini, Nahar mengatakan para pelaku masih berusia anak. Maka proses penanganan hukumnya perlu mendapat perhatian khusus dan dengan sesuai undang-undang yang berlaku maka perlu berpedoman pada Sistem Peradilan Pidana Anak (SPPA) berdasarkan UU No. 11 Tahun 2012 tentang UU Sistem Peradilan Pidana Anak. ""Dalam pasal 81 ayat (2) UU SPPA dijelaskan bahwa untuk para pelaku (Anak Berkonflik dengan Hukum) pidana yang dikenakan berbeda dengan orang dewasa, yaitu 1/2 (setengah) dari ancaman pidana orang dewasa,ucap Nahar.Melihat tindak pidana yang dilakukan para pelaku maka mereka dapat dikenakan pasal 76D UU Nomor 35 Tahun 2014 Jo. pasal 81 ayat (1) UU Nomor 17 Tahun 2016 dan/atau pasal 76E UU Nomor 35 Tahun 2014 Jo. pasal 82 ayat (1) UU Nomor 17 Tahun 2016. Atas kekerasan fisik yang dilakukan terhadap korban maka dapat pelaku terancam pasal 76C jo. pasal 80 ayat (3) UU Nomor 35 Tahun 2014. ",Teman
"Pilu Orangtua di Bogor Anaknya Tewas usai Diajak Teman ke Puncak, Muntah Darah, Korban Bullying?","Minggu, 8 September 2024 20:36 WIB",https://jabar.tribunnews.com/2024/09/08/pilu-orangtua-di-bogor-anaknya-tewas-usai-diajak-teman-ke-puncak-muntah-darah-korban-bullying,"Pilu Orangtua di Bogor Anaknya Tewas usai Diajak Teman ke Puncak, Muntah Darah, Korban Bullying?  Nasib pilu menimpa sepasang orang tua di Bogor yang menjemput anaknya di Pasar Cisarua, Puncak Bogor, namun sang anak mendadak tewas. Kematian anaknya tersebut dinilai ganjil karena menunjukkan hal tak biasa. Sang anak muntah darah.Sebelumnya, sang anak menemui teman-temannya di Puncak Bogor. Korban, Ridwan (16), diduga koran bullying atau perundungan oleh teman-temannya, Rabu (4/9/2024). Ridwan mengalami luka lebam di bagian kepala dan mutah darah. Korban pun meninggal dunia sehari setelah kejadian, kamis (5/9/2024). Hal ini diketahui usai polisi mendalami penyebab kematian korban dan motif di balik kasus penganiayaan tersebut. Kanit Perlindungan Perempuan dan Anak (PPA) Satreskrim Polres Bogor, Ipda Ndaru Cahya Diana mengatakan, pihaknya telah mendatangi lokasi untuk menghimpun keterangan saksi serta mengamankan barang bukti pakaian dan ponsel. ""Unit PPA Sat Reskrim Polres Bogor menindaklanjuti kasus remaja (Ridwan) yang diduga korban penganiayaan akibat perundungan, hingga mengakibatkan kehilangan nyawa di RSUD Ciawi,"" kata Ipda Diana dalam keterangannya, Sabtu (7/9/2024).Berdasarkan hasil olah TKP, korban diduga di-bully teman-temannya sebelum dianiaya di wilayah Cisarua, Puncak. Diana menyebutkan bahwa terduga pelaku diketahui adalah teman korban. ""Setelah mendatangi TKP serta mencari saksi beserta barang bukti Satreskrim Polres Bogor sampai pada kesimpulan bahwa korban dirundung oleh salah satu temannya berinisial KOS,"" ujar Diana. Motif pelaku mengajak korban bertemu teman-temannya sesama pelajar di wilayah Puncak.Setibanya di lokasi, korban lalu dipukuli oleh para pelaku hingga tak berdaya atau hampir tidak sadarkan diri. ""Motif pelaku yaitu mengajak korban bertemu teman-teman sesama pelajar, setelah sampai di lokasi, korban dipukuli oleh pelaku (KOS) dan terduga lainnya sehingga mendapatkan luka di kepala,"" ucapnya.",Teman
"Nasib Guru SMAN 2 Cianjur yang Aniaya Siswa, Ditolak Murid untuk Ngajar hingga Dilaporkan ke Polisi","Minggu, 8 September 2024 16:04 WIB",https://jabar.tribunnews.com/2024/09/08/nasib-guru-sman-2-cianjur-yang-aniaya-siswa-ditolak-murid-untuk-ngajar-hingga-dilaporkan-ke-polisi,"Nasib Guru SMAN 2 Cianjur yang Aniaya Siswa, Ditolak Murid untuk Ngajar hingga Dilaporkan ke Polisi . Guru SMAN 2 Cianjur berinisial SMG (55) kini harus menerima konsekuensi setelah melakukan penganiayaan terhadap muridnya. Belakangan ini, video ketika guru menganiaya murid ketika jam pelajaran itu beredar viral di media sosial. Dalam video yang beredar, SMG yang mengajar matematika itu memukul hingga membanting murid meskipun korbannya telah meminta maaf berkali-kali. Adapun, korbannya berinisial MDS (16). Belakangan diketahui bahwa penganiayaan ini bermula ketika ada murid lain yang melewati ruangan kelas korban. Murid tersebut lantas memberikan senyuman kepada korban. Korban pun memberikan balasan senyuman kepada murid itu, namun guru SMG yang melihat itu menganggap bahwa korban tengah meledeknya. Lantas, bagaimana nasib guru SMG kini? Tidak diberi jam pelajaranSetelah melakukan penganiayaan terhadap muridnya, SMG pun kini tidak mendapatkan jam pelajaran di SMAN 2 Cianjur. Keputusan tersebut diambil oleh SMAN 2 Cianjur dan Kepala Kantor Cabang Dinas (KCD) wilayah V Dinas Pendidikan Provinsi Jawa Barat setelah melakukan rapat tertutup, Jumat (6/9/2024). Kepala KCD Wilayah V Dinas Provinsi Jawa Barat Nonong Winarti mengatakan, pihaknya langsung berkoordinasi dengan SMAN 2 Cianjur setelah video penganiayaan itu viral. ""Kami pun telah mengadakan rapat tertutup. Berdasarkan hasil rapat dan informasi yang didapat lalu disimpulkan, kejadian tindak kekerasan itu memang terjadi seperti pada video yang beredar,"" katanya pada wartawan di SMAN 2 Cianjur.Dalam rapat tersebut, lanjut dia, disimpulkan bahwa memang benar oknum guru itu melakukan pemukulan terhadap anak didiknya. ",Tenaga Pendidik
