Berita,Label,Category_id
terduga pelaku kekerasan terhadap anak isa bajaj serahkan diri ke polisi seorang pria terduga pelaku kekerasan anak isa wahyu prastantyo atau isa bajaj mendatangi satreskrim polres magetan untuk menyerahkan diri ini setelah isa bajaj lapor polisi soal dugaan kekerasan yang dialami anaknya di alunalun magetan untuk perkembangan saat ini terduga orang yang terlibat mendatangi polres magetan untuk menyerahkan diri ujar kasat reskrim polres magetan akp angga perdana brahmada pria yang terduga menyebabkan anak perempuan isa bajaj mengalami luka pada kemaluan ini berinisial d  warga magetan ini merupakan orang tua dari anak basket yang saat itu tengah berlatih di kompleks alunalun magetan dia ortu dari anak komunitas basket magetan yang saat itu berada di lokasi kata anggaangga mengatakan polisi lalu melakukan pemeriksaan pada pria tersebut sejak senin  sore hingga dini hari tadi mulai kemarin menyerahkan diri dan kita periksa sampai tadi dini hari papar angga sebelumnya isa bajaj geram saat sang anak mengalami tindak kekerasan di sekitar alunalun magetan sang anak pulang sambil menangis dengan kondisi kemaluan berdarah anak tersebut mengaku organ intimnya ditendang oknum yang disebutnya kakak cowok isa bajaj pun langsung membawa putrinya ke igd pada kamis  setelah dari igd sang anak langsung dibawa ke poli kandungan hal itu untuk dilakukan pengecekan lebih jelas pada luka yang dialami anaknya isa bajaj juga melaporkan dugaan kekerasan ini ke polisi,orang asing,4
miris  anak di jakarta jadi korban kekerasan anak di jakarta dalam  pekan kasus kekerasan anak sedang tinggi di jakarta pada bulan ini setidaknya ada enam anak yang menjadi korban kekerasan orang dewasa dari enam anak yang menjadi korban ada lima korban jiwa mirisnya kelima korban tewas di tangan orang tua kandung enam orang korban tersebut terjadi dalam tiga kasus berbeda keenam anak menjadi korban pelampiasan kemarahan orangorang dewasa tersebut kasus terbaru seorang anak tewas akibat dibanting ayah kandungnya di penjaringan jakarta utara jakut pada rabu  sebelumnya seorang pria di jagakarsa jakarta selatan jaksel bernama panca darmansyah  membunuh empat anak kandungnya dan satu kasus lainnya ialah pria bernama risqi ariskalaki  yang menganiaya anak berusia  tahun hingga menyebabkan korban patah leher dan komakasus kekerasan terhadap anak terbaru terjadi di penjaringan jakut pada rabu  seorang pria berinisial u membanting anaknya k alias awan  hingga korban meninggal dunia benar meninggal anak kandungnya sendiri kata kapolsek penjaringan kompol bobby danuardi saat dihubungi kamis awalnya pelaku yang memakai pakaian hitam memukul dan menendang sang anak yang berpakaian oranye hingga jatuh ke tanah setelah itu pelaku menggendong korban dan mengangkatnya ke atas kemudian membanting korban ke tanah korban terlihat lemas dan tak sadarkan diri belum diketahui pemicu pasti hingga membuat u emosional dan tega membanting putranya setelah insiden itu korban langsung dibawa pelaku ke rumah sakit rs karena tak sadarkan diriu telah ditahan polisi dan sedang diperiksa intensif terkait kasusnya tersebutpanca darmansyah  tega membunuh empat anak kandungnya sebelum membunuh empat anaknya panca sempat menganiaya istrinya d hingga korban harus dilarikan ke rumah sakit rs panca berdalih tindakan tersebut bermula dari kecemburuannya terhadap istri dia lalu melakukan kekerasan dalam rumah tangga kdrt terhadap istrinya pada sabtu  pada saat istrinya dirawat di rs panca malah melanjutkan aksi kekerasannya dia membunuh empat anaknya dengan cara dibekapsebelumnya wakasat reskrim polres metro jakarta selatan kompol henrikus yossi mengatakan panca membunuh keempat anaknya itu pada minggu  siang dia membunuh keempat anaknya satu per satu,keluarga,0
polisi amankan oknum guru sd di sinjai diduga aniaya siswa di sekolah siswa sdn  balangpesoang berinisial ra  diduga dianiaya oleh gurunya berinisial as  di kabupaten sinjai sulawesi selatan sulsel polisi kini telah mengamankan oknum guru tersebut untuk diperiksa lebih lanjut saat ini terduga pelaku berinisial as yang berprofesi sebagai guru sd sedang menjalani pemeriksaan oleh unit ppa kami mendalami motif serta penyebab di balik tindakan kekerasan yang diduga dilakukan oleh pelaku terhadap muridnya sendiri ujar kasat reskrim polres sinjai iptu andi rahmatullah dalam keterangannya rabu peristiwa penganiayaan itu terjadi di sd negeri  balangpesoang desa samaturue kecamatan tellulimpoe senin  sekitar pukul  wita polisi menyelidiki kasus ini setelah dilaporkan oleh orang tua korban kejadian ini dilaporkan oleh ibu korban bersama korban laporannya terkait dugaan penganiayaan sebut rahmatullahrahmatullah mengatakan korban dianiaya oleh gurunya dengan cara ditampar di bagian pipi sebelah kiri dugaan penganiayaan itu terungkap setelah korban menceritakan kejadian tersebut sepulang sekolah jika terbukti bersalah as akan menghadapi konsekuensi hukum sesuai dengan ketentuan yang berlaku termasuk kemungkinan dihadapkan pada sanksi pidana terangnya rahmatullah menambahkan dalam penanganan kasus ini dengan penuh kehatihatian mengingat sensitivitas yang melibatkan anak sebagai korban polisi menegaskan akan tetap melakukan proses hukum terhadap kasus yang melibatkan seorang anak kami berkomitmen untuk menegakkan hukum secara tegas terhadap setiap tindakan yang merugikan terutama jika melibatkan anakanak proses pemeriksaan ini akan terus kami lakukan hingga semua fakta dan bukti terungkap dengan jelas ujarnya kami akan berkoordinasi dengan instansi terkait seperti dinas pendidikan dan lembaga perlindungan anak untuk memastikan bahwa kasus ini ditangani sesuai dengan prosedur hukum yang berlaku serta memberikan perlindungan yang maksimal kepada korban kami akan transparan dalam proses penyelidikan dan akan mengumumkan hasilnya kepada publik setelah semua tahapan penyelidikan selesai sambung rahmatullah sementara itu kepala dinas pendidikan disdik sinjai irwan suaib mengaku telah menindaklanjuti dugaan penganiayaan yang dilakukan oleh oknum guru terhadap siswanya dia juga memanggil kepala sekolah untuk mengetahui kronologi kejadiannyakami telah menindak lanjuti laporan dari ketua tim pencegahan dan penanganan kekerasan tppk sd  balangpesoang mengenai kejadian dugaan tindak kekerasan yang dilakukan oknum guru itu as ucap irwan irwan menambahkan disdik telah berkoordinasi dengan dinas pemberdayaan perempuan perlindungan anak pengendalian penduduk dan keluarga berencana dpapkb sinjai untuk penanganan kasusnya disdik juga menyerahkan sepenuhnya proses hukum atas kejadian itu kepada kepolisian kami sudah koordinasikan dengan dinas pemberdayaan anak dan pihak polres sinjai terkait dugaan tindak kekerasan ini kasus ini kami serahkan sepenuhnya ke kepolisian jelasnya,tenaga pendidik,2
anak ditenggelamkan ibu tambah catatan hitam kekerasan anak di jabar tragedi yang menimpa mr  kini sedang jadi sorotan remaja asal desa parigi mulya kecamatan cipunagara subang itu tewas usai dibuang ke saluran irigasi desa bugis kecamatan anjata indramayu oleh ibunya dalam kondisi hiduphidup tak hanya itu mr juga sempat dianiaya dan diikat kedua lengannya aksi keji nurhani tak hanya dilakukan seorang diri ia bersama bapaknya warim  dan adiknya suganda  nekat berbuat tindakan yang kejam hingga mengakibatkan nyawa korban melayang ketiganya pun kini sudah dijebloskan ke jeruji besi untuk mempertanggungjawabkan perbuatannya tragedi yang menimpa mr pun seolah menambah daftar panjang catatan kelam kasus kekerasan anak di jawa barat berdasarkan data pada laman sistem informasi online perlindungan perempuan dan anak simfonippa miliki kementerian ppa selama  tahun terakhir kasus tersebut terus mengalami peningkatan misalnya pada  laman simfonippa mencatat kekerasan anak di jabar mencapai  kasus yang dialami  korban lakilaki dan  korban perempuan dibandingkan tahun  kasus kekerasan itu memang mengalami penurunan dari sebelumnya total tercatat sebanyak  kasuslaman simfonippa itu juga mencatat pelaku kasus kekerasan terhadap anak berusia  tahun mayoritas dilakukan orang tua sebanyak  kasus pacarteman  kasus dan orang tak dikenal atau na  kasus kemudian tetangga  kasus guru  kasus lainnya  kasus hingga keluargasaudara  kasusmemasuki tahun  kekerasan terhadap anak di jabar mengalami lonjakan hingga mencapai  kasus korbannya menimpa anakanak berusia  tahun dengan rincian  lakilaki dan  perempuan adapun pelakunya mayoritas dilakukan oleh temanpacar sebanyak  kasus orang tua  kasus dan tetangga  kasus disusul lainnya  kasus orang tak dikenal atau na  kasus hingga saudarakeluarga  kasus lonjakan kekerasan terhadap anak kembali terjadi pada  dengan catatan sebanyak  kasus korbannya menimpa  anak lakilaki dan  anak perempuan laman simfonippa juga menampilkan pelaku kekerasan anak pada  mayoritas dilakukan orang tua sebanyak  kasus disusul temanpacar  kasus dan lainnya  kasus kemudian tetangga  kasus keluargasaudara  kasus guru  kasus hingga orang tak dikenal atau na  kasus peningkatan lagilagi terjadi pada  tercatat ada  kasus kekerasan anak di jabar yang menimpa  korban anak lakilaki dan  anak perempuan pelaku kekerasan anak pada  pun tercatat paling banyak dilakukan orang tua sebanyak  kasus pacarteman  kasus dan lainnya  kasus disusul tetangga  kasus guru  kasus keluargasaudara  kasus dan orang tak dikenal atau na  kasus sementara di tahun  ini laman simfonippa mencatat sudah terjadi  kasus di jawa barat korbannya menimpa  anak lakilaki dan  anak perempuanadapun pelaku kekerasan anak pada  tercatat paling banyak dilakukan orang tua sebanyak  kasus pacarteman  kasus dan lainnya  kasus disusul tetangga  kasus keluargasaudara  kasus orang tak dikenal atau na  kasus dan guru  kasusironisnya dalam catatan laman simfonippa kekerasan terhadap anak di jabar paling banyak berkategori kekerasan seksual kemudian disusul kekerasan lainnya kekerasan psikis kekerasan fisik penelantaran eksploitasi hingga trafficking atau perdagangan oranganakanak tak berdosa ini juga paling rentan mengalami kekerasan saat berada di rumah tangga kemudian di tempat lainnya sekolah fasilitas umum hingga tempat kerja,keluarga,0
tersangka bullying sma internasional dijerat uu kekerasan anak hingga tpks polisi menetapkan  orang sebagai tersangka kasus perundungan bullying siswa sma internasional di tangerang selatan tangsel mereka terdiri dari  orang tersangka dan  anak berkonflik dengan hukum karena belum masuk usia dewasakasat reskrim polres tangsel akp alvino cahyadi merinci pasal yang disangkakan kepada empat tersangka keempat tersangka yaitu pelajar yang semuanya adalah pria dengan inisial e  r  j  dan g  empat orang saksi ditingkatkan status saksi menjadi tersangka yang diduga melakukan tindak pidana kekerasan terhadap anak di bawah umur danatau pengeroyokan sebagaimana dimaksud dalam pasal c juncto pasal  uu ri nomor  tahun  atas perubahan kedua uu ri nomor  tahun  tentang perlindungananak danatau pasal  kuhp kata akp alvino dalam jumpa pers di kantornya jumat  selain itu  pelaku yang belum berusia dewasa atau disebut anak berkonflik dengan hukum abh juga disangkakan pasal serupa ketujuh pelaku anak ini juga diduga melakukan kekerasan terhadap korban tujuh orang anak saksi ditetapkan sebagai anak yang berkonflik dengan hukum yang diduga melakukan tindak pidana kekerasan terhadap anak di bawah umur danatau pengeroyokan sebagaimana dimaksud dalam pasal c juncto pasal  uu ri nomor  tahun  atas perubahan kedua uu ri nomor  tahun  tentang perlindungan anak danatau pasal  kuhp kata alvino sementara untuk seorang pelaku lainnya yang juga anak berkonflik dengan hukum dikenakan pasal pelecehan yang diatur dalam uu tindak pidana kekerasan seksual tpks dia diduga melucuti celana korban saat aksi perundungan terjadisatu orang anak saksi yang diduga melakukan tindak pidana kekerasan terhadap anak di bawah umur danatau tindak pidana melanggar kesusilaan terhadap anak korban danatau pengeroyokan sebagaimana dimaksud dalam pasal c juncto pasal  uu ri nomor  tahun  atas perubahan kedua uu ri nomor  tahun  tentang perlindungan anak danatau pasal  ayat  huruf d juncto pasal  undangundang ri urainya dugaan perundungan terhadap korban terjadi  kali yaitu tanggal  februari  dan  februari  perundungan pertama terjadi karena korban hendak bergabung dengan komunitas para pelakusimak berita selengkapnya di halaman selanjutnya,teman,3
terekamnya jerit ketakutan  balita saat disiksa ayah di cianjur jerit kesakitan tiga anak balita terdengar memilukan dari sebuah video yang diputar di layar ponsel terlihat seorang pria dengan brutalnya menyiksa anak yang diketahui merupakan anak kandungnya cs  mengabadikan aksi kejinya dalam video rekaman tersebut kemudian tersebar di media sosial dan jadi viraldalam video itu terlihat cs awalnya bercanda dengan salah seorang anak perempuannya sang anak pun tampak tertawa riang namun kemudian dalam dua video lainnya tampak cs malah melakukan tindak kekerasan terhadap anakanaknya cs mencekik sang anak hingga mengangkat anaknya dengan satu tangan sehingga korban menggelantung kesakitananakanak itupun menangis kesakitan akibat ulah pelaku terlebih setelah cs juga menjatuhkan anak ke lantaivideo dari cs pun dikirimkan ibu korban yang sedang bekerja di luar negeri sang ibu akhirnya mengirimkan vide tersebut pada saudaranya pihak keluarga langsung kemudian melaporkan tindakan cs pada kepolisian setelah mendapatkan laporan dari paman korban beberapa hari lalu kami langsung terjunkan tim untuk menangkap pelaku saat ini cs sudah kami amankan di mapolres cianjur kata kasatreskrim polres cianjur akp tono listianto dari hasil pemeriksaan diketahui jika cs melakukan aksi tersebut lantaran terbakar api cemburu cs menduga jika sang istri berselingkuh selama bekerja di luar negerimotifnya karena cemburu pelaku menuduh istrinya punya pria simpanan lain yang belum terbukti kebenarannya kata diaatas perbuatannya cs dijerat dengan pasal  undangundang nomor  tahun  tentang penghapusan kekerasan dalam rumah tangga dengan ancaman hukuman  tahun penjara sementara itu ketiga anaknya saat ini tengah menjalani pengobatan fisik dan psikis sebab ketiganya tidak hanya mengalami luka fisik tetapi juga mengalami trauma ketiga balita itu dalam pendampingan khusus petugas dan sekarang diasuh oleh paman korban kata tono,keluarga,0
dalih ibu muda bunuh anak tiri masih bocah gegara suami kurang perhatian ibu muda bernama iftahurrahman  di pontianak kalimantan barat kalbar yang tega menganiaya anak tirinya ahmad nizam alfahri  hingga tewas telah menjalani pemeriksaan pelaku ternyata iri dengan korban karena mendapat perhatian lebih dari ayahnya atau suami pelaku korban sebelumnya dilaporkan tewas setelah dianiaya di rumahnya di kelurahan parit tokaya kecamatan pontianak selatan selasa  namun mayat korban baru ditemukan di dalam karung kamis  sekitar pukul  wibsetelah kasus pembunuhan ini terungkap polisi kemudian mengamankan pelaku yang merupakan ibu tiri korban kepada penyidik pelaku akhirnya mengungkap alasan menelantarkan hingga menganiaya korban motif pelaku dari pengakuannya merasa iri kepada korban nizam karena suami pelaku lebih memperhatikan korban daripada pelaku dan anak hasil pernikahan dengan ichan ayah korban ungkap kabid humas polda kalbar kombes raden petit wijaya kepada detikcom rabu  petit mengaku pihaknya masih mendalami tindakan kekerasan yang dilakukan pelaku ke korban sebab tidak menutup kemungkinan pelaku sering menganiaya korban sebelum meninggal dunia untuk seberapa sering yang bersangkutan melakukan penganiayaan masih akan didalami ucapnya petit mengungkap pihaknya juga telah menggelar prarekonstruksi kejadian ini pada sabtu  hasilnya pelaku terbukti mendorong korban dengan kedua tangannya hingga jatuh ke lantai itu prarekonstruksi ada  adegan yang pasti bahwa tersangka sudah mengakui saat kejadian tanggal  hingga ditemukannya korban tersangka melakukan penganiayaan antara lain mendorong dengan kedua tangannya kepada korban hingga korban jatuh ke lantai katanya peristiwa itu membuat korban mengalami retak pada tulang tengkorak kepalanya petit menuturkan trauma tersebut menyebabkan terjadinya pendarahan dan pembengkakan pada otak korban adanya trauma benda tumpul pada bagian kepala menyebabkan retaknya tulang tengkorak sebelah kiri uangkapnya hal tersebut menjadikan peningkatan tekanan darah dalam rongga otak kepala yang menekan pusat pernapasan di batang otak dan menyebabkan gagal napas lanjutnya,keluarga,0
 fakta isa bajaj cabut laporan kekerasan terhadap putrinya isa bajaj resmi mencabut laporan kekerasan yang menimpa putrinya pemilik nama lengkap isa wahyu prastantyo ini mencabut laporan usai terduga pelaku menyerahkan diri ke polres magetanisa sempat bajaj geram saat sang anak mengalami tindak kekerasan di sekitar alunalun magetan sang anak pulang sambil menangis dengan kondisi kemaluan berdarah anak tersebut mengaku organ intimnya ditendang oknum yang disebutnya kakak cowok isa bajaj pun langsung membawa putrinya ke igd pada kamis  setelah dari igd sang anak langsung dibawa ke poli kandungan hal itu untuk dilakukan pengecekan lebih jelas pada luka yang dialami anaknya isa bajaj juga melaporkan dugaan kekerasan ini ke polres magetan kasat reskrim polres magetan akp angga perdana brahmada mengatakan terduga pelaku telah menyerahkan diri ke polisi pada senin   untuk perkembangan saat ini terduga orang yang terlibat mendatangi polres magetan untuk menyerahkan diri ujar angga saat dikonfirmasi detikjatim selasa pria yang terduga menyebabkan anak perempuan isa bajaj mengalami luka pada kemaluan ini berinisial d  warga magetan ini merupakan orang tua dari anak basket yang saat itu tengah berlatih di kompleks alunalun magetan dia ortu dari anak komunitas basket magetan yang saat itu berada di lokasi kata angga angga mengatakan polisi lalu melakukan pemeriksaan pada pria tersebut sejak senin  sore hingga selasa  dini hari tadi mulai kemarin menyerahkan diri dan kita periksa sampai tadi dini hari papar angga isa bajaj juga mendatangi satreskrim polres magetan dan mencabut laporannya isa bajaj akan berdamai dengan d yang merupakan orang tua anak basket yang saat kejadian tengah berlatih di sekitar alunalun magetan untuk isa selaku ortu korban mencabut laporan kekerasan yang dialami anak perempuannya atas permintaan maaf terduga pelaku yang sudah menyerahkan diri kemarin ujar angga angga menjelaskan terduga pelaku yang merupakan warga magetan ini mengaku tak sengaja menabrak putri isa bajaj hingga kemaluannya berdarah isa bajaj juga sudah memaafkan d atas itikad baik yang dilakukannyapihak pelapor sudah memaafkan terduga pelaku karena ada unsur ketidaksengajaan yakni murni kecelakaan bertabrakan saat jalan di trotoar papar angga namun isa bajaj berencana untuk meminta terduga pelaku membuat permintaan maaf di hadapan publikpelapor meminta permintaan maaf harus di depan publik keterangan terduga pelaku ia menyerahkan diri karena melihat berita yang seolah secara tidak langsung dia alami saat kejadian tandas anggaisa bajaj buka suara usai mencabut laporan kekerasan pada anak perempuannya yang mengalami luka pada kemaluan ia memilih berdamai karena itikad baik dari terduga pelaku yang menyerahkan diri ke polres magetan saya kedatangan d yang terlibat kasus kekerasan anak saya ujar isa kepada wartawan di warungnya selasa pertimbangan isa memilih damai mencabut laporan ke satreskrim polres magetan karena terduga pelaku sudah mengakui kesalahannya pelaku dengan iktikad baik juga menyerahkan diri setelah beredar kabar di media massa beliau sudah ke polisi yang mana sudah bercerita detail bahwa kecelakaan itu tidak sengaja mas d sudah mengakui kesalahannya tidak sengaja saya dan istri mencabut laporan jelas isaisa juga menjelaskan bahwa dugaan kekerasan yang dialami anak perempuannya bukan sepenuhnya kesalahan d isa beranggapan bahwa kesalahan juga ada pada anak perempuan yang tidak hatihati saat bermain mungkin kelalaian mas d juga kelalaian anak saya tidak hatihati bermain bertabrakan dengan d kata isa,teman,3
 anak jakarta jadi korban kekerasan dalam  pekan ini langkah heru budi pemprov dki jakarta menyatakan bakal turun tangan menindaklanjuti kasus kekerasan anak yang angkanya sedang tinggi di jakarta pada bulan ini setidaknya ada enam anak yang menjadi korban kekerasan orang dewasapenjabat pj gubernur dki jakarta heru budi hartono mengatakan pihaknya akan melakukan evaluasi mengenai peristiwa itu iya iya akan dilakukan evaluasi kata heru menjawab pertanyaan wartawan di pasar induk kramat jati jakarta timur rabu  sementara itu langkah lainnya lanjut heru dengan melakukan pendampingan terhadap keluarga korban pasti ada langkah dari pemprov dari dinas kesehatan dan ppapp dinas pemberdayaan perlindungan anak dan pengendalian penduduk pasti ada pendampingan ucap heru sebelumnya diberitakan angka kasus kekerasan anak sedang tinggi di jakarta pada bulan ini setidaknya ada enam anak yang menjadi korban kekerasan orang dewasaenam anak yang menjadi korban peristiwa kekerasan akhirnya meninggal dunia mirisnya lima dari enam korban tewas di tangan orang tua kandungenam korban tersebut terjadi dalam tiga kasus keenam anak menjadi korban pelampiasan kemarahan orangorang dewasa tersebut kasus terbaru seorang anak tewas akibat dibanting ayah kandungnya di penjaringan jakarta utara jakut pada rabu  sebelumnya seorang pria di jagakarsa jakarta selatan jaksel bernama panca darmansyah  membunuh empat anak kandungnya dan satu kasus lainnya ialah pria bernama risqi ariskalaki  yang menganiaya anak berusia  tahun hingga menyebabkan korban patah leher dan koma hingga akhirnya meninggal dunia,keluarga,0
bocah di jakut terluka diduga kena sabet sekuriti polisi selidiki seorang anak lakilaki diduga menjadi korban kekerasan di pademangan jakarta utara jakut korban terluka di bagian jempol tangan kiri karena diduga terkena senjata tajam sajam peristiwa itu disebut terjadi di sebuah pom bensin yang sudah tak terpakai pada selasa  kemarin korban diduga terluka akibat kekerasan yang dilakukan petugas keamanan yang menjaga lokasi itu beredar kabar peristiwa itu bermula saat korban bersama temantemannya bermain di area pom bensin itu kemudian terduga pelaku menegur korban dan temannya terduga pelaku diduga membawa sajam saat menegur anakanak yang bermain di area tersebut namun akhirnya terjadi insiden yang menyebabkan tangan korban terluka belum diketahui jelas kronologi peristiwa itu disebutkan korban harus dijahit luka di tangan kirinya polisi menyelidiki peristiwa tersebut anggota polsek pademangan sedang mendatangi tempat kejadian perkara tkp tersebut untuk menggali keterangan dan mengumpulkan faktafakta betul sedang diselidiki kata kapolsek pademangan kompol binsar hatorangan sianturi saat dimintai konfirmasi rabu  anggota polsek pademangan juga berupaya mengumpulkan keterangan dari para saksisaksi dan korban polisi juga mencari terduga pelakukami cek tkp katanya,orang asing,4
