Berita,Label,Category_id
"['terduga', 'pelaku', 'kekerasan', 'anak', 'isa', 'bajaj', 'serahkan', 'polisi', 'pria', 'terduga', 'pelaku', 'kekerasan', 'anak', 'isa', 'wahyu', 'prastantyo', 'isa', 'bajaj', 'satreskrim', 'polres', 'magetan', 'menyerahkan', 'isa', 'bajaj', 'lapor', 'polisi', 'dugaan', 'kekerasan', 'dialami', 'anaknya', 'alunalun', 'magetan', 'perkembangan', 'terduga', 'orang', 'terlibat', 'polres', 'magetan', 'menyerahkan', 'kasat', 'reskrim', 'polres', 'magetan', 'akp', 'angga', 'perdana', 'brahmada', 'pria', 'terduga', 'menyebabkan', 'anak', 'perempuan', 'isa', 'bajaj', 'mengalami', 'luka', 'kemaluan', 'berinisial', 'd', 'warga', 'magetan', 'orang', 'tua', 'anak', 'basket', 'berlatih', 'kompleks', 'alunalun', 'magetan', 'ortu', 'anak', 'komunitas', 'basket', 'magetan', 'lokasi', 'anggaangga', 'polisi', 'pemeriksaan', 'pria', 'senin', 'sore', 'kemarin', 'menyerahkan', 'periksa', 'papar', 'angga', 'isa', 'bajaj', 'geram', 'sang', 'anak', 'mengalami', 'tindak', 'kekerasan', 'alunalun', 'magetan', 'sang', 'anak', 'pulang', 'menangis', 'kondisi', 'kemaluan', 'berdarah', 'anak', 'mengaku', 'organ', 'intimnya', 'ditendang', 'oknum', 'disebutnya', 'kakak', 'cowok', 'isa', 'bajaj', 'langsung', 'membawa', 'putrinya', 'igd', 'kamis', 'igd', 'sang', 'anak', 'langsung', 'dibawa', 'poli', 'kandungan', 'pengecekan', 'luka', 'dialami', 'anaknya', 'isa', 'bajaj', 'melaporkan', 'dugaan', 'kekerasan', 'polisi']",orang asing,4
"['miris', 'anak', 'jakarta', 'korban', 'kekerasan', 'anak', 'jakarta', 'pekan', 'kekerasan', 'anak', 'jakarta', 'enam', 'anak', 'korban', 'kekerasan', 'orang', 'dewasa', 'enam', 'anak', 'korban', 'korban', 'jiwa', 'mirisnya', 'korban', 'tewas', 'tangan', 'orang', 'tua', 'kandung', 'enam', 'orang', 'korban', 'berbeda', 'keenam', 'anak', 'korban', 'pelampiasan', 'kemarahan', 'orangorang', 'dewasa', 'terbaru', 'anak', 'tewas', 'akibat', 'dibanting', 'ayah', 'kandungnya', 'penjaringan', 'jakarta', 'utara', 'jakut', 'rabu', 'pria', 'jagakarsa', 'jakarta', 'selatan', 'jaksel', 'bernama', 'panca', 'darmansyah', 'membunuh', 'anak', 'kandungnya', 'pria', 'bernama', 'risqi', 'ariskalaki', 'menganiaya', 'anak', 'berusia', 'menyebabkan', 'korban', 'patah', 'leher', 'komakasus', 'kekerasan', 'anak', 'terbaru', 'penjaringan', 'jakut', 'rabu', 'pria', 'berinisial', 'u', 'membanting', 'anaknya', 'k', 'alias', 'awan', 'korban', 'meninggal', 'dunia', 'meninggal', 'anak', 'kandungnya', 'kapolsek', 'penjaringan', 'kompol', 'bobby', 'danuardi', 'dihubungi', 'kamis', 'pelaku', 'memakai', 'pakaian', 'hitam', 'memukul', 'menendang', 'sang', 'anak', 'berpakaian', 'oranye', 'jatuh', 'tanah', 'pelaku', 'menggendong', 'korban', 'mengangkatnya', 'membanting', 'korban', 'tanah', 'korban', 'lemas', 'sadarkan', 'pemicu', 'u', 'emosional', 'tega', 'membanting', 'putranya', 'insiden', 'korban', 'langsung', 'dibawa', 'pelaku', 'rumah', 'sakit', 'rs', 'sadarkan', 'diriu', 'ditahan', 'polisi', 'diperiksa', 'intensif', 'terkait', 'kasusnya', 'tersebutpanca', 'darmansyah', 'tega', 'membunuh', 'anak', 'kandungnya', 'membunuh', 'anaknya', 'panca', 'menganiaya', 'istrinya', 'd', 'korban', 'dilarikan', 'rumah', 'sakit', 'rs', 'panca', 'berdalih', 'tindakan', 'kecemburuannya', 'istri', 'kekerasan', 'rumah', 'tangga', 'kdrt', 'istrinya', 'sabtu', 'istrinya', 'dirawat', 'rs', 'panca', 'melanjutkan', 'aksi', 'kekerasannya', 'membunuh', 'anaknya', 'dibekapsebelumnya', 'wakasat', 'reskrim', 'polres', 'metro', 'jakarta', 'selatan', 'kompol', 'henrikus', 'yossi', 'panca', 'membunuh', 'keempat', 'anaknya', 'minggu', 'siang', 'membunuh', 'keempat', 'anaknya']",keluarga,0
"['polisi', 'amankan', 'oknum', 'guru', 'sd', 'sinjai', 'diduga', 'aniaya', 'siswa', 'sekolah', 'siswa', 'sdn', 'balangpesoang', 'berinisial', 'ra', 'diduga', 'dianiaya', 'gurunya', 'berinisial', 'as', 'kabupaten', 'sinjai', 'sulawesi', 'selatan', 'sulsel', 'polisi', 'mengamankan', 'oknum', 'guru', 'diperiksa', 'terduga', 'pelaku', 'berinisial', 'as', 'berprofesi', 'guru', 'sd', 'menjalani', 'pemeriksaan', 'unit', 'ppa', 'mendalami', 'motif', 'penyebab', 'tindakan', 'kekerasan', 'diduga', 'pelaku', 'muridnya', 'kasat', 'reskrim', 'polres', 'sinjai', 'iptu', 'andi', 'rahmatullah', 'keterangannya', 'rabu', 'peristiwa', 'penganiayaan', 'sd', 'negeri', 'balangpesoang', 'desa', 'samaturue', 'kecamatan', 'tellulimpoe', 'senin', 'wita', 'polisi', 'menyelidiki', 'dilaporkan', 'orang', 'tua', 'korban', 'kejadian', 'dilaporkan', 'korban', 'korban', 'laporannya', 'terkait', 'dugaan', 'penganiayaan', 'rahmatullahrahmatullah', 'korban', 'dianiaya', 'gurunya', 'ditampar', 'pipi', 'sebelah', 'kiri', 'dugaan', 'penganiayaan', 'terungkap', 'korban', 'menceritakan', 'kejadian', 'sepulang', 'sekolah', 'terbukti', 'bersalah', 'as', 'menghadapi', 'konsekuensi', 'hukum', 'sesuai', 'ketentuan', 'berlaku', 'dihadapkan', 'sanksi', 'pidana', 'terangnya', 'rahmatullah', 'penanganan', 'penuh', 'kehatihatian', 'sensitivitas', 'melibatkan', 'anak', 'korban', 'polisi', 'proses', 'hukum', 'melibatkan', 'anak', 'berkomitmen', 'menegakkan', 'hukum', 'tindakan', 'merugikan', 'melibatkan', 'anakanak', 'proses', 'pemeriksaan', 'lakukan', 'fakta', 'bukti', 'terungkap', 'berkoordinasi', 'instansi', 'terkait', 'dinas', 'pendidikan', 'lembaga', 'perlindungan', 'anak', 'ditangani', 'sesuai', 'prosedur', 'hukum', 'berlaku', 'perlindungan', 'maksimal', 'korban', 'transparan', 'proses', 'penyelidikan', 'mengumumkan', 'hasilnya', 'publik', 'tahapan', 'penyelidikan', 'selesai', 'sambung', 'rahmatullah', 'kepala', 'dinas', 'pendidikan', 'disdik', 'sinjai', 'irwan', 'suaib', 'mengaku', 'menindaklanjuti', 'dugaan', 'penganiayaan', 'oknum', 'guru', 'siswanya', 'memanggil', 'kepala', 'sekolah', 'kronologi', 'kejadiannyakami', 'menindak', 'lanjuti', 'laporan', 'ketua', 'tim', 'pencegahan', 'penanganan', 'kekerasan', 'tppk', 'sd', 'balangpesoang', 'kejadian', 'dugaan', 'tindak', 'kekerasan', 'oknum', 'guru', 'as', 'irwan', 'irwan', 'disdik', 'berkoordinasi', 'dinas', 'pemberdayaan', 'perempuan', 'perlindungan', 'anak', 'pengendalian', 'penduduk', 'keluarga', 'berencana', 'dpapkb', 'sinjai', 'penanganan', 'kasusnya', 'disdik', 'menyerahkan', 'sepenuhnya', 'proses', 'hukum', 'kejadian', 'kepolisian', 'koordinasikan', 'dinas', 'pemberdayaan', 'anak', 'polres', 'sinjai', 'terkait', 'dugaan', 'tindak', 'kekerasan', 'serahkan', 'sepenuhnya', 'kepolisian']",tenaga pendidik,2
"['anak', 'ditenggelamkan', 'catatan', 'hitam', 'kekerasan', 'anak', 'jabar', 'tragedi', 'menimpa', 'mr', 'sorotan', 'remaja', 'desa', 'parigi', 'mulya', 'kecamatan', 'cipunagara', 'subang', 'tewas', 'dibuang', 'saluran', 'irigasi', 'desa', 'bugis', 'kecamatan', 'anjata', 'indramayu', 'ibunya', 'kondisi', 'hiduphidup', 'mr', 'dianiaya', 'diikat', 'lengannya', 'aksi', 'keji', 'nurhani', 'bapaknya', 'warim', 'adiknya', 'suganda', 'nekat', 'berbuat', 'tindakan', 'kejam', 'mengakibatkan', 'nyawa', 'korban', 'melayang', 'ketiganya', 'dijebloskan', 'jeruji', 'besi', 'mempertanggungjawabkan', 'perbuatannya', 'tragedi', 'menimpa', 'mr', 'menambah', 'daftar', 'catatan', 'kelam', 'kekerasan', 'anak', 'jawa', 'barat', 'berdasarkan', 'data', 'laman', 'sistem', 'informasi', 'online', 'perlindungan', 'perempuan', 'anak', 'simfonippa', 'miliki', 'kementerian', 'ppa', 'mengalami', 'peningkatan', 'laman', 'simfonippa', 'mencatat', 'kekerasan', 'anak', 'jabar', 'mencapai', 'dialami', 'korban', 'lakilaki', 'korban', 'perempuan', 'dibandingkan', 'kekerasan', 'mengalami', 'penurunan', 'total', 'tercatat', 'kasuslaman', 'simfonippa', 'mencatat', 'pelaku', 'kekerasan', 'anak', 'berusia', 'mayoritas', 'orang', 'tua', 'pacarteman', 'orang', 'dikenal', 'na', 'tetangga', 'guru', 'keluargasaudara', 'kasusmemasuki', 'kekerasan', 'anak', 'jabar', 'mengalami', 'lonjakan', 'mencapai', 'korbannya', 'menimpa', 'anakanak', 'berusia', 'rincian', 'lakilaki', 'perempuan', 'pelakunya', 'mayoritas', 'temanpacar', 'orang', 'tua', 'tetangga', 'disusul', 'orang', 'dikenal', 'na', 'saudarakeluarga', 'lonjakan', 'kekerasan', 'anak', 'catatan', 'korbannya', 'menimpa', 'anak', 'lakilaki', 'anak', 'perempuan', 'laman', 'simfonippa', 'menampilkan', 'pelaku', 'kekerasan', 'anak', 'mayoritas', 'orang', 'tua', 'disusul', 'temanpacar', 'tetangga', 'keluargasaudara', 'guru', 'orang', 'dikenal', 'na', 'peningkatan', 'lagilagi', 'tercatat', 'kekerasan', 'anak', 'jabar', 'menimpa', 'korban', 'anak', 'lakilaki', 'anak', 'perempuan', 'pelaku', 'kekerasan', 'anak', 'tercatat', 'orang', 'tua', 'pacarteman', 'disusul', 'tetangga', 'guru', 'keluargasaudara', 'orang', 'dikenal', 'na', 'laman', 'simfonippa', 'mencatat', 'jawa', 'barat', 'korbannya', 'menimpa', 'anak', 'lakilaki', 'anak', 'perempuanadapun', 'pelaku', 'kekerasan', 'anak', 'tercatat', 'orang', 'tua', 'pacarteman', 'disusul', 'tetangga', 'keluargasaudara', 'orang', 'dikenal', 'na', 'guru', 'kasusironisnya', 'catatan', 'laman', 'simfonippa', 'kekerasan', 'anak', 'jabar', 'berkategori', 'kekerasan', 'seksual', 'disusul', 'kekerasan', 'kekerasan', 'psikis', 'kekerasan', 'fisik', 'penelantaran', 'eksploitasi', 'trafficking', 'perdagangan', 'oranganakanak', 'berdosa', 'rentan', 'mengalami', 'kekerasan', 'rumah', 'tangga', 'sekolah', 'fasilitas', 'kerja']",keluarga,0
"['tersangka', 'bullying', 'sma', 'internasional', 'dijerat', 'uu', 'kekerasan', 'anak', 'tpks', 'polisi', 'menetapkan', 'orang', 'tersangka', 'perundungan', 'bullying', 'siswa', 'sma', 'internasional', 'tangerang', 'selatan', 'tangsel', 'orang', 'tersangka', 'anak', 'berkonflik', 'hukum', 'masuk', 'usia', 'dewasakasat', 'reskrim', 'polres', 'tangsel', 'akp', 'alvino', 'cahyadi', 'merinci', 'pasal', 'disangkakan', 'tersangka', 'keempat', 'tersangka', 'pelajar', 'pria', 'inisial', 'e', 'r', 'j', 'g', 'orang', 'saksi', 'ditingkatkan', 'status', 'saksi', 'tersangka', 'diduga', 'tindak', 'pidana', 'kekerasan', 'anak', 'umur', 'danatau', 'pengeroyokan', 'pasal', 'c', 'juncto', 'pasal', 'uu', 'ri', 'nomor', 'perubahan', 'uu', 'ri', 'nomor', 'perlindungananak', 'danatau', 'pasal', 'kuhp', 'akp', 'alvino', 'jumpa', 'pers', 'kantornya', 'jumat', 'pelaku', 'berusia', 'dewasa', 'anak', 'berkonflik', 'hukum', 'abh', 'disangkakan', 'pasal', 'ketujuh', 'pelaku', 'anak', 'diduga', 'kekerasan', 'korban', 'tujuh', 'orang', 'anak', 'saksi', 'ditetapkan', 'anak', 'berkonflik', 'hukum', 'diduga', 'tindak', 'pidana', 'kekerasan', 'anak', 'umur', 'danatau', 'pengeroyokan', 'pasal', 'c', 'juncto', 'pasal', 'uu', 'ri', 'nomor', 'perubahan', 'uu', 'ri', 'nomor', 'perlindungan', 'anak', 'danatau', 'pasal', 'kuhp', 'alvino', 'pelaku', 'anak', 'berkonflik', 'hukum', 'dikenakan', 'pasal', 'pelecehan', 'diatur', 'uu', 'tindak', 'pidana', 'kekerasan', 'seksual', 'tpks', 'diduga', 'melucuti', 'celana', 'korban', 'aksi', 'perundungan', 'terjadisatu', 'orang', 'anak', 'saksi', 'diduga', 'tindak', 'pidana', 'kekerasan', 'anak', 'umur', 'danatau', 'tindak', 'pidana', 'melanggar', 'kesusilaan', 'anak', 'korban', 'danatau', 'pengeroyokan', 'pasal', 'c', 'juncto', 'pasal', 'uu', 'ri', 'nomor', 'perubahan', 'uu', 'ri', 'nomor', 'perlindungan', 'anak', 'danatau', 'pasal', 'ayat', 'huruf', 'd', 'juncto', 'pasal', 'undangundang', 'ri', 'urainya', 'dugaan', 'perundungan', 'korban', 'kali', 'tanggal', 'februari', 'februari', 'perundungan', 'korban', 'bergabung', 'komunitas', 'pelakusimak', 'berita', 'selengkapnya', 'halaman']",teman,3
"['terekamnya', 'jerit', 'ketakutan', 'balita', 'disiksa', 'ayah', 'cianjur', 'jerit', 'kesakitan', 'anak', 'balita', 'terdengar', 'memilukan', 'video', 'diputar', 'layar', 'ponsel', 'pria', 'brutalnya', 'menyiksa', 'anak', 'anak', 'kandungnya', 'cs', 'mengabadikan', 'aksi', 'kejinya', 'video', 'rekaman', 'tersebar', 'media', 'sosial', 'viraldalam', 'video', 'cs', 'bercanda', 'salah', 'anak', 'perempuannya', 'sang', 'anak', 'tertawa', 'riang', 'video', 'cs', 'tindak', 'kekerasan', 'anakanaknya', 'cs', 'mencekik', 'sang', 'anak', 'mengangkat', 'anaknya', 'tangan', 'korban', 'menggelantung', 'kesakitananakanak', 'itupun', 'menangis', 'kesakitan', 'akibat', 'ulah', 'pelaku', 'cs', 'menjatuhkan', 'anak', 'lantaivideo', 'cs', 'dikirimkan', 'korban', 'negeri', 'sang', 'mengirimkan', 'vide', 'saudaranya', 'keluarga', 'langsung', 'melaporkan', 'tindakan', 'cs', 'kepolisian', 'laporan', 'paman', 'korban', 'langsung', 'terjunkan', 'tim', 'menangkap', 'pelaku', 'cs', 'amankan', 'mapolres', 'cianjur', 'kasatreskrim', 'polres', 'cianjur', 'akp', 'tono', 'listianto', 'hasil', 'pemeriksaan', 'cs', 'aksi', 'lantaran', 'terbakar', 'api', 'cemburu', 'cs', 'menduga', 'sang', 'istri', 'berselingkuh', 'negerimotifnya', 'cemburu', 'pelaku', 'menuduh', 'istrinya', 'pria', 'simpanan', 'terbukti', 'kebenarannya', 'diaatas', 'perbuatannya', 'cs', 'dijerat', 'pasal', 'undangundang', 'nomor', 'penghapusan', 'kekerasan', 'rumah', 'tangga', 'ancaman', 'hukuman', 'penjara', 'ketiga', 'anaknya', 'menjalani', 'pengobatan', 'fisik', 'psikis', 'ketiganya', 'mengalami', 'luka', 'fisik', 'mengalami', 'trauma', 'ketiga', 'balita', 'pendampingan', 'khusus', 'petugas', 'diasuh', 'paman', 'korban', 'tono']",keluarga,0
"['dalih', 'muda', 'bunuh', 'anak', 'tiri', 'bocah', 'gegara', 'suami', 'perhatian', 'muda', 'bernama', 'iftahurrahman', 'pontianak', 'kalimantan', 'barat', 'kalbar', 'tega', 'menganiaya', 'anak', 'tirinya', 'ahmad', 'nizam', 'alfahri', 'tewas', 'menjalani', 'pemeriksaan', 'pelaku', 'iri', 'korban', 'perhatian', 'ayahnya', 'suami', 'pelaku', 'korban', 'dilaporkan', 'tewas', 'dianiaya', 'rumahnya', 'kelurahan', 'parit', 'tokaya', 'kecamatan', 'pontianak', 'selatan', 'selasa', 'mayat', 'korban', 'ditemukan', 'karung', 'kamis', 'wibsetelah', 'pembunuhan', 'terungkap', 'polisi', 'mengamankan', 'pelaku', 'tiri', 'korban', 'penyidik', 'pelaku', 'mengungkap', 'alasan', 'menelantarkan', 'menganiaya', 'korban', 'motif', 'pelaku', 'pengakuannya', 'iri', 'korban', 'nizam', 'suami', 'pelaku', 'memperhatikan', 'korban', 'pelaku', 'anak', 'hasil', 'pernikahan', 'ichan', 'ayah', 'korban', 'kabid', 'humas', 'polda', 'kalbar', 'kombes', 'raden', 'petit', 'wijaya', 'detikcom', 'rabu', 'petit', 'mengaku', 'mendalami', 'tindakan', 'kekerasan', 'pelaku', 'korban', 'menutup', 'pelaku', 'menganiaya', 'korban', 'meninggal', 'dunia', 'bersangkutan', 'penganiayaan', 'didalami', 'petit', 'mengungkap', 'menggelar', 'prarekonstruksi', 'kejadian', 'sabtu', 'hasilnya', 'pelaku', 'terbukti', 'mendorong', 'korban', 'tangannya', 'jatuh', 'lantai', 'prarekonstruksi', 'adegan', 'tersangka', 'mengakui', 'kejadian', 'tanggal', 'ditemukannya', 'korban', 'tersangka', 'penganiayaan', 'mendorong', 'tangannya', 'korban', 'korban', 'jatuh', 'lantai', 'peristiwa', 'korban', 'mengalami', 'retak', 'tulang', 'tengkorak', 'kepalanya', 'petit', 'trauma', 'menyebabkan', 'pendarahan', 'pembengkakan', 'otak', 'korban', 'trauma', 'benda', 'tumpul', 'kepala', 'menyebabkan', 'retaknya', 'tulang', 'tengkorak', 'sebelah', 'kiri', 'uangkapnya', 'menjadikan', 'peningkatan', 'tekanan', 'darah', 'rongga', 'otak', 'kepala', 'menekan', 'pusat', 'pernapasan', 'batang', 'otak', 'menyebabkan', 'gagal', 'napas']",keluarga,0
"['fakta', 'isa', 'bajaj', 'cabut', 'laporan', 'kekerasan', 'putrinya', 'isa', 'bajaj', 'resmi', 'mencabut', 'laporan', 'kekerasan', 'menimpa', 'putrinya', 'pemilik', 'nama', 'lengkap', 'isa', 'wahyu', 'prastantyo', 'mencabut', 'laporan', 'terduga', 'pelaku', 'menyerahkan', 'polres', 'magetanisa', 'bajaj', 'geram', 'sang', 'anak', 'mengalami', 'tindak', 'kekerasan', 'alunalun', 'magetan', 'sang', 'anak', 'pulang', 'menangis', 'kondisi', 'kemaluan', 'berdarah', 'anak', 'mengaku', 'organ', 'intimnya', 'ditendang', 'oknum', 'disebutnya', 'kakak', 'cowok', 'isa', 'bajaj', 'langsung', 'membawa', 'putrinya', 'igd', 'kamis', 'igd', 'sang', 'anak', 'langsung', 'dibawa', 'poli', 'kandungan', 'pengecekan', 'luka', 'dialami', 'anaknya', 'isa', 'bajaj', 'melaporkan', 'dugaan', 'kekerasan', 'polres', 'magetan', 'kasat', 'reskrim', 'polres', 'magetan', 'akp', 'angga', 'perdana', 'brahmada', 'terduga', 'pelaku', 'menyerahkan', 'polisi', 'senin', 'perkembangan', 'terduga', 'orang', 'terlibat', 'polres', 'magetan', 'menyerahkan', 'angga', 'dikonfirmasi', 'detikjatim', 'selasa', 'pria', 'terduga', 'menyebabkan', 'anak', 'perempuan', 'isa', 'bajaj', 'mengalami', 'luka', 'kemaluan', 'berinisial', 'd', 'warga', 'magetan', 'orang', 'tua', 'anak', 'basket', 'berlatih', 'kompleks', 'alunalun', 'magetan', 'ortu', 'anak', 'komunitas', 'basket', 'magetan', 'lokasi', 'angga', 'angga', 'polisi', 'pemeriksaan', 'pria', 'senin', 'sore', 'selasa', 'kemarin', 'menyerahkan', 'periksa', 'papar', 'angga', 'isa', 'bajaj', 'satreskrim', 'polres', 'magetan', 'mencabut', 'laporannya', 'isa', 'bajaj', 'berdamai', 'd', 'orang', 'tua', 'anak', 'basket', 'kejadian', 'berlatih', 'alunalun', 'magetan', 'isa', 'ortu', 'korban', 'mencabut', 'laporan', 'kekerasan', 'dialami', 'anak', 'perempuannya', 'permintaan', 'maaf', 'terduga', 'pelaku', 'menyerahkan', 'kemarin', 'angga', 'angga', 'terduga', 'pelaku', 'warga', 'magetan', 'mengaku', 'sengaja', 'menabrak', 'putri', 'isa', 'bajaj', 'kemaluannya', 'berdarah', 'isa', 'bajaj', 'memaafkan', 'd', 'itikad', 'dilakukannyapihak', 'pelapor', 'memaafkan', 'terduga', 'pelaku', 'unsur', 'ketidaksengajaan', 'murni', 'kecelakaan', 'bertabrakan', 'jalan', 'trotoar', 'papar', 'angga', 'isa', 'bajaj', 'berencana', 'terduga', 'pelaku', 'permintaan', 'maaf', 'hadapan', 'publikpelapor', 'permintaan', 'maaf', 'publik', 'keterangan', 'terduga', 'pelaku', 'menyerahkan', 'berita', 'langsung', 'alami', 'kejadian', 'anggaisa', 'bajaj', 'buka', 'suara', 'mencabut', 'laporan', 'kekerasan', 'anak', 'perempuannya', 'mengalami', 'luka', 'kemaluan', 'memilih', 'berdamai', 'itikad', 'terduga', 'pelaku', 'menyerahkan', 'polres', 'magetan', 'kedatangan', 'd', 'terlibat', 'kekerasan', 'anak', 'isa', 'wartawan', 'warungnya', 'selasa', 'pertimbangan', 'isa', 'memilih', 'damai', 'mencabut', 'laporan', 'satreskrim', 'polres', 'magetan', 'terduga', 'pelaku', 'mengakui', 'kesalahannya', 'pelaku', 'iktikad', 'menyerahkan', 'beredar', 'kabar', 'media', 'massa', 'beliau', 'polisi', 'bercerita', 'detail', 'kecelakaan', 'sengaja', 'mas', 'd', 'mengakui', 'kesalahannya', 'sengaja', 'istri', 'mencabut', 'laporan', 'isaisa', 'dugaan', 'kekerasan', 'dialami', 'anak', 'perempuannya', 'sepenuhnya', 'kesalahan', 'd', 'isa', 'beranggapan', 'kesalahan', 'anak', 'perempuan', 'hatihati', 'bermain', 'kelalaian', 'mas', 'd', 'kelalaian', 'anak', 'hatihati', 'bermain', 'bertabrakan', 'd', 'isa']",teman,3
"['anak', 'jakarta', 'korban', 'kekerasan', 'pekan', 'langkah', 'heru', 'budi', 'pemprov', 'dki', 'jakarta', 'turun', 'tangan', 'menindaklanjuti', 'kekerasan', 'anak', 'angkanya', 'jakarta', 'enam', 'anak', 'korban', 'kekerasan', 'orang', 'dewasapenjabat', 'pj', 'gubernur', 'dki', 'jakarta', 'heru', 'budi', 'hartono', 'evaluasi', 'peristiwa', 'iya', 'iya', 'evaluasi', 'heru', 'wartawan', 'pasar', 'induk', 'kramat', 'jati', 'jakarta', 'timur', 'rabu', 'langkah', 'heru', 'pendampingan', 'keluarga', 'korban', 'langkah', 'pemprov', 'dinas', 'kesehatan', 'ppapp', 'dinas', 'pemberdayaan', 'perlindungan', 'anak', 'pengendalian', 'penduduk', 'pendampingan', 'heru', 'diberitakan', 'angka', 'kekerasan', 'anak', 'jakarta', 'enam', 'anak', 'korban', 'kekerasan', 'orang', 'dewasaenam', 'anak', 'korban', 'peristiwa', 'kekerasan', 'meninggal', 'dunia', 'mirisnya', 'enam', 'korban', 'tewas', 'tangan', 'orang', 'tua', 'kandungenam', 'korban', 'keenam', 'anak', 'korban', 'pelampiasan', 'kemarahan', 'orangorang', 'dewasa', 'terbaru', 'anak', 'tewas', 'akibat', 'dibanting', 'ayah', 'kandungnya', 'penjaringan', 'jakarta', 'utara', 'jakut', 'rabu', 'pria', 'jagakarsa', 'jakarta', 'selatan', 'jaksel', 'bernama', 'panca', 'darmansyah', 'membunuh', 'anak', 'kandungnya', 'pria', 'bernama', 'risqi', 'ariskalaki', 'menganiaya', 'anak', 'berusia', 'menyebabkan', 'korban', 'patah', 'leher', 'koma', 'meninggal', 'dunia']",keluarga,0
"['bocah', 'jakut', 'terluka', 'diduga', 'kena', 'sabet', 'sekuriti', 'polisi', 'selidiki', 'anak', 'lakilaki', 'diduga', 'korban', 'kekerasan', 'pademangan', 'jakarta', 'utara', 'jakut', 'korban', 'terluka', 'jempol', 'tangan', 'kiri', 'diduga', 'terkena', 'senjata', 'tajam', 'sajam', 'peristiwa', 'pom', 'bensin', 'terpakai', 'selasa', 'kemarin', 'korban', 'diduga', 'terluka', 'akibat', 'kekerasan', 'petugas', 'keamanan', 'menjaga', 'lokasi', 'beredar', 'kabar', 'peristiwa', 'korban', 'temantemannya', 'bermain', 'area', 'pom', 'bensin', 'terduga', 'pelaku', 'menegur', 'korban', 'temannya', 'terduga', 'pelaku', 'diduga', 'membawa', 'sajam', 'menegur', 'anakanak', 'bermain', 'area', 'insiden', 'menyebabkan', 'tangan', 'korban', 'terluka', 'kronologi', 'peristiwa', 'korban', 'dijahit', 'luka', 'tangan', 'kirinya', 'polisi', 'menyelidiki', 'peristiwa', 'anggota', 'polsek', 'pademangan', 'kejadian', 'perkara', 'tkp', 'menggali', 'keterangan', 'mengumpulkan', 'faktafakta', 'diselidiki', 'kapolsek', 'pademangan', 'kompol', 'binsar', 'hatorangan', 'sianturi', 'konfirmasi', 'rabu', 'anggota', 'polsek', 'pademangan', 'berupaya', 'mengumpulkan', 'keterangan', 'saksisaksi', 'korban', 'polisi', 'mencari', 'terduga', 'pelakukami', 'cek', 'tkp']",orang asing,4
