Berita,Label,Category_id
"['duga', 'laku', 'keras', 'anak', 'isa', 'bajaj', 'serah', 'polisi', 'pria', 'duga', 'laku', 'keras', 'anak', 'isa', 'wahyu', 'prastantyo', 'isa', 'bajaj', 'satreskrim', 'polres', 'magetan', 'serah', 'isa', 'bajaj', 'lapor', 'polisi', 'duga', 'keras', 'alami', 'anak', 'alunalun', 'magetan', 'kembang', 'duga', 'orang', 'libat', 'polres', 'magetan', 'serah', 'kasat', 'reskrim', 'polres', 'magetan', 'akp', 'angga', 'perdana', 'brahmada', 'pria', 'duga', 'sebab', 'anak', 'perempuan', 'isa', 'bajaj', 'alami', 'luka', 'malu', 'inisial', 'd', 'warga', 'magetan', 'orang', 'tua', 'anak', 'basket', 'latih', 'kompleks', 'alunalun', 'magetan', 'ortu', 'anak', 'komunitas', 'basket', 'magetan', 'lokasi', 'anggaangga', 'polisi', 'periksa', 'pria', 'senin', 'sore', 'kemarin', 'serah', 'periksa', 'papar', 'angga', 'isa', 'bajaj', 'geram', 'sang', 'anak', 'alami', 'tindak', 'keras', 'alunalun', 'magetan', 'sang', 'anak', 'pulang', 'menang', 'kondisi', 'malu', 'darah', 'anak', 'aku', 'organ', 'intim', 'tendang', 'oknum', 'sebut', 'kakak', 'cowok', 'isa', 'bajaj', 'langsung', 'bawa', 'putri', 'igd', 'kamis', 'igd', 'sang', 'anak', 'langsung', 'bawa', 'pol', 'kandung', 'kece', 'luka', 'alami', 'anak', 'isa', 'bajaj', 'lapor', 'duga', 'keras', 'polisi']",orang asing,4
"['miris', 'anak', 'jakarta', 'korban', 'keras', 'anak', 'jakarta', 'pekan', 'keras', 'anak', 'jakarta', 'enam', 'anak', 'korban', 'keras', 'orang', 'dewasa', 'enam', 'anak', 'korban', 'korban', 'jiwa', 'miris', 'korban', 'tewas', 'tangan', 'orang', 'tua', 'kandung', 'enam', 'orang', 'korban', 'beda', 'enam', 'anak', 'korban', 'lampias', 'marah', 'orangorang', 'dewasa', 'baru', 'anak', 'tewas', 'akibat', 'banting', 'ayah', 'kandung', 'jaring', 'jakarta', 'utara', 'jakut', 'rabu', 'pria', 'jagakarsa', 'jakarta', 'selatan', 'jaksel', 'nama', 'panca', 'darmansyah', 'bunuh', 'anak', 'kandung', 'pria', 'nama', 'risqi', 'ariskalaki', 'aniaya', 'anak', 'usia', 'sebab', 'korban', 'patah', 'leher', 'komakasus', 'keras', 'anak', 'baru', 'jaring', 'jakut', 'rabu', 'pria', 'inisial', 'u', 'banting', 'anak', 'k', 'alias', 'awan', 'korban', 'tinggal', 'dunia', 'tinggal', 'anak', 'kandung', 'kapolsek', 'jaring', 'kompol', 'bobby', 'danuardi', 'hubung', 'kamis', 'laku', 'pakai', 'pakai', 'hitam', 'pukul', 'tendang', 'sang', 'anak', 'pakai', 'oranye', 'jatuh', 'tanah', 'laku', 'gendong', 'korban', 'angkat', 'banting', 'korban', 'tanah', 'korban', 'lemas', 'sadar', 'picu', 'u', 'emosional', 'tega', 'banting', 'putra', 'insiden', 'korban', 'langsung', 'bawa', 'laku', 'rumah', 'sakit', 'rs', 'sadar', 'diriu', 'tahan', 'polisi', 'periksa', 'intensif', 'kait', 'kasus', 'tersebutpanca', 'darmansyah', 'tega', 'bunuh', 'anak', 'kandung', 'bunuh', 'anak', 'panca', 'aniaya', 'istri', 'd', 'korban', 'lari', 'rumah', 'sakit', 'rs', 'panca', 'dalih', 'tindak', 'cemburu', 'istri', 'keras', 'rumah', 'tangga', 'kdrt', 'istri', 'sabtu', 'istri', 'rawat', 'rs', 'panca', 'lanjut', 'aksi', 'keras', 'bunuh', 'anak', 'dibekapsebelumnya', 'wakasat', 'reskrim', 'polres', 'metro', 'jakarta', 'selatan', 'kompol', 'henrikus', 'yossi', 'panca', 'bunuh', 'empat', 'anak', 'minggu', 'siang', 'bunuh', 'empat', 'anak']",keluarga,0
"['polisi', 'aman', 'oknum', 'guru', 'sd', 'sinjai', 'duga', 'aniaya', 'siswa', 'sekolah', 'siswa', 'sdn', 'balangpesoang', 'inisial', 'ra', 'duga', 'aniaya', 'guru', 'inisial', 'as', 'kabupaten', 'sinjai', 'sulawesi', 'selatan', 'sulsel', 'polisi', 'aman', 'oknum', 'guru', 'periksa', 'duga', 'laku', 'inisial', 'as', 'profesi', 'guru', 'sd', 'jalan', 'periksa', 'unit', 'ppa', 'dalam', 'motif', 'sebab', 'tindak', 'keras', 'duga', 'laku', 'murid', 'kasat', 'reskrim', 'polres', 'sinjai', 'iptu', 'andi', 'rahmatullah', 'terang', 'rabu', 'peristiwa', 'aniaya', 'sd', 'negeri', 'balangpesoang', 'desa', 'samaturue', 'camat', 'tellulimpoe', 'senin', 'wita', 'polisi', 'selidik', 'lapor', 'orang', 'tua', 'korban', 'jadi', 'lapor', 'korban', 'korban', 'lapor', 'kait', 'duga', 'aniaya', 'rahmatullahrahmatullah', 'korban', 'aniaya', 'guru', 'tampar', 'pipi', 'belah', 'kiri', 'duga', 'aniaya', 'ungkap', 'korban', 'cerita', 'jadi', 'pulang', 'sekolah', 'bukti', 'salah', 'as', 'hadap', 'konsekuensi', 'hukum', 'sesuai', 'tentu', 'laku', 'hadap', 'sanksi', 'pidana', 'terang', 'rahmatullah', 'tangan', 'penuh', 'kehatihatian', 'sensitivitas', 'libat', 'anak', 'korban', 'polisi', 'proses', 'hukum', 'libat', 'anak', 'komitmen', 'tegak', 'hukum', 'tindak', 'rugi', 'libat', 'anakanak', 'proses', 'periksa', 'laku', 'fakta', 'bukti', 'ungkap', 'koordinasi', 'instansi', 'kait', 'dinas', 'didik', 'lembaga', 'lindung', 'anak', 'tangan', 'sesuai', 'prosedur', 'hukum', 'laku', 'lindung', 'maksimal', 'korban', 'transparan', 'proses', 'lidi', 'umum', 'hasil', 'publik', 'tahap', 'lidi', 'selesai', 'sambung', 'rahmatullah', 'kepala', 'dinas', 'didik', 'disdik', 'sinjai', 'irwan', 'suaib', 'aku', 'menindaklanjuti', 'duga', 'aniaya', 'oknum', 'guru', 'siswa', 'panggil', 'kepala', 'sekolah', 'kronologi', 'kejadiannyakami', 'tindak', 'lanjut', 'lapor', 'ketua', 'tim', 'cegah', 'tangan', 'keras', 'tppk', 'sd', 'balangpesoang', 'jadi', 'duga', 'tindak', 'keras', 'oknum', 'guru', 'as', 'irwan', 'irwan', 'disdik', 'koordinasi', 'dinas', 'daya', 'perempuan', 'lindung', 'anak', 'kendali', 'duduk', 'keluarga', 'rencana', 'dpapkb', 'sinjai', 'tangan', 'kasus', 'disdik', 'serah', 'sepenuh', 'proses', 'hukum', 'jadi', 'polisi', 'koordinasi', 'dinas', 'daya', 'anak', 'polres', 'sinjai', 'kait', 'duga', 'tindak', 'keras', 'serah', 'sepenuh', 'polisi']",tenaga pendidik,2
"['anak', 'tenggelam', 'catat', 'hitam', 'keras', 'anak', 'jabar', 'tragedi', 'timpa', 'mr', 'sorot', 'remaja', 'desa', 'parigi', 'mulya', 'camat', 'cipunagara', 'subang', 'tewas', 'buang', 'salur', 'irigasi', 'desa', 'bugis', 'camat', 'anjata', 'indramayu', 'ibu', 'kondisi', 'hiduphidup', 'mr', 'aniaya', 'ikat', 'lengan', 'aksi', 'keji', 'nurhani', 'bapak', 'warim', 'adik', 'suganda', 'nekat', 'buat', 'tindak', 'kejam', 'akibat', 'nyawa', 'korban', 'layang', 'tiga', 'jeblos', 'jeruji', 'besi', 'mempertanggungjawabkan', 'buat', 'tragedi', 'timpa', 'mr', 'tambah', 'daftar', 'catat', 'kelam', 'keras', 'anak', 'jawa', 'barat', 'dasar', 'data', 'laman', 'sistem', 'informasi', 'online', 'lindung', 'perempuan', 'anak', 'simfonippa', 'milik', 'menteri', 'ppa', 'alami', 'tingkat', 'laman', 'simfonippa', 'catat', 'keras', 'anak', 'jabar', 'capai', 'alami', 'korban', 'lakilaki', 'korban', 'perempuan', 'banding', 'keras', 'alami', 'turun', 'total', 'catat', 'kasuslaman', 'simfonippa', 'catat', 'laku', 'keras', 'anak', 'usia', 'mayoritas', 'orang', 'tua', 'pacarteman', 'orang', 'kenal', 'na', 'tetangga', 'guru', 'keluargasaudara', 'kasusmemasuki', 'keras', 'anak', 'jabar', 'alami', 'lonjak', 'capai', 'korban', 'timpa', 'anakanak', 'usia', 'rincian', 'lakilaki', 'perempuan', 'laku', 'mayoritas', 'temanpacar', 'orang', 'tua', 'tetangga', 'susul', 'orang', 'kenal', 'na', 'saudarakeluarga', 'lonjak', 'keras', 'anak', 'catat', 'korban', 'timpa', 'anak', 'lakilaki', 'anak', 'perempuan', 'laman', 'simfonippa', 'tampil', 'laku', 'keras', 'anak', 'mayoritas', 'orang', 'tua', 'susul', 'temanpacar', 'tetangga', 'keluargasaudara', 'guru', 'orang', 'kenal', 'na', 'tingkat', 'lagilagi', 'catat', 'keras', 'anak', 'jabar', 'timpa', 'korban', 'anak', 'lakilaki', 'anak', 'perempuan', 'laku', 'keras', 'anak', 'catat', 'orang', 'tua', 'pacarteman', 'susul', 'tetangga', 'guru', 'keluargasaudara', 'orang', 'kenal', 'na', 'laman', 'simfonippa', 'catat', 'jawa', 'barat', 'korban', 'timpa', 'anak', 'lakilaki', 'anak', 'perempuanadapun', 'laku', 'keras', 'anak', 'catat', 'orang', 'tua', 'pacarteman', 'susul', 'tetangga', 'keluargasaudara', 'orang', 'kenal', 'na', 'guru', 'kasusironisnya', 'catat', 'laman', 'simfonippa', 'keras', 'anak', 'jabar', 'kategori', 'keras', 'seksual', 'susul', 'keras', 'keras', 'psikis', 'keras', 'fisik', 'telantar', 'eksploitasi', 'trafficking', 'dagang', 'oranganakanak', 'dosa', 'rentan', 'alami', 'keras', 'rumah', 'tangga', 'sekolah', 'fasilitas', 'kerja']",keluarga,0
"['sangka', 'bullying', 'sma', 'internasional', 'jerat', 'uu', 'keras', 'anak', 'tpks', 'polisi', 'tetap', 'orang', 'sangka', 'rundung', 'bullying', 'siswa', 'sma', 'internasional', 'tangerang', 'selatan', 'tangsel', 'orang', 'sangka', 'anak', 'konflik', 'hukum', 'masuk', 'usia', 'dewasakasat', 'reskrim', 'polres', 'tangsel', 'akp', 'alvino', 'cahyadi', 'merinci', 'pasal', 'sangka', 'sangka', 'empat', 'sangka', 'ajar', 'pria', 'inisial', 'e', 'r', 'j', 'g', 'orang', 'saksi', 'tingkat', 'status', 'saksi', 'sangka', 'duga', 'tindak', 'pidana', 'keras', 'anak', 'umur', 'danatau', 'keroyok', 'pasal', 'c', 'juncto', 'pasal', 'uu', 'ri', 'nomor', 'ubah', 'uu', 'ri', 'nomor', 'perlindungananak', 'danatau', 'pasal', 'kuhp', 'akp', 'alvino', 'jumpa', 'pers', 'kantor', 'jumat', 'laku', 'usia', 'dewasa', 'anak', 'konflik', 'hukum', 'abh', 'sangka', 'pasal', 'tujuh', 'laku', 'anak', 'duga', 'keras', 'korban', 'tujuh', 'orang', 'anak', 'saksi', 'tetap', 'anak', 'konflik', 'hukum', 'duga', 'tindak', 'pidana', 'keras', 'anak', 'umur', 'danatau', 'keroyok', 'pasal', 'c', 'juncto', 'pasal', 'uu', 'ri', 'nomor', 'ubah', 'uu', 'ri', 'nomor', 'lindung', 'anak', 'danatau', 'pasal', 'kuhp', 'alvino', 'laku', 'anak', 'konflik', 'hukum', 'kena', 'pasal', 'leceh', 'atur', 'uu', 'tindak', 'pidana', 'keras', 'seksual', 'tpks', 'duga', 'lucut', 'celana', 'korban', 'aksi', 'rundung', 'terjadisatu', 'orang', 'anak', 'saksi', 'duga', 'tindak', 'pidana', 'keras', 'anak', 'umur', 'danatau', 'tindak', 'pidana', 'langgar', 'susila', 'anak', 'korban', 'danatau', 'keroyok', 'pasal', 'c', 'juncto', 'pasal', 'uu', 'ri', 'nomor', 'ubah', 'uu', 'ri', 'nomor', 'lindung', 'anak', 'danatau', 'pasal', 'ayat', 'huruf', 'd', 'juncto', 'pasal', 'undangundang', 'ri', 'urai', 'duga', 'rundung', 'korban', 'kali', 'tanggal', 'februari', 'februari', 'rundung', 'korban', 'gabung', 'komunitas', 'pelakusimak', 'berita', 'lengkap', 'halaman']",teman,3
"['rekam', 'jerit', 'takut', 'balita', 'siksa', 'ayah', 'cianjur', 'jerit', 'sakit', 'anak', 'balita', 'dengar', 'milu', 'video', 'putar', 'layar', 'ponsel', 'pria', 'brutal', 'siksa', 'anak', 'anak', 'kandung', 'cs', 'abadi', 'aksi', 'keji', 'video', 'rekam', 'sebar', 'media', 'sosial', 'viraldalam', 'video', 'cs', 'canda', 'salah', 'anak', 'perempuan', 'sang', 'anak', 'tertawa', 'riang', 'video', 'cs', 'tindak', 'keras', 'anakanaknya', 'cs', 'cekik', 'sang', 'anak', 'angkat', 'anak', 'tangan', 'korban', 'gelantung', 'kesakitananakanak', 'itu', 'menang', 'sakit', 'akibat', 'ulah', 'laku', 'cs', 'jatuh', 'anak', 'lantaivideo', 'cs', 'kirim', 'korban', 'negeri', 'sang', 'kirim', 'vide', 'saudara', 'keluarga', 'langsung', 'lapor', 'tindak', 'cs', 'polisi', 'lapor', 'paman', 'korban', 'langsung', 'terjun', 'tim', 'tangkap', 'laku', 'cs', 'aman', 'mapolres', 'cianjur', 'kasatreskrim', 'polres', 'cianjur', 'akp', 'tono', 'listianto', 'hasil', 'periksa', 'cs', 'aksi', 'lantar', 'bakar', 'api', 'cemburu', 'cs', 'duga', 'sang', 'istri', 'selingkuh', 'negerimotifnya', 'cemburu', 'laku', 'tuduh', 'istri', 'pria', 'simpan', 'bukti', 'benar', 'diaatas', 'buat', 'cs', 'jerat', 'pasal', 'undangundang', 'nomor', 'hapus', 'keras', 'rumah', 'tangga', 'ancam', 'hukum', 'penjara', 'tiga', 'anak', 'jalan', 'obat', 'fisik', 'psikis', 'tiga', 'alami', 'luka', 'fisik', 'alami', 'trauma', 'tiga', 'balita', 'damping', 'khusus', 'tugas', 'asuh', 'paman', 'korban', 'tono']",keluarga,0
"['dalih', 'muda', 'bunuh', 'anak', 'tiri', 'bocah', 'gegara', 'suami', 'perhati', 'muda', 'nama', 'iftahurrahman', 'pontianak', 'kalimantan', 'barat', 'kalbar', 'tega', 'aniaya', 'anak', 'tiri', 'ahmad', 'nizam', 'alfahri', 'tewas', 'jalan', 'periksa', 'laku', 'iri', 'korban', 'perhati', 'ayah', 'suami', 'laku', 'korban', 'lapor', 'tewas', 'aniaya', 'rumah', 'lurah', 'parit', 'tokaya', 'camat', 'pontianak', 'selatan', 'selasa', 'mayat', 'korban', 'temu', 'karung', 'kamis', 'wibsetelah', 'bunuh', 'ungkap', 'polisi', 'aman', 'laku', 'tiri', 'korban', 'sidik', 'laku', 'ungkap', 'alas', 'telantar', 'aniaya', 'korban', 'motif', 'laku', 'aku', 'iri', 'korban', 'nizam', 'suami', 'laku', 'perhati', 'korban', 'laku', 'anak', 'hasil', 'nikah', 'ichan', 'ayah', 'korban', 'kabid', 'humas', 'polda', 'kalbar', 'kombes', 'raden', 'petit', 'wijaya', 'detikcom', 'rabu', 'petit', 'aku', 'dalam', 'tindak', 'keras', 'laku', 'korban', 'tutup', 'laku', 'aniaya', 'korban', 'tinggal', 'dunia', 'sangkut', 'aniaya', 'dalam', 'petit', 'ungkap', 'gelar', 'prarekonstruksi', 'jadi', 'sabtu', 'hasil', 'laku', 'bukti', 'dorong', 'korban', 'tangan', 'jatuh', 'lantai', 'prarekonstruksi', 'adegan', 'sangka', 'aku', 'jadi', 'tanggal', 'temu', 'korban', 'sangka', 'aniaya', 'dorong', 'tangan', 'korban', 'korban', 'jatuh', 'lantai', 'peristiwa', 'korban', 'alami', 'retak', 'tulang', 'tengkorak', 'kepala', 'petit', 'trauma', 'sebab', 'darah', 'bengkak', 'otak', 'korban', 'trauma', 'benda', 'tumpul', 'kepala', 'sebab', 'retak', 'tulang', 'tengkorak', 'belah', 'kiri', 'uangkapnya', 'jadi', 'tingkat', 'tekan', 'darah', 'rongga', 'otak', 'kepala', 'tekan', 'pusat', 'napas', 'batang', 'otak', 'sebab', 'gagal', 'napas']",keluarga,0
"['fakta', 'isa', 'bajaj', 'cabut', 'lapor', 'keras', 'putri', 'isa', 'bajaj', 'resmi', 'cabut', 'lapor', 'keras', 'timpa', 'putri', 'milik', 'nama', 'lengkap', 'isa', 'wahyu', 'prastantyo', 'cabut', 'lapor', 'duga', 'laku', 'serah', 'polres', 'magetanisa', 'bajaj', 'geram', 'sang', 'anak', 'alami', 'tindak', 'keras', 'alunalun', 'magetan', 'sang', 'anak', 'pulang', 'menang', 'kondisi', 'malu', 'darah', 'anak', 'aku', 'organ', 'intim', 'tendang', 'oknum', 'sebut', 'kakak', 'cowok', 'isa', 'bajaj', 'langsung', 'bawa', 'putri', 'igd', 'kamis', 'igd', 'sang', 'anak', 'langsung', 'bawa', 'pol', 'kandung', 'kece', 'luka', 'alami', 'anak', 'isa', 'bajaj', 'lapor', 'duga', 'keras', 'polres', 'magetan', 'kasat', 'reskrim', 'polres', 'magetan', 'akp', 'angga', 'perdana', 'brahmada', 'duga', 'laku', 'serah', 'polisi', 'senin', 'kembang', 'duga', 'orang', 'libat', 'polres', 'magetan', 'serah', 'angga', 'konfirmasi', 'detikjatim', 'selasa', 'pria', 'duga', 'sebab', 'anak', 'perempuan', 'isa', 'bajaj', 'alami', 'luka', 'malu', 'inisial', 'd', 'warga', 'magetan', 'orang', 'tua', 'anak', 'basket', 'latih', 'kompleks', 'alunalun', 'magetan', 'ortu', 'anak', 'komunitas', 'basket', 'magetan', 'lokasi', 'angga', 'angga', 'polisi', 'periksa', 'pria', 'senin', 'sore', 'selasa', 'kemarin', 'serah', 'periksa', 'papar', 'angga', 'isa', 'bajaj', 'satreskrim', 'polres', 'magetan', 'cabut', 'lapor', 'isa', 'bajaj', 'damai', 'd', 'orang', 'tua', 'anak', 'basket', 'jadi', 'latih', 'alunalun', 'magetan', 'isa', 'ortu', 'korban', 'cabut', 'lapor', 'keras', 'alami', 'anak', 'perempuan', 'minta', 'maaf', 'duga', 'laku', 'serah', 'kemarin', 'angga', 'angga', 'duga', 'laku', 'warga', 'magetan', 'aku', 'sengaja', 'tabrak', 'putri', 'isa', 'bajaj', 'malu', 'darah', 'isa', 'bajaj', 'maaf', 'd', 'itikad', 'dilakukannyapihak', 'lapor', 'maaf', 'duga', 'laku', 'unsur', 'ketidaksengajaan', 'murni', 'celaka', 'tabrak', 'jalan', 'trotoar', 'papar', 'angga', 'isa', 'bajaj', 'rencana', 'duga', 'laku', 'minta', 'maaf', 'hadap', 'publikpelapor', 'minta', 'maaf', 'publik', 'terang', 'duga', 'laku', 'serah', 'berita', 'langsung', 'alami', 'jadi', 'anggaisa', 'bajaj', 'buka', 'suara', 'cabut', 'lapor', 'keras', 'anak', 'perempuan', 'alami', 'luka', 'malu', 'pilih', 'damai', 'itikad', 'duga', 'laku', 'serah', 'polres', 'magetan', 'datang', 'd', 'libat', 'keras', 'anak', 'isa', 'wartawan', 'warung', 'selasa', 'timbang', 'isa', 'pilih', 'damai', 'cabut', 'lapor', 'satreskrim', 'polres', 'magetan', 'duga', 'laku', 'aku', 'salah', 'laku', 'iktikad', 'serah', 'edar', 'kabar', 'media', 'massa', 'beliau', 'polisi', 'cerita', 'detail', 'celaka', 'sengaja', 'mas', 'd', 'aku', 'salah', 'sengaja', 'istri', 'cabut', 'lapor', 'isaisa', 'duga', 'keras', 'alami', 'anak', 'perempuan', 'sepenuh', 'salah', 'd', 'isa', 'anggap', 'salah', 'anak', 'perempuan', 'hatihati', 'main', 'lalai', 'mas', 'd', 'lalai', 'anak', 'hatihati', 'main', 'tabrak', 'd', 'isa']",teman,3
"['anak', 'jakarta', 'korban', 'keras', 'pekan', 'langkah', 'heru', 'budi', 'pemprov', 'dki', 'jakarta', 'turun', 'tangan', 'menindaklanjuti', 'keras', 'anak', 'angka', 'jakarta', 'enam', 'anak', 'korban', 'keras', 'orang', 'dewasapenjabat', 'pj', 'gubernur', 'dki', 'jakarta', 'heru', 'budi', 'hartono', 'evaluasi', 'peristiwa', 'iya', 'iya', 'evaluasi', 'heru', 'wartawan', 'pasar', 'induk', 'kramat', 'jati', 'jakarta', 'timur', 'rabu', 'langkah', 'heru', 'damping', 'keluarga', 'korban', 'langkah', 'pemprov', 'dinas', 'sehat', 'ppapp', 'dinas', 'daya', 'lindung', 'anak', 'kendali', 'duduk', 'damping', 'heru', 'berita', 'angka', 'keras', 'anak', 'jakarta', 'enam', 'anak', 'korban', 'keras', 'orang', 'dewasaenam', 'anak', 'korban', 'peristiwa', 'keras', 'tinggal', 'dunia', 'miris', 'enam', 'korban', 'tewas', 'tangan', 'orang', 'tua', 'kandungenam', 'korban', 'enam', 'anak', 'korban', 'lampias', 'marah', 'orangorang', 'dewasa', 'baru', 'anak', 'tewas', 'akibat', 'banting', 'ayah', 'kandung', 'jaring', 'jakarta', 'utara', 'jakut', 'rabu', 'pria', 'jagakarsa', 'jakarta', 'selatan', 'jaksel', 'nama', 'panca', 'darmansyah', 'bunuh', 'anak', 'kandung', 'pria', 'nama', 'risqi', 'ariskalaki', 'aniaya', 'anak', 'usia', 'sebab', 'korban', 'patah', 'leher', 'koma', 'tinggal', 'dunia']",keluarga,0
"['bocah', 'jakut', 'luka', 'duga', 'kena', 'sabet', 'sekuriti', 'polisi', 'selidik', 'anak', 'lakilaki', 'duga', 'korban', 'keras', 'pademangan', 'jakarta', 'utara', 'jakut', 'korban', 'luka', 'jempol', 'tangan', 'kiri', 'duga', 'kena', 'senjata', 'tajam', 'sajam', 'peristiwa', 'pom', 'bensin', 'pakai', 'selasa', 'kemarin', 'korban', 'duga', 'luka', 'akibat', 'keras', 'tugas', 'aman', 'jaga', 'lokasi', 'edar', 'kabar', 'peristiwa', 'korban', 'temantemannya', 'main', 'area', 'pom', 'bensin', 'duga', 'laku', 'tegur', 'korban', 'teman', 'duga', 'laku', 'duga', 'bawa', 'sajam', 'tegur', 'anakanak', 'main', 'area', 'insiden', 'sebab', 'tangan', 'korban', 'luka', 'kronologi', 'peristiwa', 'korban', 'jahit', 'luka', 'tangan', 'kiri', 'polisi', 'selidik', 'peristiwa', 'anggota', 'polsek', 'pademangan', 'jadi', 'perkara', 'tkp', 'gali', 'terang', 'kumpul', 'faktafakta', 'selidik', 'kapolsek', 'pademangan', 'kompol', 'binsar', 'hatorangan', 'sianturi', 'konfirmasi', 'rabu', 'anggota', 'polsek', 'pademangan', 'upaya', 'kumpul', 'terang', 'saksisaksi', 'korban', 'polisi', 'cari', 'duga', 'pelakukami', 'cek', 'tkp']",orang asing,4
