Berita,Label,Category_id
perkosa anak kandung pria di dompu ditangkap seorang pria berinisial am di kabupaten dompu nusa tenggara barat ntb ditangkap karena diduga memperkosa anak kandungnya dia ditangkap polisi setelah mendapat laporan warga kasi humas polres dompu ipda zuharis mengatakan am ditangkap di rumahnya penangkapan terhadap am dilakukan polisi tadi malam iya benar ditangkap tadi malam rabu  kata zuharis kepada detikbali kamis  hanya saja zuharis mengatakan dia belum mengetahui secara rinci kronologi aksi bejat pria itu dia menyebut saat ini petugas masih menyusun laporan kasus itu kami tunggu dulu laporan lengkapnya ya nanti kami sampaikan tuturnya salah seorang warga di sekitar rumah korban ahmad mengatakan penangkapan terhadap am membuat warga heboh warga juga sempat geram terhadap am yang tega berbuat asusila kepada anak kandungnya sudah heboh tadi malam banyak warga yang berkerumun tapi cepat diamankan polisi pelaku itu ujarnya am diketahui memiliki tiga orang anak semuanya perempuan adapun aksi bejat am itu disebut dilakukan di rumahnyaada tiga anaknya istrinya juga ada kami juga tidak habis pikir dengan kejadian ini ucapnya,keluarga,0
pria cabuli  anak lelaki di rumdis wabup langkat rupanya adik anggota dprd pria berinisial zs  yang dilaporkan melakukan pelecehan seksual atau pencabulan terhadap dua anak lelaki di rumah dinas rumdis wakil bupati langkat rupanya adik anggota dprd di langkat kini polisi masih memproses laporan dari korbaniya benar itu adik zs saya kata f seorang anggota dprd langkat ke detiksumut jumat  ia pun menegaskan sejauh ini pihaknya tidak pernah melindungi zs dari proses hukum yang ada bahkan dirinya menyebutkan tidak mendukung perbuatan zs kami tidak pernah melindungi dia kami tidak mendukung perbuatannya biarkan proses hukum lah yang berjalan sebutnya dia mengaku belum menyerahkan zs ke pihak berwajib sebab ia tidak mengetahui keberadaan zs saat ini bahkan pihaknya masih melacak keberadaan adiknya itu kita tidak tahu juga ini keberadaannya sedang kita lacak juga sebutnya sebelumnya diberitakan kasat reskrim polres langkat akp dedi mirza mengatakan kedua korban berusia sekitar  tahun ada pun laporan terkait kejadian yang dialami korban telah dibuat ke polres langkat untuk kejadian itu ya benar kami baru menerima laporannya itu sekitar desember awal tahun  kata dedi kepada detiksumut kamis  setelah korban membuat laporan dedi mengatakan pihaknya langsung melakukan penyelidikan selanjutnya polisi mengecek tempat kejadian perkara tkp hingga pemeriksaan korban dan sejumlah saksi ada sekitar  saksi diperiksa intinya dua korban ini mengalami pelecehan dan kekerasan seksual jadi rumah dinas wakil bupati langkat kosong sewaktu mereka mau ke situ ucapnya dalam waktu dekat menurut dia akan ada penetapan tersangka namun diakuinya pelaku masih belum ditangkap ini sudah mau tahap penetapan tersangka pastinya pelaku akan diburu sebutnya di samping itu ia menyampaikan korban dalam keadaan traumatik sampai saat ini masih didampingi oleh pihaknya dan instansi terkait lainnya misalnya dengan melakukan trauma healing selain itu kami tentu terbuka jika ada korban lainnya yang ingin membuat laporan pastinya akan diproses dengan baik sejauh ini masih dua korban tutupnya,orang asing,4
muncul klarifikasi diduga penyalur pengasuh anak aghnia punjabi siap dampingi kasus kasus penganiayaan oleh baby sitter menimpa jana amira priyanka atau akrab disapa cana yang merupakan anak perempuan dari selebgram asal malang emy aghnia penyiksaan ini disebut aghnia dilakukan sampai lebih dari satu jam dalam unggahannya aghnia mengaku mengambil pengasuh itu dari penyalur terkenal di surabaya aghnia sendiri tidak menyebut secara gamblang nama penyalur tersebutkini muncul unggahan terkait klarifikasi dari pihak yang diduga merupakan penyalur baby sitter tersebut dalam kasus yang menimpa ibu emyaghnia dan putri cana val the consultant meminta maaf dan sangat menyesalkn kejadian tersebut tulis akun instagram valthe consultant dikutip sabtu  pihak penyalur tersebut melanjutkan bahwa mereka sangat tidak memberikan toleransi terhadap segala bentuk kekerasan dalam pengasuhan anak kejadian ini tentu mencoreng salah satu nilai yang dimiliki perusahaan yang telah ditanamkan dalam pelayanan mereka selama ini tentu saja kejadian ini merugikan citra ribuan pekerja yang lain oleh karena itu sebagai perusahaan yang bergerak di bidang penyediaan penitipan anak juga mendukung penyelesaian kasus yang terjadi dan siap membantu proses hukum sebagaimana mestinya perusahaan penyalur tersebut menulis bahwa seorang pengasuh anak sejatinya tentu merupakan pihak yang seharusnya menjadi kepercayaan dan diandalkan apalagi ketika orang tua anak sedang tidak berada di rumah untuk para pekerja kami yang sedang menjalankan tugasnya lakukanlah dengan hati dan senantiasa berpegang teguh pada prinsip bahwa bekerja itu sama halnya dengan ibadah stop child abuse hormat kami manajemen pt val konsultan indonesia demikian pernyataan klarifikasi tersebut namun unggahan feed instagram tersebut terpantau menutup kolom komentar perusahaan tersebut juga mengunggah pernyataan singkat itu di instagram stories  sebelumnya emy aghnia menghebohkan media sosial akibat kasus penyiksaan terhadap putrinya hingga babak belur penganiayaan itu dilakukan pada waktu subuh dengan pintu kamar yang terkunci rapat sang anak disebut sempat hendak melarikan diri namun dikejar dalam penganiayaan itu juga tampak anak aghnia ditindih badannya dan disiram dengan cairan yang diketahui merupakan minyak kutuskutus aghnia juga menyebut kepolisian sampai tidak tega melihat hasil rekaman cctv karena penganiayaan itu dilakukan tanpa henti cana mengalami sejumlah luka lebam di beberapa bagian tubuhnya termasuk mata bengkak yang tidak bisa terbuka secara normal ,pengasuh,1
heboh video gadis ditelanjangidipukul dua pelaku ditangkap video seorang abg berusia  tahun ditelanjangi dan dianiaya oleh dua wanita dewasa heboh di media sosial polisi sudah mengamankan kedua pelaku penganiayaan kejadian penganiayaan tersebut terjadi di palu sulawesi tengah sulteng beberapa waktu lalu video itu diunggah di media sosial x oleh akun langitan atau di akun ig hillarybrigittadalam video beredar tampak seorang wanita diblur dalam kondisi telanjang terlihat  orang wanita berada di depan korban mengaku cepat kata wanita yang memukul korban di videotampak korban mengangkat kedua tangannya meminta agar tidak dipukul seorang wanita bergaun cokelat terlihat menendang korbankorban yang dalam keadaan tak berdaya kemudian diseret  wanita masuk ke dalam sebuah kamar di situ korban kembali dipukul dan ditendang kasubbid penmas bidhumas polda sulteng kompol sugeng lestari mengatakan penganiayaan itu terjadi di sebuah rumah di kelurahan tatura selatan kecamatan palu selatan pada maret  dia menyebut personel polresta palu telah mendatangi lokasi tempat kejadian perkara tkpsudah direspons oleh polresta palu dengan mendatangi tkp pada rabu  mei  kemarin terangnya dua pelaku wanita berinisial ig  dan vs  yang menelanjangi dan memukul gadis abg tersebut sudah ditangkap kedua sudah ditahan sudah ditahan pelaku ada  orang ujar kasubsi pidm humas polresta palu aiptu kadek aruna kepada detikcom kamis  kadek mengatakan penyidik ppa satreskrim polresta palu telah memeriksa  orang saksi di kasus penganiayaan tersebut ia membeberkan penganiayaan itu terjadi di rumah spa di kota palulokasi kejadian spa bater play kota palu terangnya,orang asing,4
satria mahathir cogil jadi tersangka pengeroyokan anak anggota dprd kepri seleb tiktok satria mahathir cogil ditetapkan tersangka oleh satreskrim polresta barelang atas kasus dugaan pengeroyokan terhadap anak anggota dprd kepri bersama tiga rekannya pantauan detiksumut pada jumat  satria tampak mengenakan baju tahanan berwarna oranye satria digiring petugas kepolisian bersama rekannya untuk konferensi pers yang digelar oleh satreskrim polresta barelang satria tampak terus menunduk saat dihadirkan di tempat konferensi pers usai konferensi pers ketika ditanya awak media satria mengatakan jangan merasa takut jangan merasa takut ujarnya sambil digiring ke ruang tahanan polresta barelang jumat sebelumnya kasat reskrim polresta barelang kompol dwi ramadhanto dikonfirmasi membenarkan penangkapan tersebut ia menyebut seleb tiktok itu diamankan bersama  rekannya kami telah mengamankan  orang inisial sm as dj dan rs atas kasus pengeroyokan kata kompol ramadhanto kamis ramadhanto menyebut kasus pengeroyokan itu diketahui bermula dari korban berinisial ra  pada tanggal  desember  tengah nongkrong di sebuah kafe di kawasan tiban sekupang batam korban diketahui bersenggolan dengan seleb tiktok tersebut korban dan pelaku bersenggolan hingga terjadi perkelahian di dalam kafe hingga keluar kafe ujarnya ramadanto menyebut pelaku berinisial sm selebgram tiktok itu merupakan warga jakarta ia datang ke batam untuk menghadiri kegiatan tahun baru yang digelar di kafe kawasan tiban batam infonya pelaku adalah selebgram tiktok tapi masih didalami pelaku ini dari jakarta hadir ke sini menghadiri kegiatan tahun baru nanti lengkapnya kita sampaikan besok ujarnya,teman,3
yasin diringkus usai dilaporkan istri perkosa anak tiri di bawah umur petani di musi rawas utara mura bernama m yasin alias my  ditangkap polisi karena tega memperkosa anak tirinya berinisial b  pelaku ditangkap setelah dilaporkan istrinya ym  kapolres mura akbp andi supriadi membenarkan pihaknya mengamankan my saat ini kata dia pelaku diamankan di unit ppa satreskrim polres mura guna diperiksa lebih lanjut iya benar untuk pelaku di kasus tersebut sudah diamankan katanya dikonfirmasi detiksumbagsel senin  kata dia penangkapan terhadap my berdasarkan laporan dari istrinya yakni ibu korban pada rabu  lalu dari laporan itu disebut pemerkosaan yang dilakukan my terjadi di dalam kamar rumah korban desa tegal rejo kecamatan tugumulyo barubaru ini dari laporan itu anggota melakukan penyelidikan dan mengumpulkan alat bukti kemudian menangkap pelaku tanpa perlawanan katanya sebelum diamankan dan dilaporkan ke kantor polisi my yang diduga hendak melarikan diri lebih dulu diamankan keluarganya dan kades setempat kemudian my diserahkan ke polisi untuk mempertanggungjawabkan perbuatannya sementara pelaku tersebut mengakui telah melakukan tindak pidana persetubuhan anak di bawah umur terhadap korban terhadap yang bersangkutan masih dilakukan pemeriksaan lebih lanjut jelasnya my pun terancam pasal  uu ri nomor  tahun  tentang penetapan peraturan pemerintah penganti uu ri nomor  tahun  tentang perubahan kedua uu ri nomor  tahun  tentang perlindungan anak,keluarga,0
viral ayah di probolinggo pukul hingga banting anak perempuannya sebuah video penganiayaan viral di media sosial video penganiayaan tersebut diduga dilakukan seorang ayah kepada anak perempuannya di pinggir jalan rayadalam video berdurasi  detik itu tampak seorang lelaki tampak menarik anak perempuan itu ke atas motor tak lama pria tersebut tampak memukul berkalikali anak perempuannya selain seorang pria di lokasi tampak seorang perempuan yang diduga istri atau ibu korban saat itu ibu korban berada di belakang sambil menggendong anaknya yang lain sedangkan dalam keterangan video lokasi kejadian berada di depan pos sabhara polres probolinggo kota jalan panglima sudirman kelurahan jati kecamatan mayangan supriyadi warga setempat mengatakan penganiayaan itu terjadi kamis  malam bahkan suara jeritan dan tangisan anak perempuan tersebut terdengar dari kejauhan ada pasangan suamiistri sedang bawa  anak  anaknya berumur sekitar  sampai  tahunan dan satu lagi masih kecil memang sebelum berhenti di depan pos sabhara polres probolinggo kota kondisi si anak ini sudah menangis kata supriyadi jumat  meski demikian supriyadi tak mengetahui persis penyebab penganiayaan itu sebab saat didekati pria dan perempuan yang diduga orang tua korban langsung melanjutkan perjalanan menurut supriyadi aksi penganiayaan itu sempat direkam oleh keponakannya dan beredar viral sebab penganiayaan tersebut dinilai keterlaluan ia berharap polisi segera mengusutnya keponakan saya yang merekam dan laporan ke saya kalau ada anak dipukul ayahnya bahkan sampai dibanting semoga pelakunya cepat ketemu dan diproses oleh pihak berwajib kasihan anaknya tandas supriyadi,keluarga,0
video kekerasan murid smp di cilacap polisi perkelahian sesama anggota basis potongan video berdurasi  detik yang memperlihatkan perkelahian siswa smp di cilacap kembali beredar di media sosial polisi menyebut pelaku perkelahian itu samasama anggota basis barisan siswa kelompok yang sebelumnya terlibat dalam video kasus perundungan di cilacap pelakunya sama yang bertopi inisial m  sama w  plus yang ada di video itu berinisial k  yang kecil ini dari basis juga cuman di video yang ada k itu dia tidak terekam tapi dari pemeriksaan dia itu ikut mukulin kata kasat reskrim polresta cilacap kompol guntar arif setyoko melalui pesan singkat jumat  guntar mengatakan kasus tersebut masih dilakukan pendalaman oleh pihak kepolisian sebab terdapat perbedaan waktu dan motif yang mendasari perkelahian itu perkelahian ini sementara lagi kita dalami lagi karena beda waktu karena belum tentu anakanak yang ada di video itu sama juga sama kejadian yang hari senin tapi yang jelas itu samasama anggota basis ujarnyaguntar menyebut kejadian ini berawal dikarenakan korban berinisial r yang terlihat dalam video itu menantang siswa kelas  siswa kelas  itu kemudian mengadu ke kakak kelasnya kronologinya itu ada siswa kelas  ngadu ke kakak kelas kalau dia ditantangin sama korban berinisial r akhirnya karena diaduin itulah akhirnya dipukulin sama temannya sendiri jelas guntar diberitakan sebelumnya setelah kasus perundungan dan penganiayaan yang melibatkan siswa smp di kabupaten cilacap menjadi sorotan kembali beredar video aksi kekerasan pelajar di lokasi yang sama dalam video kedua ini polisi menyebut kasusnya bukan bullying atau perundunganberkelahi kalau video yang belum kepotong ada adegan korban mbales membalas kata guntar arif setyoko saat dimintai konfirmasi oleh detikjateng via whatsapp jumat  pagi sebelumnya guntar membenarkan bahwa lokasi dalam video kekerasan yang beredar kali ini sama dengan lokasi dalam video kekerasan pelajar sebelumnya iya lokasinya sama kecamatan cimanggu kejadiannya senin  terangnya jumat  pagi,teman,3
guruortu bikin petisi minta kepala sma di aru diduga cabuli  siswa dicopot kasus kepala sma di kepulauan aru maluku diduga mencabuli  siswanya terus menjadi sorotan guru hingga orang tua siswa kini menandatangani petisi meminta pj gubernur maluku sadali ie mencopot oknum kepala sekolah berinisial wd dari jabatan dan dipindahkan jadi total  guru dan orang tua korban termasuk korban telah menandatangani petisi meminta pak pj gubernur maluku menggantikan kepala sma inisial wd yang diduga cabuli siswa kata wakil kepala sma bidang sarana prasarana martha mantayborbir kepada detikcom dia menyebut alasan para guru tanda tangani petisi yang sudah berlangsung seminggu ini sebagai upaya penyelamatan dunia pendidikan di kabupaten kepulauan aru alasan lainnya kata dia karena telah mencoreng nama baik tenaga pendidik para guru sangat terpukul dengan kejadian itu dugaan wd cabuli siswa makanya memberanikan kami menandatangani petisi guna menyelamatkan dunia pendidikan sekaligus rasa keadilan bagi para korban dugaan perbuatan wd ini juga ikut mencoreng nama baik kami selaku tenaga pendidik ungkapnya dia menuturkan atas pertimbangan tersebut mereka meminta wd harus segera diganti dan dipindahkan dari sma sebagai bagian dari sanksi sebab kata martha kalau hanya dinonaktifkan justru mengganggu psikologi para korban wd harus disanksi dengan diganti sebagai kepala sma dan dipindahkan kalau dia tetap bertugas di sekolah justru mengganggu psikologi para siswa dan para guru nanti kita beraktivitas sudah tidak nyaman lagi harapnyalebih lanjut dia membeberkan satu dari tiga korban adalah anak guru bahkan guru itu juga diduga pernah dilecehkan oleh wd tidak ada pilihan lain lagi wd harus diganti karena selain diduga cabuli siswa bersangkutan juga melecehkan guru yang kini anaknya menjadi korban jelasnya untuk itu kita meminta kapolda maluku dan kapolres kepulauan aru guna memproses hukum wd sebagaimana laporan tiga siswa kami harapnya diketahui total guru di sma ada  guru termasuk asn dan honorer sementara yang menandatangani petisi sebanyak  guru lebih dari seperdua jumlah guru sebelumnya diberitakan tiga siswa masingmasing berinisial mcj mcw dan od melapor wd di spkt polres kepulauan aru terkait dugaan pencabulan wd melancarkan aksi bejat di ruangan pada juli dan september  kepsek sma dilaporkan karena diduga mencabuli tiga siswanya ujar kasubsi penmas humas polres kepulauan aru bripka yubilino sahertian kepada detikcom jumat ,tenaga pendidik,2
polisi periksa  terduga pelaku perundungan anak di balikpapan polisi menyelidiki kejadian viral perundungan atau bullying sekelompok anak dengan kekerasan fisik terhadap seorang anak di kawasan balikpapan kalimantan timur empat orang terduga pelaku perundungan itu telah diperiksa polisi empat orang diduga terlibat perannya masih didalami kata kadiv humas polda kalimantan timur kombes yusuf sutejo kepada wartawan minggu  yusuf mengatakan selain empat pelaku anak berhadapan dengan hukum abh itu sejumlah pihak juga telah dimintai keterangan menurutnya tindakan itu dilakukan untuk mencari kebenaran di balik kejadian perundungan tersebut saat ini para pihak dan stakeholder terkait sudah kita kumpulkan di polresta balikpapan untuk diambil keterangannya ucapnyaadapun pihakpihak yang diperiksa selain empat terduga pelaku itu di antaranya kadisdik kota balikpapan kepala sekolah dan perwakilan guru tempat korbanpelaku bersekolah dinas pemberdayaan perempuan perlindungan anak dan keluarga berencana dpakb kota balikpapan serta orang tua korban dan pelaku yusuf menyebut kedua belah pihak telah sepakat damai atas kejadian tersebut namun kasus ini tetap ditangani lebih lanjut oleh polresta balikpapan saat ini permasalahan ini diserahkan ke polresta balikpapan untuk mendapat penanganan lebih lanjut serta akan dipantau terus perkembangannya oleh dinas pendidikan dan dpakb kota balikpapan ujarnya sebelumnya sebuah video yang memperlihatkan aksi perundungan atau bullying sekelompok anak dengan kekerasan fisik viral di media sosial aksi tersebut dinarasikan terjadi di kawasan balikpapan kalimantan timur dalam video viral yang dilihat detikcom minggu  terlihat seorang korban yang mengenakan baju merah dipukul bahkan dibanting secara bergantian oleh sejumlah orang yang mengenakan seragam pramuka korban yang awalnya duduk pada sebuah kursi hingga terjatuh ke lantai tindakan kekerasan itu juga dilakukan berkalikali korban pun terlihat menangis dan merintih karena mengalami kejadian tersebutkadiv humas polda kalimantan timur kombes pol yusuf sutejo membenarkan adanya kejadian perundungan tersebut yusuf mengatakan kejadian itu terjadi pada sabtu  pada sebuah masjid di kawasan balikpapan utara lokasi kejadian tpa masjid darussalam balikpapan utara ujar yusuf ketika dikonfirmasi minggu ,teman,3
