Berita,Label,Category_id
Perkosa Anak Kandung Pria di Dompu Ditangkap Seorang pria berinisial AM di Kabupaten Dompu Nusa Tenggara Barat NTB ditangkap karena diduga memperkosa anak kandungnya Dia ditangkap polisi setelah mendapat laporan warga Kasi Humas Polres Dompu Ipda Zuharis mengatakan AM ditangkap di rumahnya Penangkapan terhadap AM dilakukan polisi tadi malam Iya benar ditangkap tadi malam Rabu  kata Zuharis kepada detikBali Kamis  Hanya saja Zuharis mengatakan dia belum mengetahui secara rinci kronologi aksi bejat pria itu Dia menyebut saat ini petugas masih menyusun laporan kasus itu Kami tunggu dulu laporan lengkapnya ya Nanti kami sampaikan tuturnya Salah seorang warga di sekitar rumah korban Ahmad mengatakan penangkapan terhadap AM membuat warga heboh Warga juga sempat geram terhadap AM yang tega berbuat asusila kepada anak kandungnya Sudah heboh tadi malam banyak warga yang berkerumun Tapi cepat diamankan polisi pelaku itu ujarnya AM diketahui memiliki tiga orang anak Semuanya perempuan Adapun aksi bejat AM itu disebut dilakukan di rumahnyaAda tiga anaknya Istrinya juga ada Kami juga tidak habis pikir dengan kejadian ini ucapnya,keluarga,0
Pria Cabuli  Anak Lelaki di Rumdis Wabup Langkat Rupanya Adik Anggota DPRD Pria berinisial ZS  yang dilaporkan melakukan pelecehan seksual atau pencabulan terhadap dua anak lelaki di Rumah Dinas Rumdis Wakil Bupati Langkat rupanya adik anggota DPRD di Langkat Kini polisi masih memproses laporan dari korbanIya benar itu adik ZS saya kata F seorang anggota DPRD Langkat ke detikSumut Jumat  Ia pun menegaskan sejauh ini pihaknya tidak pernah melindungi ZS dari proses hukum yang ada Bahkan dirinya menyebutkan tidak mendukung perbuatan ZS Kami tidak pernah melindungi dia Kami tidak mendukung perbuatannya Biarkan proses hukum lah yang berjalan sebutnya Dia mengaku belum menyerahkan ZS ke pihak berwajib Sebab ia tidak mengetahui keberadaan ZS saat ini Bahkan pihaknya masih melacak keberadaan adiknya itu Kita tidak tahu juga ini keberadaannya Sedang kita lacak juga sebutnya Sebelumnya diberitakan Kasat Reskrim Polres Langkat AKP Dedi Mirza mengatakan kedua korban berusia sekitar  tahun Ada pun laporan terkait kejadian yang dialami korban telah dibuat ke Polres Langkat Untuk kejadian itu ya benar Kami baru menerima laporannya itu sekitar Desember awal tahun  kata Dedi kepada detikSumut Kamis  Setelah korban membuat laporan Dedi mengatakan pihaknya langsung melakukan penyelidikan Selanjutnya polisi mengecek tempat kejadian perkara TKP hingga pemeriksaan korban dan sejumlah saksi Ada sekitar  saksi diperiksa Intinya dua korban ini mengalami pelecehan dan kekerasan seksual Jadi rumah dinas Wakil Bupati Langkat kosong sewaktu mereka mau ke situ ucapnya Dalam waktu dekat menurut dia akan ada penetapan tersangka Namun diakuinya pelaku masih belum ditangkap Ini sudah mau tahap penetapan tersangka Pastinya pelaku akan diburu sebutnya Di samping itu ia menyampaikan korban dalam keadaan traumatik sampai saat ini masih didampingi oleh pihaknya dan instansi terkait lainnya Misalnya dengan melakukan trauma healing Selain itu kami tentu terbuka jika ada korban lainnya yang ingin membuat laporan Pastinya akan diproses dengan baik Sejauh ini masih dua korban tutupnya,orang asing,4
Muncul Klarifikasi Diduga Penyalur Pengasuh Anak Aghnia Punjabi Siap Dampingi Kasus Kasus penganiayaan oleh baby sitter menimpa Jana Amira Priyanka atau akrab disapa Cana yang merupakan anak perempuan dari selebgram asal Malang Emy Aghnia Penyiksaan ini disebut Aghnia dilakukan sampai lebih dari satu jam Dalam unggahannya Aghnia mengaku mengambil pengasuh itu dari penyalur terkenal di Surabaya Aghnia sendiri tidak menyebut secara gamblang nama penyalur tersebutKini muncul unggahan terkait klarifikasi dari pihak yang diduga merupakan penyalur baby sitter tersebut Dalam kasus yang menimpa Ibu emyaghnia dan putri Cana Val The Consultant meminta maaf dan sangat menyesalkn kejadian tersebut tulis akun Instagram valthe consultant dikutip Sabtu  Pihak penyalur tersebut melanjutkan bahwa mereka sangat tidak memberikan toleransi terhadap segala bentuk kekerasan dalam pengasuhan anak Kejadian ini tentu mencoreng salah satu nilai yang dimiliki perusahaan yang telah ditanamkan dalam pelayanan mereka selama ini Tentu saja kejadian ini merugikan citra ribuan pekerja yang lain Oleh karena itu sebagai perusahaan yang bergerak di bidang penyediaan penitipan anak juga mendukung penyelesaian kasus yang terjadi dan siap membantu proses hukum sebagaimana mestinya Perusahaan penyalur tersebut menulis bahwa seorang pengasuh anak sejatinya tentu merupakan pihak yang seharusnya menjadi kepercayaan dan diandalkan Apalagi ketika orang tua anak sedang tidak berada di rumah Untuk para pekerja kami yang sedang menjalankan tugasnya lakukanlah dengan hati dan senantiasa berpegang teguh pada prinsip bahwa bekerja itu sama halnya dengan ibadah Stop Child Abuse Hormat Kami MANAJEMEN PT VAL KONSULTAN INDONESIA demikian pernyataan klarifikasi tersebut Namun unggahan feed Instagram tersebut terpantau menutup kolom komentar Perusahaan tersebut juga mengunggah pernyataan singkat itu di Instagram Stories  Sebelumnya Emy Aghnia menghebohkan media sosial akibat kasus penyiksaan terhadap putrinya hingga babak belur Penganiayaan itu dilakukan pada waktu subuh dengan pintu kamar yang terkunci rapat Sang anak disebut sempat hendak melarikan diri namun dikejar Dalam penganiayaan itu juga tampak anak Aghnia ditindih badannya dan disiram dengan cairan yang diketahui merupakan minyak kutuskutus Aghnia juga menyebut kepolisian sampai tidak tega melihat hasil rekaman CCTV karena penganiayaan itu dilakukan tanpa henti Cana mengalami sejumlah luka lebam di beberapa bagian tubuhnya termasuk mata bengkak yang tidak bisa terbuka secara normal ,pengasuh,1
Heboh Video Gadis DitelanjangiDipukul Dua Pelaku Ditangkap Video seorang ABG berusia  tahun ditelanjangi dan dianiaya oleh dua wanita dewasa heboh di media sosial Polisi sudah mengamankan kedua pelaku penganiayaan Kejadian penganiayaan tersebut terjadi di Palu Sulawesi Tengah Sulteng beberapa waktu lalu Video itu diunggah di media sosial X oleh akun langitan atau di akun IG hillarybrigittaDalam video beredar tampak seorang wanita diblur dalam kondisi telanjang Terlihat  orang wanita berada di depan korban Mengaku cepat kata wanita yang memukul korban di videoTampak korban mengangkat kedua tangannya meminta agar tidak dipukul Seorang wanita bergaun cokelat terlihat menendang korbanKorban yang dalam keadaan tak berdaya kemudian diseret  wanita masuk ke dalam sebuah kamar Di situ korban kembali dipukul dan ditendang Kasubbid Penmas Bidhumas Polda Sulteng Kompol Sugeng Lestari mengatakan penganiayaan itu terjadi di sebuah rumah di Kelurahan Tatura Selatan Kecamatan Palu Selatan pada Maret  Dia menyebut personel Polresta Palu telah mendatangi lokasi tempat kejadian perkara TKPSudah direspons oleh Polresta Palu dengan mendatangi TKP pada Rabu  Mei  kemarin terangnya Dua pelaku wanita berinisial IG  dan VS  yang menelanjangi dan memukul gadis ABG tersebut sudah ditangkap Kedua sudah ditahan Sudah ditahan pelaku ada  orang ujar Kasubsi PIDM Humas Polresta Palu Aiptu Kadek Aruna kepada detikcom Kamis  Kadek mengatakan penyidik PPA Satreskrim Polresta Palu telah memeriksa  orang saksi di kasus penganiayaan tersebut Ia membeberkan penganiayaan itu terjadi di rumah spa di Kota PaluLokasi kejadian Spa Bater Play Kota Palu terangnya,orang asing,4
Satria Mahathir Cogil Jadi Tersangka Pengeroyokan Anak Anggota DPRD Kepri Seleb TikTok Satria Mahathir Cogil ditetapkan tersangka oleh Satreskrim Polresta Barelang atas kasus dugaan pengeroyokan terhadap anak anggota DPRD Kepri bersama tiga rekannya Pantauan detikSumut pada Jumat  Satria tampak mengenakan baju tahanan berwarna oranye Satria digiring petugas kepolisian bersama rekannya untuk konferensi pers yang digelar oleh Satreskrim Polresta Barelang Satria tampak terus menunduk saat dihadirkan di tempat konferensi pers Usai konferensi pers ketika ditanya awak media Satria mengatakan jangan merasa takut Jangan merasa takut ujarnya sambil digiring ke ruang tahanan Polresta Barelang Jumat Sebelumnya Kasat Reskrim Polresta Barelang Kompol Dwi Ramadhanto dikonfirmasi membenarkan penangkapan tersebut Ia menyebut seleb Tiktok itu diamankan bersama  rekannya Kami telah mengamankan  orang Inisial SM AS DJ dan RS atas kasus pengeroyokan kata Kompol Ramadhanto Kamis Ramadhanto menyebut kasus pengeroyokan itu diketahui bermula dari korban berinisial RA  pada tanggal  Desember  tengah nongkrong di sebuah kafe di kawasan Tiban Sekupang Batam Korban diketahui bersenggolan dengan seleb Tiktok tersebut Korban dan pelaku bersenggolan hingga terjadi perkelahian di dalam kafe hingga keluar kafe ujarnya Ramadanto menyebut pelaku berinisial SM selebgram TikTok itu merupakan warga Jakarta Ia datang ke Batam untuk menghadiri kegiatan tahun baru yang digelar di kafe Kawasan Tiban Batam Infonya pelaku adalah selebgram TikTok tapi masih didalami Pelaku ini dari Jakarta Hadir ke sini menghadiri kegiatan tahun baru Nanti lengkapnya kita sampaikan besok ujarnya,teman,3
Yasin Diringkus Usai Dilaporkan Istri Perkosa Anak Tiri di Bawah Umur Petani di Musi Rawas Utara Mura bernama M Yasin alias MY  ditangkap polisi karena tega memperkosa anak tirinya berinisial B  Pelaku ditangkap setelah dilaporkan istrinya YM  Kapolres Mura AKBP Andi Supriadi membenarkan pihaknya mengamankan MY Saat ini kata dia pelaku diamankan di Unit PPA Satreskrim Polres Mura guna diperiksa lebih lanjut Iya benar untuk pelaku di kasus tersebut sudah diamankan katanya dikonfirmasi detikSumbagsel Senin  Kata dia penangkapan terhadap MY berdasarkan laporan dari istrinya yakni ibu korban pada Rabu  lalu Dari laporan itu disebut pemerkosaan yang dilakukan MY terjadi di dalam kamar rumah korban Desa Tegal Rejo Kecamatan Tugumulyo barubaru ini Dari laporan itu anggota melakukan penyelidikan dan mengumpulkan alat bukti kemudian menangkap pelaku tanpa perlawanan katanya Sebelum diamankan dan dilaporkan ke kantor polisi MY yang diduga hendak melarikan diri lebih dulu diamankan keluarganya dan kades setempat Kemudian MY diserahkan ke polisi untuk mempertanggungjawabkan perbuatannya Sementara pelaku tersebut mengakui telah melakukan tindak pidana persetubuhan anak di bawah umur terhadap korban Terhadap yang bersangkutan masih dilakukan pemeriksaan lebih lanjut jelasnya MY pun terancam Pasal  UU RI Nomor  tahun  Tentang Penetapan Peraturan Pemerintah penganti UU RI Nomor  Tahun  Tentang Perubahan kedua UU RI Nomor  Tahun  Tentang Perlindungan Anak,keluarga,0
Viral Ayah di Probolinggo Pukul hingga Banting Anak Perempuannya Sebuah video penganiayaan viral di media sosial Video penganiayaan tersebut diduga dilakukan seorang ayah kepada anak perempuannya di pinggir jalan rayaDalam video berdurasi  detik itu tampak seorang lelaki tampak menarik anak perempuan itu ke atas motor Tak lama pria tersebut tampak memukul berkalikali anak perempuannya Selain seorang pria di lokasi tampak seorang perempuan yang diduga istri atau ibu korban Saat itu ibu korban berada di belakang sambil menggendong anaknya yang lain Sedangkan dalam keterangan video lokasi kejadian berada di depan Pos Sabhara Polres Probolinggo Kota Jalan Panglima Sudirman Kelurahan Jati Kecamatan Mayangan Supriyadi warga setempat mengatakan penganiayaan itu terjadi Kamis  malam bahkan suara jeritan dan tangisan anak perempuan tersebut terdengar dari kejauhan Ada pasangan suamiistri sedang bawa  anak  anaknya berumur sekitar  sampai  tahunan dan satu lagi masih kecil Memang sebelum berhenti di depan pos Sabhara Polres Probolinggo Kota kondisi si anak ini sudah menangis kata Supriyadi Jumat  Meski demikian Supriyadi tak mengetahui persis penyebab penganiayaan itu Sebab saat didekati pria dan perempuan yang diduga orang tua korban langsung melanjutkan perjalanan Menurut Supriyadi aksi penganiayaan itu sempat direkam oleh keponakannya dan beredar viral Sebab penganiayaan tersebut dinilai keterlaluan Ia berharap polisi segera mengusutnya Keponakan saya yang merekam dan laporan ke saya kalau ada anak dipukul ayahnya bahkan sampai dibanting Semoga pelakunya cepat ketemu dan diproses oleh pihak berwajib kasihan anaknya tandas Supriyadi,keluarga,0
Video Kekerasan Murid SMP di Cilacap Polisi Perkelahian Sesama Anggota Basis Potongan video berdurasi  detik yang memperlihatkan perkelahian siswa SMP di Cilacap kembali beredar di media sosial Polisi menyebut pelaku perkelahian itu samasama anggota Basis Barisan Siswa kelompok yang sebelumnya terlibat dalam video kasus perundungan di Cilacap Pelakunya sama yang bertopi inisial M  sama W  plus yang ada di video itu berinisial K  yang kecil Ini dari Basis juga Cuman di video yang ada K itu dia tidak terekam Tapi dari pemeriksaan dia itu ikut mukulin kata Kasat Reskrim Polresta Cilacap Kompol Guntar Arif Setyoko melalui pesan singkat Jumat  Guntar mengatakan kasus tersebut masih dilakukan pendalaman oleh pihak kepolisian Sebab terdapat perbedaan waktu dan motif yang mendasari perkelahian itu Perkelahian ini sementara lagi kita dalami lagi karena beda waktu Karena belum tentu anakanak yang ada di video itu sama juga sama kejadian yang hari Senin Tapi yang jelas itu samasama anggota Basis ujarnyaGuntar menyebut kejadian ini berawal dikarenakan korban berinisial R yang terlihat dalam video itu menantang siswa kelas  Siswa kelas  itu kemudian mengadu ke kakak kelasnya Kronologinya itu ada siswa kelas  ngadu ke kakak kelas kalau dia ditantangin sama korban berinisial R Akhirnya karena diaduin itulah akhirnya dipukulin sama temannya sendiri jelas Guntar Diberitakan sebelumnya setelah kasus perundungan dan penganiayaan yang melibatkan siswa SMP di Kabupaten Cilacap menjadi sorotan kembali beredar video aksi kekerasan pelajar di lokasi yang sama Dalam video kedua ini polisi menyebut kasusnya bukan bullying atau perundunganBerkelahi Kalau video yang belum kepotong ada adegan korban mbales membalas kata Guntar Arif Setyoko saat dimintai konfirmasi oleh detikJateng via WhatsApp Jumat  pagi Sebelumnya Guntar membenarkan bahwa lokasi dalam video kekerasan yang beredar kali ini sama dengan lokasi dalam video kekerasan pelajar sebelumnya Iya lokasinya sama Kecamatan Cimanggu Kejadiannya Senin  terangnya Jumat  pagi,teman,3
GuruOrtu Bikin Petisi Minta Kepala SMA di Aru Diduga Cabuli  Siswa Dicopot Kasus kepala SMA di Kepulauan Aru Maluku diduga mencabuli  siswanya terus menjadi sorotan Guru hingga orang tua siswa kini menandatangani petisi meminta Pj Gubernur Maluku Sadali IE mencopot oknum kepala sekolah berinisial WD dari jabatan dan dipindahkan Jadi total  guru dan orang tua korban termasuk korban telah menandatangani petisi meminta Pak Pj Gubernur Maluku menggantikan Kepala SMA inisial WD yang diduga cabuli siswa kata Wakil Kepala SMA Bidang Sarana Prasarana Martha Mantayborbir kepada detikcom Dia menyebut alasan para guru tanda tangani petisi yang sudah berlangsung seminggu ini sebagai upaya penyelamatan dunia pendidikan di Kabupaten Kepulauan Aru Alasan lainnya kata dia karena telah mencoreng nama baik tenaga pendidik Para guru sangat terpukul dengan kejadian itu dugaan WD cabuli siswa makanya memberanikan kami menandatangani petisi guna menyelamatkan dunia pendidikan sekaligus rasa keadilan bagi para korban Dugaan perbuatan WD ini juga ikut mencoreng nama baik kami selaku tenaga pendidik ungkapnya Dia menuturkan atas pertimbangan tersebut mereka meminta WD harus segera diganti dan dipindahkan dari SMA sebagai bagian dari sanksi Sebab kata Martha kalau hanya dinonaktifkan justru mengganggu psikologi para korban WD harus disanksi dengan diganti sebagai Kepala SMA dan dipindahkan Kalau dia tetap bertugas di sekolah justru mengganggu psikologi para siswa dan para guru Nanti kita beraktivitas sudah tidak nyaman lagi harapnyaLebih lanjut dia membeberkan satu dari tiga korban adalah anak guru Bahkan guru itu juga diduga pernah dilecehkan oleh WD Tidak ada pilihan lain lagi WD harus diganti karena selain diduga cabuli siswa bersangkutan juga melecehkan guru yang kini anaknya menjadi korban jelasnya Untuk itu kita meminta Kapolda Maluku dan Kapolres Kepulauan Aru guna memproses hukum WD sebagaimana laporan tiga siswa kami harapnya Diketahui total guru di SMA ada  guru termasuk ASN dan honorer Sementara yang menandatangani petisi sebanyak  guru lebih dari seperdua jumlah guru Sebelumnya diberitakan tiga siswa masingmasing berinisial MCJ MCW dan OD melapor WD di SPKT Polres Kepulauan Aru terkait dugaan pencabulan WD melancarkan aksi bejat di ruangan pada Juli dan September  Kepsek SMA dilaporkan karena diduga mencabuli tiga siswanya ujar Kasubsi Penmas Humas Polres Kepulauan Aru Bripka Yubilino Sahertian kepada detikcom Jumat ,tenaga pendidik,2
Polisi Periksa  Terduga Pelaku Perundungan Anak di Balikpapan Polisi menyelidiki kejadian viral perundungan atau bullying sekelompok anak dengan kekerasan fisik terhadap seorang anak di kawasan Balikpapan Kalimantan Timur Empat orang terduga pelaku perundungan itu telah diperiksa polisi Empat orang diduga terlibat perannya masih didalami kata Kadiv Humas Polda Kalimantan Timur Kombes Yusuf Sutejo kepada wartawan Minggu  Yusuf mengatakan selain empat pelaku anak berhadapan dengan hukum ABH itu sejumlah pihak juga telah dimintai keterangan Menurutnya tindakan itu dilakukan untuk mencari kebenaran di balik kejadian perundungan tersebut Saat ini para pihak dan stakeholder terkait sudah kita kumpulkan di Polresta Balikpapan untuk diambil keterangannya ucapnyaAdapun pihakpihak yang diperiksa selain empat terduga pelaku itu di antaranya Kadisdik Kota Balikpapan kepala sekolah dan perwakilan guru tempat korbanpelaku bersekolah Dinas Pemberdayaan Perempuan Perlindungan Anak dan Keluarga Berencana DPAKB Kota Balikpapan serta orang tua korban dan pelaku Yusuf menyebut kedua belah pihak telah sepakat damai atas kejadian tersebut Namun kasus ini tetap ditangani lebih lanjut oleh Polresta Balikpapan Saat ini permasalahan ini diserahkan ke Polresta Balikpapan untuk mendapat penanganan lebih lanjut serta akan dipantau terus perkembangannya oleh Dinas Pendidikan dan DPAKB Kota Balikpapan ujarnya Sebelumnya sebuah video yang memperlihatkan aksi perundungan atau bullying sekelompok anak dengan kekerasan fisik viral di media sosial Aksi tersebut dinarasikan terjadi di kawasan Balikpapan Kalimantan Timur Dalam video viral yang dilihat detikcom Minggu  terlihat seorang korban yang mengenakan baju merah dipukul bahkan dibanting secara bergantian oleh sejumlah orang yang mengenakan seragam pramuka Korban yang awalnya duduk pada sebuah kursi hingga terjatuh ke lantai Tindakan kekerasan itu juga dilakukan berkalikali Korban pun terlihat menangis dan merintih karena mengalami kejadian tersebutKadiv Humas Polda Kalimantan Timur Kombes Pol Yusuf Sutejo membenarkan adanya kejadian perundungan tersebut Yusuf mengatakan kejadian itu terjadi pada Sabtu  pada sebuah masjid di kawasan Balikpapan Utara Lokasi kejadian TPA Masjid darussalam Balikpapan utara ujar Yusuf ketika dikonfirmasi Minggu ,teman,3
