Berita,Label,Category_id
"['perkosa', 'anak', 'kandung', 'pria', 'dompu', 'ditangkap', 'pria', 'berinisial', 'am', 'kabupaten', 'dompu', 'nusa', 'tenggara', 'barat', 'ntb', 'ditangkap', 'diduga', 'memperkosa', 'anak', 'kandungnya', 'ditangkap', 'polisi', 'laporan', 'warga', 'kasi', 'humas', 'polres', 'dompu', 'ipda', 'zuharis', 'am', 'ditangkap', 'rumahnya', 'penangkapan', 'am', 'polisi', 'malam', 'iya', 'ditangkap', 'malam', 'rabu', 'zuharis', 'detikbali', 'kamis', 'zuharis', 'rinci', 'kronologi', 'aksi', 'bejat', 'pria', 'menyebut', 'petugas', 'menyusun', 'laporan', 'tunggu', 'laporan', 'lengkapnya', 'ya', 'salah', 'warga', 'rumah', 'korban', 'ahmad', 'penangkapan', 'am', 'warga', 'heboh', 'warga', 'geram', 'am', 'tega', 'berbuat', 'asusila', 'anak', 'kandungnya', 'heboh', 'malam', 'warga', 'berkerumun', 'cepat', 'diamankan', 'polisi', 'pelaku', 'am', 'memiliki', 'orang', 'anak', 'perempuan', 'aksi', 'bejat', 'am', 'rumahnyaada', 'anaknya', 'istrinya', 'habis', 'pikir', 'kejadian']",keluarga,0
"['pria', 'cabuli', 'anak', 'lelaki', 'rumdis', 'wabup', 'langkat', 'adik', 'anggota', 'dprd', 'pria', 'berinisial', 'zs', 'dilaporkan', 'pelecehan', 'seksual', 'pencabulan', 'anak', 'lelaki', 'rumah', 'dinas', 'rumdis', 'wakil', 'bupati', 'langkat', 'adik', 'anggota', 'dprd', 'langkat', 'polisi', 'memproses', 'laporan', 'korbaniya', 'adik', 'zs', 'f', 'anggota', 'dprd', 'langkat', 'detiksumut', 'jumat', 'melindungi', 'zs', 'proses', 'hukum', 'mendukung', 'perbuatan', 'zs', 'melindungi', 'mendukung', 'perbuatannya', 'biarkan', 'proses', 'hukum', 'berjalan', 'mengaku', 'menyerahkan', 'zs', 'berwajib', 'keberadaan', 'zs', 'melacak', 'keberadaan', 'adiknya', 'keberadaannya', 'lacak', 'diberitakan', 'kasat', 'reskrim', 'polres', 'langkat', 'akp', 'dedi', 'mirza', 'korban', 'berusia', 'laporan', 'terkait', 'kejadian', 'dialami', 'korban', 'polres', 'langkat', 'kejadian', 'ya', 'menerima', 'laporannya', 'desember', 'dedi', 'detiksumut', 'kamis', 'korban', 'laporan', 'dedi', 'langsung', 'penyelidikan', 'polisi', 'mengecek', 'kejadian', 'perkara', 'tkp', 'pemeriksaan', 'korban', 'saksi', 'saksi', 'diperiksa', 'intinya', 'korban', 'mengalami', 'pelecehan', 'kekerasan', 'seksual', 'rumah', 'dinas', 'wakil', 'bupati', 'langkat', 'kosong', 'situ', 'penetapan', 'tersangka', 'diakuinya', 'pelaku', 'ditangkap', 'tahap', 'penetapan', 'tersangka', 'pastinya', 'pelaku', 'diburu', 'samping', 'korban', 'traumatik', 'didampingi', 'instansi', 'terkait', 'trauma', 'healing', 'terbuka', 'korban', 'laporan', 'pastinya', 'diproses', 'korban', 'tutupnya']",orang asing,4
"['muncul', 'klarifikasi', 'diduga', 'penyalur', 'pengasuh', 'anak', 'aghnia', 'punjabi', 'dampingi', 'penganiayaan', 'baby', 'sitter', 'menimpa', 'jana', 'amira', 'priyanka', 'akrab', 'disapa', 'cana', 'anak', 'perempuan', 'selebgram', 'malang', 'emy', 'aghnia', 'penyiksaan', 'aghnia', 'jam', 'unggahannya', 'aghnia', 'mengaku', 'mengambil', 'pengasuh', 'penyalur', 'terkenal', 'surabaya', 'aghnia', 'menyebut', 'gamblang', 'nama', 'penyalur', 'tersebutkini', 'muncul', 'unggahan', 'terkait', 'klarifikasi', 'diduga', 'penyalur', 'baby', 'sitter', 'menimpa', 'emyaghnia', 'putri', 'cana', 'val', 'the', 'consultant', 'maaf', 'menyesalkn', 'kejadian', 'tulis', 'akun', 'instagram', 'valthe', 'consultant', 'dikutip', 'sabtu', 'penyalur', 'melanjutkan', 'toleransi', 'bentuk', 'kekerasan', 'pengasuhan', 'anak', 'kejadian', 'mencoreng', 'salah', 'nilai', 'dimiliki', 'perusahaan', 'ditanamkan', 'pelayanan', 'kejadian', 'merugikan', 'citra', 'ribuan', 'pekerja', 'perusahaan', 'bergerak', 'bidang', 'penyediaan', 'penitipan', 'anak', 'mendukung', 'penyelesaian', 'membantu', 'proses', 'hukum', 'mestinya', 'perusahaan', 'penyalur', 'menulis', 'pengasuh', 'anak', 'sejatinya', 'kepercayaan', 'diandalkan', 'orang', 'tua', 'anak', 'rumah', 'pekerja', 'menjalankan', 'tugasnya', 'lakukanlah', 'hati', 'senantiasa', 'berpegang', 'teguh', 'prinsip', 'halnya', 'ibadah', 'stop', 'child', 'abuse', 'hormat', 'manajemen', 'pt', 'val', 'konsultan', 'indonesia', 'pernyataan', 'klarifikasi', 'unggahan', 'feed', 'instagram', 'terpantau', 'menutup', 'kolom', 'komentar', 'perusahaan', 'mengunggah', 'pernyataan', 'singkat', 'instagram', 'stories', 'emy', 'aghnia', 'menghebohkan', 'media', 'sosial', 'akibat', 'penyiksaan', 'putrinya', 'babak', 'belur', 'penganiayaan', 'subuh', 'pintu', 'kamar', 'terkunci', 'rapat', 'sang', 'anak', 'melarikan', 'dikejar', 'penganiayaan', 'anak', 'aghnia', 'ditindih', 'badannya', 'disiram', 'cairan', 'minyak', 'kutuskutus', 'aghnia', 'menyebut', 'kepolisian', 'tega', 'hasil', 'rekaman', 'cctv', 'penganiayaan', 'henti', 'cana', 'mengalami', 'luka', 'lebam', 'tubuhnya', 'mata', 'bengkak', 'terbuka', 'normal']",pengasuh,1
"['heboh', 'video', 'gadis', 'ditelanjangidipukul', 'pelaku', 'ditangkap', 'video', 'abg', 'berusia', 'ditelanjangi', 'dianiaya', 'wanita', 'dewasa', 'heboh', 'media', 'sosial', 'polisi', 'mengamankan', 'pelaku', 'penganiayaan', 'kejadian', 'penganiayaan', 'palu', 'sulawesi', 'sulteng', 'video', 'diunggah', 'media', 'sosial', 'x', 'akun', 'langitan', 'akun', 'ig', 'hillarybrigittadalam', 'video', 'beredar', 'wanita', 'diblur', 'kondisi', 'telanjang', 'orang', 'wanita', 'korban', 'mengaku', 'cepat', 'wanita', 'memukul', 'korban', 'videotampak', 'korban', 'mengangkat', 'tangannya', 'dipukul', 'wanita', 'bergaun', 'cokelat', 'menendang', 'korbankorban', 'berdaya', 'diseret', 'wanita', 'masuk', 'kamar', 'situ', 'korban', 'dipukul', 'ditendang', 'kasubbid', 'penmas', 'bidhumas', 'polda', 'sulteng', 'kompol', 'sugeng', 'lestari', 'penganiayaan', 'rumah', 'kelurahan', 'tatura', 'selatan', 'kecamatan', 'palu', 'selatan', 'maret', 'menyebut', 'personel', 'polresta', 'palu', 'lokasi', 'kejadian', 'perkara', 'tkpsudah', 'direspons', 'polresta', 'palu', 'tkp', 'rabu', 'mei', 'kemarin', 'terangnya', 'pelaku', 'wanita', 'berinisial', 'ig', 'vs', 'menelanjangi', 'memukul', 'gadis', 'abg', 'ditangkap', 'ditahan', 'ditahan', 'pelaku', 'orang', 'kasubsi', 'pidm', 'humas', 'polresta', 'palu', 'aiptu', 'kadek', 'aruna', 'detikcom', 'kamis', 'kadek', 'penyidik', 'ppa', 'satreskrim', 'polresta', 'palu', 'memeriksa', 'orang', 'saksi', 'penganiayaan', 'membeberkan', 'penganiayaan', 'rumah', 'spa', 'kota', 'palulokasi', 'kejadian', 'spa', 'bater', 'play', 'kota', 'palu', 'terangnya']",orang asing,4
"['satria', 'mahathir', 'cogil', 'tersangka', 'pengeroyokan', 'anak', 'anggota', 'dprd', 'kepri', 'seleb', 'tiktok', 'satria', 'mahathir', 'cogil', 'ditetapkan', 'tersangka', 'satreskrim', 'polresta', 'barelang', 'dugaan', 'pengeroyokan', 'anak', 'anggota', 'dprd', 'kepri', 'rekannya', 'pantauan', 'detiksumut', 'jumat', 'satria', 'mengenakan', 'baju', 'tahanan', 'berwarna', 'oranye', 'satria', 'digiring', 'petugas', 'kepolisian', 'rekannya', 'konferensi', 'pers', 'digelar', 'satreskrim', 'polresta', 'barelang', 'satria', 'menunduk', 'dihadirkan', 'konferensi', 'pers', 'konferensi', 'pers', 'awak', 'media', 'satria', 'takut', 'takut', 'digiring', 'ruang', 'tahanan', 'polresta', 'barelang', 'jumat', 'kasat', 'reskrim', 'polresta', 'barelang', 'kompol', 'dwi', 'ramadhanto', 'dikonfirmasi', 'membenarkan', 'penangkapan', 'menyebut', 'seleb', 'tiktok', 'diamankan', 'rekannya', 'mengamankan', 'orang', 'inisial', 'sm', 'as', 'dj', 'rs', 'pengeroyokan', 'kompol', 'ramadhanto', 'kamis', 'ramadhanto', 'menyebut', 'pengeroyokan', 'korban', 'berinisial', 'ra', 'tanggal', 'desember', 'nongkrong', 'kafe', 'kawasan', 'tiban', 'sekupang', 'batam', 'korban', 'bersenggolan', 'seleb', 'tiktok', 'korban', 'pelaku', 'bersenggolan', 'perkelahian', 'kafe', 'kafe', 'ramadanto', 'menyebut', 'pelaku', 'berinisial', 'sm', 'selebgram', 'tiktok', 'warga', 'jakarta', 'batam', 'menghadiri', 'kegiatan', 'digelar', 'kafe', 'kawasan', 'tiban', 'batam', 'infonya', 'pelaku', 'selebgram', 'tiktok', 'didalami', 'pelaku', 'jakarta', 'hadir', 'menghadiri', 'kegiatan', 'lengkapnya', 'besok']",teman,3
"['yasin', 'diringkus', 'dilaporkan', 'istri', 'perkosa', 'anak', 'tiri', 'umur', 'petani', 'musi', 'rawas', 'utara', 'mura', 'bernama', 'm', 'yasin', 'alias', 'my', 'ditangkap', 'polisi', 'tega', 'memperkosa', 'anak', 'tirinya', 'berinisial', 'b', 'pelaku', 'ditangkap', 'dilaporkan', 'istrinya', 'ym', 'kapolres', 'mura', 'akbp', 'andi', 'supriadi', 'membenarkan', 'mengamankan', 'my', 'pelaku', 'diamankan', 'unit', 'ppa', 'satreskrim', 'polres', 'mura', 'diperiksa', 'iya', 'pelaku', 'diamankan', 'dikonfirmasi', 'detiksumbagsel', 'senin', 'penangkapan', 'my', 'berdasarkan', 'laporan', 'istrinya', 'korban', 'rabu', 'laporan', 'pemerkosaan', 'my', 'kamar', 'rumah', 'korban', 'desa', 'tegal', 'rejo', 'kecamatan', 'tugumulyo', 'barubaru', 'laporan', 'anggota', 'penyelidikan', 'mengumpulkan', 'alat', 'bukti', 'menangkap', 'pelaku', 'perlawanan', 'diamankan', 'dilaporkan', 'kantor', 'polisi', 'my', 'diduga', 'melarikan', 'diamankan', 'keluarganya', 'kades', 'my', 'diserahkan', 'polisi', 'mempertanggungjawabkan', 'perbuatannya', 'pelaku', 'mengakui', 'tindak', 'pidana', 'persetubuhan', 'anak', 'umur', 'korban', 'bersangkutan', 'pemeriksaan', 'my', 'terancam', 'pasal', 'uu', 'ri', 'nomor', 'penetapan', 'peraturan', 'pemerintah', 'penganti', 'uu', 'ri', 'nomor', 'perubahan', 'uu', 'ri', 'nomor', 'perlindungan', 'anak']",keluarga,0
"['viral', 'ayah', 'probolinggo', 'banting', 'anak', 'perempuannya', 'video', 'penganiayaan', 'viral', 'media', 'sosial', 'video', 'penganiayaan', 'diduga', 'ayah', 'anak', 'perempuannya', 'pinggir', 'jalan', 'rayadalam', 'video', 'berdurasi', 'detik', 'lelaki', 'menarik', 'anak', 'perempuan', 'motor', 'pria', 'memukul', 'berkalikali', 'anak', 'perempuannya', 'pria', 'lokasi', 'perempuan', 'diduga', 'istri', 'korban', 'korban', 'menggendong', 'anaknya', 'keterangan', 'video', 'lokasi', 'kejadian', 'pos', 'sabhara', 'polres', 'probolinggo', 'kota', 'jalan', 'panglima', 'sudirman', 'kelurahan', 'jati', 'kecamatan', 'mayangan', 'supriyadi', 'warga', 'penganiayaan', 'kamis', 'malam', 'suara', 'jeritan', 'tangisan', 'anak', 'perempuan', 'terdengar', 'kejauhan', 'pasangan', 'suamiistri', 'bawa', 'anak', 'anaknya', 'berumur', 'tahunan', 'berhenti', 'pos', 'sabhara', 'polres', 'probolinggo', 'kota', 'kondisi', 'si', 'anak', 'menangis', 'supriyadi', 'jumat', 'supriyadi', 'persis', 'penyebab', 'penganiayaan', 'didekati', 'pria', 'perempuan', 'diduga', 'orang', 'tua', 'korban', 'langsung', 'melanjutkan', 'perjalanan', 'supriyadi', 'aksi', 'penganiayaan', 'direkam', 'keponakannya', 'beredar', 'viral', 'penganiayaan', 'dinilai', 'berharap', 'polisi', 'mengusutnya', 'keponakan', 'merekam', 'laporan', 'anak', 'dipukul', 'ayahnya', 'dibanting', 'semoga', 'pelakunya', 'cepat', 'ketemu', 'diproses', 'berwajib', 'kasihan', 'anaknya', 'supriyadi']",keluarga,0
"['video', 'kekerasan', 'murid', 'smp', 'cilacap', 'polisi', 'perkelahian', 'anggota', 'basis', 'potongan', 'video', 'berdurasi', 'detik', 'perkelahian', 'siswa', 'smp', 'cilacap', 'beredar', 'media', 'sosial', 'polisi', 'menyebut', 'pelaku', 'perkelahian', 'samasama', 'anggota', 'basis', 'barisan', 'siswa', 'kelompok', 'terlibat', 'video', 'perundungan', 'cilacap', 'pelakunya', 'bertopi', 'inisial', 'm', 'w', 'plus', 'video', 'berinisial', 'k', 'basis', 'cuman', 'video', 'k', 'terekam', 'pemeriksaan', 'mukulin', 'kasat', 'reskrim', 'polresta', 'cilacap', 'kompol', 'guntar', 'arif', 'setyoko', 'pesan', 'singkat', 'jumat', 'guntar', 'pendalaman', 'kepolisian', 'perbedaan', 'motif', 'mendasari', 'perkelahian', 'perkelahian', 'dalami', 'beda', 'anakanak', 'video', 'kejadian', 'senin', 'samasama', 'anggota', 'basis', 'ujarnyaguntar', 'menyebut', 'kejadian', 'korban', 'berinisial', 'r', 'video', 'menantang', 'siswa', 'kelas', 'siswa', 'kelas', 'mengadu', 'kakak', 'kelasnya', 'kronologinya', 'siswa', 'kelas', 'ngadu', 'kakak', 'kelas', 'ditantangin', 'korban', 'berinisial', 'r', 'diaduin', 'dipukulin', 'temannya', 'guntar', 'diberitakan', 'perundungan', 'penganiayaan', 'melibatkan', 'siswa', 'smp', 'kabupaten', 'cilacap', 'sorotan', 'beredar', 'video', 'aksi', 'kekerasan', 'pelajar', 'lokasi', 'video', 'polisi', 'menyebut', 'kasusnya', 'bullying', 'perundunganberkelahi', 'video', 'kepotong', 'adegan', 'korban', 'mbales', 'membalas', 'guntar', 'arif', 'setyoko', 'konfirmasi', 'detikjateng', 'via', 'whatsapp', 'jumat', 'pagi', 'guntar', 'membenarkan', 'lokasi', 'video', 'kekerasan', 'beredar', 'kali', 'lokasi', 'video', 'kekerasan', 'pelajar', 'iya', 'lokasinya', 'kecamatan', 'cimanggu', 'kejadiannya', 'senin', 'terangnya', 'jumat', 'pagi']",teman,3
"['guruortu', 'bikin', 'petisi', 'kepala', 'sma', 'aru', 'diduga', 'cabuli', 'siswa', 'dicopot', 'kepala', 'sma', 'kepulauan', 'aru', 'maluku', 'diduga', 'mencabuli', 'siswanya', 'sorotan', 'guru', 'orang', 'tua', 'siswa', 'menandatangani', 'petisi', 'pj', 'gubernur', 'maluku', 'sadali', 'ie', 'mencopot', 'oknum', 'kepala', 'sekolah', 'berinisial', 'wd', 'jabatan', 'dipindahkan', 'total', 'guru', 'orang', 'tua', 'korban', 'korban', 'menandatangani', 'petisi', 'pj', 'gubernur', 'maluku', 'menggantikan', 'kepala', 'sma', 'inisial', 'wd', 'diduga', 'cabuli', 'siswa', 'wakil', 'kepala', 'sma', 'bidang', 'sarana', 'prasarana', 'martha', 'mantayborbir', 'detikcom', 'menyebut', 'alasan', 'guru', 'tanda', 'tangani', 'petisi', 'seminggu', 'upaya', 'penyelamatan', 'dunia', 'pendidikan', 'kabupaten', 'kepulauan', 'aru', 'alasan', 'mencoreng', 'nama', 'tenaga', 'pendidik', 'guru', 'terpukul', 'kejadian', 'dugaan', 'wd', 'cabuli', 'siswa', 'memberanikan', 'menandatangani', 'petisi', 'menyelamatkan', 'dunia', 'pendidikan', 'keadilan', 'korban', 'dugaan', 'perbuatan', 'wd', 'mencoreng', 'nama', 'tenaga', 'pendidik', 'pertimbangan', 'wd', 'diganti', 'dipindahkan', 'sma', 'sanksi', 'martha', 'dinonaktifkan', 'mengganggu', 'psikologi', 'korban', 'wd', 'disanksi', 'diganti', 'kepala', 'sma', 'dipindahkan', 'bertugas', 'sekolah', 'mengganggu', 'psikologi', 'siswa', 'guru', 'beraktivitas', 'nyaman', 'harapnyalebih', 'membeberkan', 'korban', 'anak', 'guru', 'guru', 'diduga', 'dilecehkan', 'wd', 'pilihan', 'wd', 'diganti', 'diduga', 'cabuli', 'siswa', 'bersangkutan', 'melecehkan', 'guru', 'anaknya', 'korban', 'kapolda', 'maluku', 'kapolres', 'kepulauan', 'aru', 'memproses', 'hukum', 'wd', 'laporan', 'siswa', 'harapnya', 'total', 'guru', 'sma', 'guru', 'asn', 'honorer', 'menandatangani', 'petisi', 'guru', 'seperdua', 'guru', 'diberitakan', 'siswa', 'masingmasing', 'berinisial', 'mcj', 'mcw', 'od', 'melapor', 'wd', 'spkt', 'polres', 'kepulauan', 'aru', 'terkait', 'dugaan', 'pencabulan', 'wd', 'melancarkan', 'aksi', 'bejat', 'ruangan', 'juli', 'september', 'kepsek', 'sma', 'dilaporkan', 'diduga', 'mencabuli', 'siswanya', 'kasubsi', 'penmas', 'humas', 'polres', 'kepulauan', 'aru', 'bripka', 'yubilino', 'sahertian', 'detikcom', 'jumat']",tenaga pendidik,2
"['polisi', 'periksa', 'terduga', 'pelaku', 'perundungan', 'anak', 'balikpapan', 'polisi', 'menyelidiki', 'kejadian', 'viral', 'perundungan', 'bullying', 'sekelompok', 'anak', 'kekerasan', 'fisik', 'anak', 'kawasan', 'balikpapan', 'kalimantan', 'timur', 'orang', 'terduga', 'pelaku', 'perundungan', 'diperiksa', 'polisi', 'orang', 'diduga', 'terlibat', 'perannya', 'didalami', 'kadiv', 'humas', 'polda', 'kalimantan', 'timur', 'kombes', 'yusuf', 'sutejo', 'wartawan', 'minggu', 'yusuf', 'pelaku', 'anak', 'berhadapan', 'hukum', 'abh', 'keterangan', 'menurutnya', 'tindakan', 'mencari', 'kebenaran', 'kejadian', 'perundungan', 'stakeholder', 'terkait', 'kumpulkan', 'polresta', 'balikpapan', 'diambil', 'keterangannya', 'ucapnyaadapun', 'pihakpihak', 'diperiksa', 'terduga', 'pelaku', 'kadisdik', 'kota', 'balikpapan', 'kepala', 'sekolah', 'perwakilan', 'guru', 'korbanpelaku', 'bersekolah', 'dinas', 'pemberdayaan', 'perempuan', 'perlindungan', 'anak', 'keluarga', 'berencana', 'dpakb', 'kota', 'balikpapan', 'orang', 'tua', 'korban', 'pelaku', 'yusuf', 'menyebut', 'belah', 'sepakat', 'damai', 'kejadian', 'ditangani', 'polresta', 'balikpapan', 'permasalahan', 'diserahkan', 'polresta', 'balikpapan', 'penanganan', 'dipantau', 'perkembangannya', 'dinas', 'pendidikan', 'dpakb', 'kota', 'balikpapan', 'video', 'aksi', 'perundungan', 'bullying', 'sekelompok', 'anak', 'kekerasan', 'fisik', 'viral', 'media', 'sosial', 'aksi', 'dinarasikan', 'kawasan', 'balikpapan', 'kalimantan', 'timur', 'video', 'viral', 'detikcom', 'minggu', 'korban', 'mengenakan', 'baju', 'merah', 'dipukul', 'dibanting', 'bergantian', 'orang', 'mengenakan', 'seragam', 'pramuka', 'korban', 'duduk', 'kursi', 'terjatuh', 'lantai', 'tindakan', 'kekerasan', 'berkalikali', 'korban', 'menangis', 'merintih', 'mengalami', 'kejadian', 'tersebutkadiv', 'humas', 'polda', 'kalimantan', 'timur', 'kombes', 'pol', 'yusuf', 'sutejo', 'membenarkan', 'kejadian', 'perundungan', 'yusuf', 'kejadian', 'sabtu', 'masjid', 'kawasan', 'balikpapan', 'utara', 'lokasi', 'kejadian', 'tpa', 'masjid', 'darussalam', 'balikpapan', 'utara', 'yusuf', 'dikonfirmasi', 'minggu']",teman,3
