Epoch,Loss
1,6206754
2,5953814.5
3,5849018.5
4,5771222.5
5,5707867.5
6,5653977.5
7,5606946.5
8,5564895
9,5527424
10,5493344
11,5462490.5
12,5434199
13,5408172.5
14,5384217
15,5362074
16,5341585.5
17,5322749
18,5305447.5
19,5289194.5
20,5274140.5
21,5260239.5
22,5247166.5
23,5235186
24,5224075
25,5213650.5
26,5204002.5
27,5195134.5
28,5186918
29,5179287.5
30,5172296
31,5165776
32,5159684.5
33,5154311
34,5149311.5
35,5144707
36,5140455
37,5136615.5
38,5133118.5
39,5129850
40,5126887.5
41,5124184
42,5121756.5
43,5119476.5
44,5117472
45,5115570.5
46,5113898
47,5112379.5
48,5110928.5
49,5109655.5
50,5108433.5
51,5107356.5
52,5106390.5
53,5105477
54,5104647.5
55,5103856
56,5103115.5
57,5102443.5
58,5101923
59,5101387
60,5100926
61,5100497
62,5100047.5
63,5099621.5
64,5099295.5
65,5098968.5
66,5098643.5
67,5098401
68,5098164.5
69,5097962.5
70,5097806
