Word,Category,Frequency
korban,orang asing,1152
anak,orang asing,895
laku,orang asing,893
polisi,orang asing,330
duga,orang asing,319
cabul,orang asing,287
lapor,orang asing,286
sangka,orang asing,277
orang,orang asing,250
tangkap,orang asing,196
rumah,orang asing,190
video,orang asing,183
umur,orang asing,181
polres,orang asing,168
jadi,orang asing,163
aman,orang asing,150
pasal,orang asing,145
periksa,orang asing,142
aku,orang asing,133
pria,orang asing,132
korban,keluarga,3306
anak,keluarga,3000
laku,keluarga,2218
ayah,keluarga,910
kandung,keluarga,863
polisi,keluarga,863
sangka,keluarga,853
rumah,keluarga,806
lapor,keluarga,758
perkosa,keluarga,694
tiri,keluarga,594
cabul,keluarga,587
polres,keluarga,484
buat,keluarga,479
usia,keluarga,478
keras,keluarga,476
duga,keluarga,474
aniaya,keluarga,470
ancam,keluarga,451
tangkap,keluarga,442
korban,tenaga pendidik,527
guru,tenaga pendidik,279
anak,tenaga pendidik,262
laku,tenaga pendidik,198
cabul,tenaga pendidik,191
lapor,tenaga pendidik,189
keras,tenaga pendidik,177
sangka,tenaga pendidik,158
siswa,tenaga pendidik,149
duga,tenaga pendidik,142
polisi,tenaga pendidik,136
sekolah,tenaga pendidik,132
orang,tenaga pendidik,109
hukum,tenaga pendidik,99
periksa,tenaga pendidik,95
tindak,tenaga pendidik,95
polres,tenaga pendidik,85
lindung,tenaga pendidik,81
oknum,tenaga pendidik,80
seksual,tenaga pendidik,76
korban,teman,982
anak,teman,908
laku,teman,610
sekolah,teman,383
keras,teman,368
orang,teman,310
siswa,teman,271
polisi,teman,247
duga,teman,246
rundung,teman,241
bullying,teman,201
sangka,teman,187
jadi,teman,178
polres,teman,162
hukum,teman,161
video,teman,161
aniaya,teman,159
lapor,teman,151
tua,teman,149
pasal,teman,147
anak,pengasuh,604
korban,pengasuh,326
aniaya,pengasuh,214
sangka,pengasuh,183
laku,pengasuh,156
keras,pengasuh,148
polisi,pengasuh,140
aghnia,pengasuh,140
daycare,pengasuh,129
pengasuh,pengasuh,124
lapor,pengasuh,117
asuh,pengasuh,115
orang,pengasuh,114
duga,pengasuh,112
alami,pengasuh,94
milik,pengasuh,92
aku,pengasuh,91
rumah,pengasuh,90
jadi,pengasuh,87
periksa,pengasuh,86
